"C_p_inc","Points:0","Points:1","Points:2","arc_length","inclination","mu","sigma","v:0","v:1","v:2"
0.143324136734,36.9803009033,17.9799995422,0,0,1,37.4050483704,0,149.550430298,13.61951828,-2.90039920807
0.114746637642,36.5290374756,17.9799995422,-0.0481307171285,0.453822924875,1,36.9867095947,0,152.14881897,11.0261001587,10.829990387
0.105464041233,36.3832206726,17.9799995422,-0.0636830478907,0.600466762192,1,36.8514633179,0,152.991821289,10.1857814789,15.2724580765
0.0517122074962,35.2928962708,17.9799995422,-0.180573970079,1.697039053,1,35.7939300537,0,157.688873291,5.50724744797,16.345867157
0.034271672368,34.9405822754,17.9799995422,-0.218344569206,2.05137190427,1,35.4520111084,0,159.210739136,3.99508810043,16.69323349
-0.0297337509692,32.6857910156,17.9799995422,-0.461560755968,4.31924265425,1,33.1853599548,0,164.383651733,-1.13725924492,17.0601329803
-0.0505292154849,31.9572067261,17.9799995422,-0.540150463581,5.05205327721,1,32.4524345398,0,166.062347412,-2.79104328156,17.1787071228
-0.135751441121,28.4942207336,17.9799995422,-0.873157739639,8.53101372965,1,28.8046607971,0,172.702285767,-9.33795547485,12.8184280396
-0.163568437099,27.3752365112,17.9799995422,-0.980761349201,9.65515972853,1,27.6249408722,0,174.867935181,-11.4335317612,11.4076566696
-0.183928951621,26.2521095276,17.9799995422,-1.01405155659,10.7787799755,1,26.3859863281,0,176.261016846,-12.775393486,6.78822422028
-0.247638449073,22.7762966156,17.9799995422,-1.11707651615,14.2561194098,1,22.5555267334,0,180.616577148,-17.0501232147,-7.49951457977
-0.241229653358,22.0478630066,17.9799995422,-1.04130768776,14.9884830067,1,21.7332687378,0,179.361053467,-15.7701892853,-14.2529630661
-0.221950799227,19.7935314178,17.9799995422,-0.806821227074,17.2549769538,1,19.1907558441,0,175.509796143,-11.8685312271,-35.1754493713
-0.153756842017,19.4532432556,17.9799995422,-0.710418522358,17.6086569148,1,18.8077888489,0,167.073516846,-3.4265999794,-40.0007400513
0.0574913471937,18.4001312256,17.9799995422,-0.412075400352,18.7032132479,1,17.6233329773,0,140.954421997,22.7134914398,-54.9555053711
0.113718390465,18.2975292206,17.9799995422,-0.311440557241,18.846930133,1,17.5151481628,0,134.025375366,29.6252574921,-41.5459632874
0.287843853235,17.9799995422,17.9799995422,0,19.291700093,1,17.1805362701,0,112.576423645,51.0508766174,3.96179420932e-05
0.113717958331,18.2975292206,17.9799995422,0.311440557241,19.736470053,1,17.5151481628,0,134.025405884,29.6252288818,41.5460166931
0.057490799576,18.4001312256,17.9799995422,0.412075400352,19.8801869382,1,17.6233329773,0,140.954452515,22.7134552002,54.9555511475
-0.153757348657,19.4532432556,17.9799995422,0.710418522358,20.9747432713,1,18.8077888489,0,167.073547363,-3.42663121223,40.0007591248
-0.221951305866,19.7935314178,17.9799995422,0.806821227074,21.3284232323,1,19.1907558441,0,175.50982666,-11.868560791,35.1754608154
-0.241230100393,22.0478630066,17.9799995422,1.04130768776,23.5949171794,1,21.7332687378,0,179.361083984,-15.7702131271,14.2529678345
-0.247638881207,22.7762966156,17.9799995422,1.11707651615,24.3272807763,1,22.5555267334,0,180.616607666,-17.0501441956,7.49951696396
-0.183929339051,26.2521095276,17.9799995422,1.01405155659,27.8046202106,1,26.3859882355,0,176.261047363,-12.7754106522,-6.78822612762
-0.16356882453,27.3752365112,17.9799995422,0.980761349201,28.9282404575,1,27.6249427795,0,174.867965698,-11.4335479736,-11.4076595306
-0.13575181365,28.4942207336,17.9799995422,0.873157739639,30.0523864564,1,28.8046627045,0,172.702301025,-9.33797073364,-12.8184309006
-0.0505295619369,31.9572067261,17.9799995422,0.540150463581,33.5313469089,1,32.4524383545,0,166.06237793,-2.79105639458,-17.1787128448
-0.0297339577228,32.6857910156,17.9799995422,0.461560755968,34.2641575318,1,33.1853637695,0,164.383682251,-1.13726043701,-17.0601348877
0.0342719964683,34.9405822754,17.9799995422,0.218344569206,36.5320282818,1,35.4520149231,0,159.210723877,3.99512982368,-16.6932258606
0.051714733243,35.2928962708,17.9799995422,0.180573970079,36.8863611331,1,35.7939338684,0,157.68862915,5.50749731064,-16.3458156586
0.105475023389,36.3832206726,17.9799995422,0.0636830478907,37.9829334239,1,36.8514671326,0,152.990783691,10.1868333817,-15.2722349167
0.114755362272,36.5290374756,17.9799995422,0.0481307171285,38.1295772612,1,36.9867134094,0,152.147979736,11.0269346237,-12.2478160858
0.143324136734,36.9803009033,17.9799995422,0,38.5834001861,1,37.4050483704,0,149.550430298,13.61951828,-2.90039920807
