"C_p_inc","Phi_u","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.142639502883,51.4467964172,51.0001983643,32,0,0,-0.020239662379,0.0202397909015,0.189737200737,1,51.4467964172,0,149.615447998,13.5550708771,14.5138339996
0.135338485241,51.3217697144,50.8653068542,32,-0.0143889477476,0.135656777531,-0.0201510488987,0.0201511792839,0.188832879066,1,51.3217697144,0,150.282150269,12.905421257,14.6614894867
0.107626155019,50.8390655518,50.3452301025,32,-0.0698667988181,0.658684137836,-0.0195524580777,0.0195525828749,0.182913303375,1,50.8390655518,0,152.807449341,10.3994750977,15.2261924744
0.0955922603607,50.6112670898,50.1094970703,32,-0.0951247215271,0.895766455064,-0.0186675414443,0.0186676606536,0.174492880702,1,50.6112670898,0,153.873245239,9.35355949402,15.472864151
0.0492948032916,49.7319107056,49.2006111145,32,-0.192508876324,1.80985471901,-0.0146150765941,0.0146151669323,0.136012241244,1,49.7319107056,0,157.966812134,5.29190444946,16.4255504608
0.0382747091353,49.3525619507,48.8182258606,32,-0.233806923032,2.19446362565,-0.0110973399132,0.0110974078998,0.103085257113,1,49.3525619507,0,158.878723145,4.40705442429,16.6067466736
-0.00392876425758,47.8885002136,47.343914032,32,-0.393035233021,3.67734899636,0.0042702560313,-0.00427028164268,-0.0407930314541,1,47.8885002136,0,162.364196777,0.963187634945,17.305393219
-0.0184670723975,47.3252830505,46.7926445007,32,-0.451735526323,4.2317349815,0.012012604624,-0.0120126800612,-0.122628800571,1,47.3252830505,0,163.521194458,-0.166344553232,17.2675457001
-0.0740777105093,45.1522254944,44.6671600342,32,-0.678059697151,6.36923512135,0.0452991463244,-0.0452994443476,-0.475388616323,1,45.1522254944,0,167.938323975,-4.54205703735,17.1171283722
-0.0930612310767,44.4385986328,43.9933052063,32,-0.740399479866,7.04596740045,0.0506632998586,-0.0506636537611,-0.603066384792,1,44.4385986328,0,169.403274536,-5.99799776077,16.2697563171
-0.165758877993,41.6861419678,41.3951835632,32,-0.980755984783,9.65518324465,0.0727303847671,-0.0727309957147,-1.14023005962,1,41.6861419678,0,175.007644653,-11.5885353088,12.9914216995
-0.229731202126,38.8191947937,38.7890701294,32,-1.10727787018,12.2643660703,0.0147826205939,-0.0147831784561,-1.43405616283,1,38.8191947937,0,179.671783447,-16.2211055756,2.93136906624
