x/c,Cp,Cp,Cp,Cp,Cp,Cp
AoA [deg] →,0,2.1,4.3,6.4,8.6,10.7
0,0.06,0.025,-0.085,-0.285,-0.56,-0.88
0.025,-0.06,-0.215,-0.42,-0.7,-1.03,-1.375
0.05,-0.115,-0.245,-0.425,-0.65,-0.905,-1.17
0.1,-0.16,-0.26,-0.39,-0.56,-0.745,-0.915
0.15,-0.185,-0.27,-0.38,-0.52,-0.665,-0.795
0.25,-0.175,-0.24,-0.32,-0.425,-0.52,-0.595
0.35,-0.16,-0.21,-0.265,-0.33,-0.4,-0.44
0.5,-0.09,-0.12,-0.15,-0.19,-0.24,-0.27
0.7,0.005,-0.005,-0.02,-0.045,-0.055,-0.055
0.7,0.005,0.035,0.05,0.06,0.065,0.07
0.5,-0.065,-0.045,-0.03,0,0.015,0.035
0.35,-0.16,-0.12,-0.08,-0.04,-0.015,0.005
0.25,-0.185,-0.115,-0.065,-0.02,0.015,0.045
0.15,-0.175,-0.09,-0.035,0.01,0.045,0.045
0.1,-0.155,-0.065,0,0.04,0.055,0.05
0.05,-0.1,0.005,0.07,0.09,0.075,0.025
0.025,-0.075,0.06,0.095,0.085,0.02,-0.085
