x/c,Cp,Cp,Cp,Cp,Cp,Cp
AoA [deg] →,0,2.1,4.2,6.2,8.3,10.4
0,0.49,0.44,0.27,-0.02,-0.375,-0.87
0.01,0.115,-0.08,-0.355,-0.705,-1.085,-1.51
0.03,-0.055,-0.26,-0.485,-0.74,-1.015,-1.335
0.08,-0.17,-0.315,-0.465,-0.63,-0.795,-0.93
0.15,-0.24,-0.355,-0.465,-0.59,,-0.78
0.225,-0.265,-0.365,-0.455,-0.55,-0.615,-0.695
0.35,-0.26,-0.335,-0.4,-0.45,-0.52,-0.57
0.5,-0.195,-0.245,-0.275,-0.32,-0.37,-0.395
0.65,-0.09,-0.13,-0.155,-0.19,-0.215,-0.235
0.75,-0.04,-0.065,-0.09,-0.1,-0.115,-0.135
0.85,0.015,-0.005,-0.02,-0.025,-0.035,-0.04
0.95,0.065,0.06,0.06,0.055,0.05,0.05
0.95,0.06,0.07,0.075,0.075,0.08,0.1
0.85,0.005,0.025,0.04,0.05,0.075,0.105
0.75,-0.055,-0.02,0,0.02,0.055,0.095
0.65,-0.08,-0.045,-0.02,0.01,0.035,0.09
0.5,-0.205,-0.145,-0.085,-0.03,0.015,0.085
0.35,-0.265,-0.2,-0.12,-0.055,0.015,0.095
0.225,-0.26,-0.17,-0.08,0.005,0.09,0.18
0.15,-0.24,-0.135,-0.025,0.075,0.17,0.265
0.08,-0.175,-0.035,0.085,0.2,0.31,0.395
0.03,0,0.17,0.31,0.145,0.5,0.55
0.01,0.205,0.375,0.48,0.525,0.53,0.485
