Sort System,Preconditioner,Refinement,S_max,S_min,Condition Number
False,DIAG,coarse,1.0990050485889375,0.2164337959498465,2.253394891999396
False,DIAG,medium,1.1436572498571307,0.16077142484376472,2.6671258788669725
False,DIAG,fine,1.2140369420602328,0.12333680169170631,3.1373979605497926
False,none,coarse,1.0990050485889375,0.2164337959498465,2.253394891999396
False,none,medium,1.1436572498571307,0.16077142484376472,2.6671258788669725
False,none,fine,1.2140369420602328,0.12333680169170631,3.1373979605497926
True,DIAG,coarse,1.0990050485889364,0.21643379594984657,2.253394891999394
True,DIAG,medium,1.1436572498571305,0.16077142484376447,2.6671258788669743
True,DIAG,fine,1.2140369420602335,0.12333680169170605,3.1373979605497966
True,none,coarse,1.0990050485889364,0.21643379594984657,2.253394891999394
True,none,medium,1.1436572498571305,0.16077142484376447,2.6671258788669743
True,none,fine,1.2140369420602335,0.12333680169170605,3.1373979605497966
