Sort System,Preconditioner,Refinement,S_max,S_min,Condition Number
False,DIAG,coarse,1.1140025686810386,1.625468638563711e-07,2617.904494709407
False,DIAG,medium,1.1133585934091017,2.707052931828665e-07,2028.005642068987
False,DIAG,fine,1.11898106603552,5.64349143817336e-07,1408.1127592503792
False,none,coarse,1.1140025686810386,1.625468638563711e-07,2617.904494709407
False,none,medium,1.1133585934091017,2.707052931828665e-07,2028.005642068987
False,none,fine,1.11898106603552,5.64349143817336e-07,1408.1127592503792
True,DIAG,coarse,1.11400256868104,1.6254686417496986e-07,2617.9044921438067
True,DIAG,medium,1.1133585934091033,2.707052937985293e-07,2028.0056397628505
True,DIAG,fine,1.118981066035521,5.643491432118497e-07,1408.112760005757
True,none,coarse,1.11400256868104,1.6254686417496986e-07,2617.9044921438067
True,none,medium,1.1133585934091033,2.707052937985293e-07,2028.0056397628505
True,none,fine,1.118981066035521,5.643491432118497e-07,1408.112760005757
