Sort System,Preconditioner,Refinement,S_max,S_min,Condition Number
False,DIAG,coarse,2.586819900595468,8.439692812891818e-10,55363.02057055918
False,DIAG,medium,3.2443911694056715,3.0373156859627106e-09,32682.979295347417
False,DIAG,fine,4.318623877693229,3.314309453168446e-09,36097.42003960241
False,none,coarse,2.586819900595468,8.439692812891818e-10,55363.02057055918
False,none,medium,3.2443911694056715,3.0373156859627106e-09,32682.979295347417
False,none,fine,4.31862387769323,3.314921215572226e-09,36094.08903081554
True,DIAG,coarse,2.586819900595468,8.439693269156399e-10,55363.019074048294
True,DIAG,medium,3.244391169405672,3.037316037318913e-09,32682.977404966623
True,DIAG,fine,4.3186238776932155,3.3149214426156148e-09,36094.08779474933
True,none,coarse,2.586819900595468,8.439693269156399e-10,55363.019074048294
True,none,medium,3.244391169405672,3.037316037318913e-09,32682.977404966623
True,none,fine,4.3186238776932155,3.3149214426156148e-09,36094.08779474933
