 method
 BJAC
 N=         321
 iteration,||dx||,||err||,relaxation
     1, 2.321E+00, 3.391E-01, 8.000E-01
     2, 4.595E-01, 1.028E-01, 8.000E-01
     3, 1.494E-01, 6.021E-02, 8.000E-01
     4, 8.722E-02, 3.757E-02, 8.000E-01
     5, 5.130E-02, 2.036E-02, 8.000E-01
     6, 2.704E-02, 9.408E-03, 8.000E-01
     7, 1.235E-02, 3.818E-03, 8.000E-01
     8, 4.983E-03, 1.402E-03, 8.000E-01
     9, 1.824E-03, 4.772E-04, 8.000E-01
    10, 6.186E-04, 1.528E-04, 8.000E-01
    11, 1.977E-04, 4.665E-05, 8.000E-01
    12, 6.021E-05, 1.368E-05, 8.000E-01
    13, 1.763E-05, 3.884E-06, 8.000E-01
    14, 4.999E-06, 1.072E-06, 8.000E-01
    15, 1.378E-06, 2.891E-07, 8.000E-01
    16, 3.712E-07, 7.635E-08, 8.000E-01
    17, 9.794E-08, 1.981E-08, 8.000E-01
    18, 2.539E-08, 5.058E-09, 8.000E-01
    19, 6.478E-09, 1.274E-09, 8.000E-01
    20, 1.630E-09, 3.168E-10, 8.000E-01
    21, 4.052E-10, 7.792E-11, 8.000E-01
    22, 9.959E-11, 1.897E-11, 8.000E-01
    23, 2.423E-11, 4.576E-12, 8.000E-01
    24, 5.844E-12, 1.095E-12, 8.000E-01
    25, 1.397E-12, 2.595E-13, 8.000E-01
