 method
 BJAC
 N=         321
 iteration,||dx||,||err||,relaxation
     1, 2.334E+00, 6.333E-01, 8.000E-01
     2, 4.600E-01, 1.899E-01, 8.000E-01
     3, 1.460E-01, 1.089E-01, 8.000E-01
     4, 8.376E-02, 6.814E-02, 8.000E-01
     5, 4.974E-02, 3.656E-02, 8.000E-01
     6, 2.604E-02, 1.668E-02, 8.000E-01
     7, 1.176E-02, 6.708E-03, 8.000E-01
     8, 4.705E-03, 2.458E-03, 8.000E-01
     9, 1.718E-03, 8.399E-04, 8.000E-01
    10, 5.862E-04, 2.723E-04, 8.000E-01
    11, 1.899E-04, 8.482E-05, 8.000E-01
    12, 5.911E-05, 2.560E-05, 8.000E-01
    13, 1.784E-05, 7.535E-06, 8.000E-01
    14, 5.255E-06, 2.175E-06, 8.000E-01
    15, 1.518E-06, 6.181E-07, 8.000E-01
    16, 4.320E-07, 1.734E-07, 8.000E-01
    17, 1.214E-07, 4.818E-08, 8.000E-01
    18, 3.377E-08, 1.328E-08, 8.000E-01
    19, 9.321E-09, 3.634E-09, 8.000E-01
    20, 2.555E-09, 9.897E-10, 8.000E-01
    21, 6.969E-10, 2.683E-10, 8.000E-01
    22, 1.892E-10, 7.250E-11, 8.000E-01
    23, 5.119E-11, 1.953E-11, 8.000E-01
    24, 1.381E-11, 5.250E-12, 8.000E-01
    25, 3.715E-12, 1.408E-12, 8.000E-01
    26, 9.975E-13, 3.772E-13, 8.000E-01
