 method
 BJAC
 N=         321
 iteration,||dx||,||err||,relaxation
     1, 2.334E+00, 3.382E-01, 8.000E-01
     2, 4.600E-01, 1.014E-01, 8.000E-01
     3, 1.460E-01, 5.814E-02, 8.000E-01
     4, 8.377E-02, 3.639E-02, 8.000E-01
     5, 4.974E-02, 1.952E-02, 8.000E-01
     6, 2.604E-02, 8.907E-03, 8.000E-01
     7, 1.176E-02, 3.582E-03, 8.000E-01
     8, 4.705E-03, 1.312E-03, 8.000E-01
     9, 1.718E-03, 4.485E-04, 8.000E-01
    10, 5.862E-04, 1.454E-04, 8.000E-01
    11, 1.899E-04, 4.529E-05, 8.000E-01
    12, 5.911E-05, 1.367E-05, 8.000E-01
    13, 1.784E-05, 4.024E-06, 8.000E-01
    14, 5.256E-06, 1.162E-06, 8.000E-01
    15, 1.519E-06, 3.301E-07, 8.000E-01
    16, 4.321E-07, 9.262E-08, 8.000E-01
    17, 1.214E-07, 2.573E-08, 8.000E-01
    18, 3.378E-08, 7.090E-09, 8.000E-01
    19, 9.322E-09, 1.941E-09, 8.000E-01
    20, 2.556E-09, 5.285E-10, 8.000E-01
    21, 6.970E-10, 1.433E-10, 8.000E-01
    22, 1.892E-10, 3.872E-11, 8.000E-01
    23, 5.120E-11, 1.043E-11, 8.000E-01
    24, 1.381E-11, 2.804E-12, 8.000E-01
    25, 3.716E-12, 7.523E-13, 8.000E-01
