 method
 BJAC
 N=        4881
 iteration,||dx||,||err||,relaxation
     1, 9.877E+00, 1.545E+00, 8.000E-01
     2, 2.177E+00, 5.786E-01, 8.000E-01
     3, 8.491E-01, 3.204E-01, 8.000E-01
     4, 4.696E-01, 2.102E-01, 8.000E-01
     5, 2.820E-01, 1.285E-01, 8.000E-01
     6, 1.670E-01, 6.404E-02, 8.000E-01
     7, 8.256E-02, 2.715E-02, 8.000E-01
     8, 3.492E-02, 1.025E-02, 8.000E-01
     9, 1.317E-02, 3.549E-03, 8.000E-01
    10, 4.556E-03, 1.151E-03, 8.000E-01
    11, 1.477E-03, 3.543E-04, 8.000E-01
    12, 4.546E-04, 1.046E-04, 8.000E-01
    13, 1.342E-04, 2.985E-05, 8.000E-01
    14, 3.827E-05, 8.273E-06, 8.000E-01
    15, 1.061E-05, 2.237E-06, 8.000E-01
    16, 2.868E-06, 5.924E-07, 8.000E-01
    17, 7.593E-07, 1.540E-07, 8.000E-01
    18, 1.974E-07, 3.940E-08, 8.000E-01
    19, 5.049E-08, 9.936E-09, 8.000E-01
    20, 1.273E-08, 2.474E-09, 8.000E-01
    21, 3.170E-09, 6.092E-10, 8.000E-01
    22, 7.805E-10, 1.485E-10, 8.000E-01
    23, 1.902E-10, 3.584E-11, 8.000E-01
    24, 4.591E-11, 8.581E-12, 8.000E-01
    25, 1.099E-11, 2.038E-12, 8.000E-01
    26, 2.611E-12, 4.811E-13, 8.000E-01
