 method
 BJAC
 N=        4881
 iteration,||dx||,||err||,relaxation
     1, 9.883E+00, 3.037E+00, 8.000E-01
     2, 2.175E+00, 1.136E+00, 8.000E-01
     3, 8.469E-01, 6.280E-01, 8.000E-01
     4, 4.676E-01, 4.125E-01, 8.000E-01
     5, 2.813E-01, 2.520E-01, 8.000E-01
     6, 1.664E-01, 1.254E-01, 8.000E-01
     7, 8.221E-02, 5.314E-02, 8.000E-01
     8, 3.475E-02, 2.006E-02, 8.000E-01
     9, 1.310E-02, 6.949E-03, 8.000E-01
    10, 4.537E-03, 2.255E-03, 8.000E-01
    11, 1.472E-03, 6.953E-04, 8.000E-01
    12, 4.539E-04, 2.056E-04, 8.000E-01
    13, 1.343E-04, 5.879E-05, 8.000E-01
    14, 3.839E-05, 1.633E-05, 8.000E-01
    15, 1.067E-05, 4.430E-06, 8.000E-01
    16, 2.895E-06, 1.177E-06, 8.000E-01
    17, 7.694E-07, 3.071E-07, 8.000E-01
    18, 2.009E-07, 7.889E-08, 8.000E-01
    19, 5.163E-08, 1.999E-08, 8.000E-01
    20, 1.309E-08, 5.002E-09, 8.000E-01
    21, 3.279E-09, 1.238E-09, 8.000E-01
    22, 8.123E-10, 3.036E-10, 8.000E-01
    23, 1.993E-10, 7.376E-11, 8.000E-01
    24, 4.848E-11, 1.778E-11, 8.000E-01
    25, 1.170E-11, 4.254E-12, 8.000E-01
    26, 2.803E-12, 1.010E-12, 8.000E-01
    27, 6.673E-13, 2.379E-13, 8.000E-01
