 method
 BJAC
 N=        4881
 iteration,||dx||,||err||,relaxation
     1, 9.883E+00, 1.544E+00, 8.000E-01
     2, 2.175E+00, 5.776E-01, 8.000E-01
     3, 8.469E-01, 3.193E-01, 8.000E-01
     4, 4.676E-01, 2.097E-01, 8.000E-01
     5, 2.813E-01, 1.281E-01, 8.000E-01
     6, 1.664E-01, 6.377E-02, 8.000E-01
     7, 8.221E-02, 2.702E-02, 8.000E-01
     8, 3.475E-02, 1.020E-02, 8.000E-01
     9, 1.310E-02, 3.533E-03, 8.000E-01
    10, 4.537E-03, 1.147E-03, 8.000E-01
    11, 1.472E-03, 3.535E-04, 8.000E-01
    12, 4.539E-04, 1.046E-04, 8.000E-01
    13, 1.343E-04, 2.989E-05, 8.000E-01
    14, 3.839E-05, 8.306E-06, 8.000E-01
    15, 1.067E-05, 2.253E-06, 8.000E-01
    16, 2.895E-06, 5.985E-07, 8.000E-01
    17, 7.694E-07, 1.562E-07, 8.000E-01
    18, 2.009E-07, 4.012E-08, 8.000E-01
    19, 5.163E-08, 1.016E-08, 8.000E-01
    20, 1.309E-08, 2.544E-09, 8.000E-01
    21, 3.279E-09, 6.297E-10, 8.000E-01
    22, 8.123E-10, 1.544E-10, 8.000E-01
    23, 1.993E-10, 3.751E-11, 8.000E-01
    24, 4.848E-11, 9.041E-12, 8.000E-01
    25, 1.170E-11, 2.163E-12, 8.000E-01
    26, 2.803E-12, 5.138E-13, 8.000E-01
