 method
 BJAC
 N=        1241
 iteration,||dx||,||err||,relaxation
     1, 4.846E+00, 7.402E-01, 8.000E-01
     2, 1.028E+00, 2.598E-01, 8.000E-01
     3, 3.817E-01, 1.460E-01, 8.000E-01
     4, 2.134E-01, 9.631E-02, 8.000E-01
     5, 1.285E-01, 5.787E-02, 8.000E-01
     6, 7.474E-02, 2.852E-02, 8.000E-01
     7, 3.652E-02, 1.202E-02, 8.000E-01
     8, 1.534E-02, 4.520E-03, 8.000E-01
     9, 5.760E-03, 1.562E-03, 8.000E-01
    10, 1.988E-03, 5.057E-04, 8.000E-01
    11, 6.431E-04, 1.555E-04, 8.000E-01
    12, 1.977E-04, 4.589E-05, 8.000E-01
    13, 5.829E-05, 1.309E-05, 8.000E-01
    14, 1.661E-05, 3.625E-06, 8.000E-01
    15, 4.600E-06, 9.801E-07, 8.000E-01
    16, 1.243E-06, 2.595E-07, 8.000E-01
    17, 3.290E-07, 6.744E-08, 8.000E-01
    18, 8.549E-08, 1.725E-08, 8.000E-01
    19, 2.186E-08, 4.350E-09, 8.000E-01
    20, 5.511E-09, 1.083E-09, 8.000E-01
    21, 1.372E-09, 2.666E-10, 8.000E-01
    22, 3.377E-10, 6.498E-11, 8.000E-01
    23, 8.227E-11, 1.569E-11, 8.000E-01
    24, 1.986E-11, 3.755E-12, 8.000E-01
    25, 4.754E-12, 8.926E-13, 8.000E-01
