 method
 BJAC
 N=        1241
 iteration,||dx||,||err||,relaxation
     1, 4.855E+00, 1.430E+00, 8.000E-01
     2, 1.028E+00, 5.005E-01, 8.000E-01
     3, 3.790E-01, 2.796E-01, 8.000E-01
     4, 2.107E-01, 1.849E-01, 8.000E-01
     5, 1.274E-01, 1.106E-01, 8.000E-01
     6, 7.387E-02, 5.429E-02, 8.000E-01
     7, 3.595E-02, 2.283E-02, 8.000E-01
     8, 1.507E-02, 8.588E-03, 8.000E-01
     9, 5.660E-03, 2.974E-03, 8.000E-01
    10, 1.959E-03, 9.672E-04, 8.000E-01
    11, 6.369E-04, 2.994E-04, 8.000E-01
    12, 1.972E-04, 8.912E-05, 8.000E-01
    13, 5.872E-05, 2.568E-05, 8.000E-01
    14, 1.693E-05, 7.207E-06, 8.000E-01
    15, 4.757E-06, 1.977E-06, 8.000E-01
    16, 1.307E-06, 5.324E-07, 8.000E-01
    17, 3.523E-07, 1.410E-07, 8.000E-01
    18, 9.347E-08, 3.684E-08, 8.000E-01
    19, 2.446E-08, 9.507E-09, 8.000E-01
    20, 6.323E-09, 2.428E-09, 8.000E-01
    21, 1.618E-09, 6.143E-10, 8.000E-01
    22, 4.101E-10, 1.542E-10, 8.000E-01
    23, 1.031E-10, 3.842E-11, 8.000E-01
    24, 2.575E-11, 9.513E-12, 8.000E-01
    25, 6.390E-12, 2.342E-12, 8.000E-01
    26, 1.577E-12, 5.738E-13, 8.000E-01
