 method
 BJAC
 N=        1241
 iteration,||dx||,||err||,relaxation
     1, 4.855E+00, 7.394E-01, 8.000E-01
     2, 1.028E+00, 2.588E-01, 8.000E-01
     3, 3.790E-01, 1.446E-01, 8.000E-01
     4, 2.107E-01, 9.557E-02, 8.000E-01
     5, 1.274E-01, 5.719E-02, 8.000E-01
     6, 7.387E-02, 2.807E-02, 8.000E-01
     7, 3.595E-02, 1.180E-02, 8.000E-01
     8, 1.507E-02, 4.440E-03, 8.000E-01
     9, 5.660E-03, 1.538E-03, 8.000E-01
    10, 1.959E-03, 5.000E-04, 8.000E-01
    11, 6.369E-04, 1.548E-04, 8.000E-01
    12, 1.972E-04, 4.607E-05, 8.000E-01
    13, 5.872E-05, 1.328E-05, 8.000E-01
    14, 1.693E-05, 3.726E-06, 8.000E-01
    15, 4.757E-06, 1.022E-06, 8.000E-01
    16, 1.307E-06, 2.752E-07, 8.000E-01
    17, 3.523E-07, 7.291E-08, 8.000E-01
    18, 9.347E-08, 1.905E-08, 8.000E-01
    19, 2.446E-08, 4.915E-09, 8.000E-01
    20, 6.323E-09, 1.255E-09, 8.000E-01
    21, 1.618E-09, 3.176E-10, 8.000E-01
    22, 4.101E-10, 7.970E-11, 8.000E-01
    23, 1.031E-10, 1.986E-11, 8.000E-01
    24, 2.575E-11, 4.918E-12, 8.000E-01
    25, 6.390E-12, 1.211E-12, 8.000E-01
    26, 1.577E-12, 2.968E-13, 8.000E-01
