 method
 BSOR
 iteration,||dx||,||err||,relaxation
     1, 2.538E+00, 3.983E-01, 8.000E-01
     2, 4.706E-01, 1.762E-01, 8.000E-01
     3, 2.741E-01, 8.436E-02, 8.000E-01
     4, 1.291E-01, 3.133E-02, 8.000E-01
     5, 4.752E-02, 1.005E-02, 8.000E-01
     6, 1.517E-02, 2.952E-03, 8.000E-01
     7, 4.446E-03, 8.179E-04, 8.000E-01
     8, 1.228E-03, 2.178E-04, 8.000E-01
     9, 3.259E-04, 5.643E-05, 8.000E-01
    10, 8.408E-05, 1.435E-05, 8.000E-01
    11, 2.129E-05, 3.611E-06, 8.000E-01
    12, 5.335E-06, 9.042E-07, 8.000E-01
    13, 1.331E-06, 2.276E-07, 8.000E-01
    14, 3.340E-07, 5.777E-08, 8.000E-01
    15, 8.471E-08, 1.503E-08, 8.000E-01
    16, 2.203E-08, 4.003E-09, 8.000E-01
    17, 5.897E-09, 1.118E-09, 8.000E-01
    18, 1.651E-09, 3.228E-10, 8.000E-01
    19, 4.819E-10, 9.883E-11, 8.000E-01
    20, 1.477E-10, 3.090E-11, 8.000E-01
    21, 4.678E-11, 1.015E-11, 8.000E-01
    22, 1.532E-11, 3.335E-12, 8.000E-01
    23, 5.095E-12, 1.137E-12, 8.000E-01
    24, 1.726E-12, 3.820E-13, 8.000E-01
