 method
 BSOR
 iteration,||dx||,||err||,relaxation
     1, 2.296E+00, 8.775E-01, 8.000E-01
     2, 4.585E-01, 1.963E-01, 8.000E-01
     3, 1.815E-01, 4.432E-02, 8.000E-01
     4, 3.633E-02, 1.640E-02, 8.000E-01
     5, 1.762E-02, 3.878E-03, 8.000E-01
     6, 3.526E-03, 1.414E-03, 8.000E-01
     7, 1.452E-03, 3.261E-04, 8.000E-01
     8, 2.906E-04, 1.094E-04, 8.000E-01
     9, 1.068E-04, 2.455E-05, 8.000E-01
    10, 2.136E-05, 7.627E-06, 8.000E-01
    11, 7.165E-06, 1.672E-06, 8.000E-01
    12, 1.434E-06, 4.839E-07, 8.000E-01
    13, 4.433E-07, 1.040E-07, 8.000E-01
    14, 8.869E-08, 2.835E-08, 8.000E-01
    15, 2.570E-08, 6.018E-09, 8.000E-01
    16, 5.141E-09, 1.591E-09, 8.000E-01
    17, 1.450E-09, 3.381E-10, 8.000E-01
    18, 2.901E-10, 9.167E-11, 8.000E-01
    19, 8.485E-11, 1.986E-11, 8.000E-01
    20, 1.697E-11, 5.788E-12, 8.000E-01
    21, 5.383E-12, 1.282E-12, 8.000E-01
    22, 1.077E-12, 3.941E-13, 8.000E-01
