 method
 BSOR
 iteration,||dx||,||err||,relaxation
     1, 2.296E+00, 4.686E-01, 8.000E-01
     2, 4.585E-01, 1.048E-01, 8.000E-01
     3, 1.815E-01, 2.367E-02, 8.000E-01
     4, 3.633E-02, 8.756E-03, 8.000E-01
     5, 1.762E-02, 2.071E-03, 8.000E-01
     6, 3.526E-03, 7.552E-04, 8.000E-01
     7, 1.452E-03, 1.741E-04, 8.000E-01
     8, 2.906E-04, 5.840E-05, 8.000E-01
     9, 1.068E-04, 1.311E-05, 8.000E-01
    10, 2.136E-05, 4.073E-06, 8.000E-01
    11, 7.165E-06, 8.930E-07, 8.000E-01
    12, 1.434E-06, 2.584E-07, 8.000E-01
    13, 4.433E-07, 5.555E-08, 8.000E-01
    14, 8.869E-08, 1.514E-08, 8.000E-01
    15, 2.570E-08, 3.214E-09, 8.000E-01
    16, 5.141E-09, 8.495E-10, 8.000E-01
    17, 1.450E-09, 1.806E-10, 8.000E-01
    18, 2.901E-10, 4.895E-11, 8.000E-01
    19, 8.485E-11, 1.060E-11, 8.000E-01
    20, 1.697E-11, 3.091E-12, 8.000E-01
    21, 5.383E-12, 6.845E-13, 8.000E-01
