 method
 BSOR
 iteration,||dx||,||err||,relaxation
     1, 9.394E+00, 2.410E+00, 8.000E-01
     2, 1.878E+00, 1.084E+00, 8.000E-01
     3, 5.167E-01, 1.322E-01, 8.000E-01
     4, 1.033E-01, 5.857E-02, 8.000E-01
     5, 2.866E-02, 7.335E-03, 8.000E-01
     6, 5.731E-03, 3.353E-03, 8.000E-01
     7, 2.350E-03, 6.067E-04, 8.000E-01
     8, 4.698E-04, 4.322E-04, 8.000E-01
     9, 6.147E-04, 1.583E-04, 8.000E-01
    10, 1.229E-04, 1.143E-04, 8.000E-01
    11, 1.624E-04, 4.163E-05, 8.000E-01
    12, 3.247E-05, 2.814E-05, 8.000E-01
    13, 3.589E-05, 9.169E-06, 8.000E-01
    14, 7.176E-06, 5.631E-06, 8.000E-01
    15, 6.648E-06, 1.695E-06, 8.000E-01
    16, 1.329E-06, 9.563E-07, 8.000E-01
    17, 1.049E-06, 2.673E-07, 8.000E-01
    18, 2.099E-07, 1.372E-07, 8.000E-01
    19, 1.389E-07, 3.537E-08, 8.000E-01
    20, 2.778E-08, 1.619E-08, 8.000E-01
    21, 1.533E-08, 3.905E-09, 8.000E-01
    22, 3.065E-09, 1.662E-09, 8.000E-01
    23, 1.577E-09, 4.015E-10, 8.000E-01
    24, 3.153E-10, 1.826E-10, 8.000E-01
    25, 1.829E-10, 4.649E-11, 8.000E-01
    26, 3.657E-11, 2.194E-11, 8.000E-01
    27, 2.162E-11, 5.493E-12, 8.000E-01
    28, 4.324E-12, 2.376E-12, 8.000E-01
    29, 2.237E-12, 5.688E-13, 8.000E-01
