 method
 BSOR
 iteration,||dx||,||err||,relaxation
     1, 1.549E+01, 4.518E+00, 8.000E-01
     2, 6.945E+00, 1.982E+00, 8.000E-01
     3, 3.050E+00, 8.488E-01, 8.000E-01
     4, 1.308E+00, 3.498E-01, 8.000E-01
     5, 5.397E-01, 1.376E-01, 8.000E-01
     6, 2.125E-01, 5.107E-02, 8.000E-01
     7, 7.887E-02, 1.714E-02, 8.000E-01
     8, 2.640E-02, 7.525E-03, 8.000E-01
     9, 1.148E-02, 5.985E-03, 8.000E-01
    10, 9.167E-03, 4.437E-03, 8.000E-01
    11, 6.807E-03, 3.572E-03, 8.000E-01
    12, 5.506E-03, 2.220E-03, 8.000E-01
    13, 3.424E-03, 1.053E-03, 8.000E-01
    14, 1.624E-03, 5.781E-04, 8.000E-01
    15, 8.939E-04, 2.935E-04, 8.000E-01
    16, 4.542E-04, 1.172E-04, 8.000E-01
    17, 1.812E-04, 3.874E-05, 8.000E-01
    18, 5.985E-05, 1.277E-05, 8.000E-01
    19, 1.973E-05, 4.965E-06, 8.000E-01
    20, 7.684E-06, 1.977E-06, 8.000E-01
    21, 3.063E-06, 7.090E-07, 8.000E-01
    22, 1.098E-06, 2.252E-07, 8.000E-01
    23, 3.488E-07, 6.476E-08, 8.000E-01
    24, 1.003E-07, 1.771E-08, 8.000E-01
    25, 2.742E-08, 4.989E-09, 8.000E-01
    26, 7.728E-09, 1.521E-09, 8.000E-01
    27, 2.358E-09, 4.818E-10, 8.000E-01
    28, 7.473E-10, 1.490E-10, 8.000E-01
    29, 2.311E-10, 4.386E-11, 8.000E-01
    30, 6.801E-11, 1.239E-11, 8.000E-01
    31, 1.920E-11, 3.502E-12, 8.000E-01
    32, 5.424E-12, 1.063E-12, 8.000E-01
    33, 1.646E-12, 3.625E-13, 8.000E-01
