 method
 BSOR
 iteration,||dx||,||err||,relaxation
     1, 9.394E+00, 1.226E+00, 8.000E-01
     2, 1.878E+00, 5.511E-01, 8.000E-01
     3, 5.167E-01, 6.724E-02, 8.000E-01
     4, 1.033E-01, 2.978E-02, 8.000E-01
     5, 2.866E-02, 3.730E-03, 8.000E-01
     6, 5.731E-03, 1.705E-03, 8.000E-01
     7, 2.350E-03, 3.085E-04, 8.000E-01
     8, 4.698E-04, 2.197E-04, 8.000E-01
     9, 6.147E-04, 8.049E-05, 8.000E-01
    10, 1.229E-04, 5.811E-05, 8.000E-01
    11, 1.624E-04, 2.117E-05, 8.000E-01
    12, 3.247E-05, 1.431E-05, 8.000E-01
    13, 3.589E-05, 4.662E-06, 8.000E-01
    14, 7.176E-06, 2.863E-06, 8.000E-01
    15, 6.648E-06, 8.619E-07, 8.000E-01
    16, 1.329E-06, 4.863E-07, 8.000E-01
    17, 1.049E-06, 1.359E-07, 8.000E-01
    18, 2.099E-07, 6.975E-08, 8.000E-01
    19, 1.389E-07, 1.798E-08, 8.000E-01
    20, 2.778E-08, 8.233E-09, 8.000E-01
    21, 1.533E-08, 1.986E-09, 8.000E-01
    22, 3.065E-09, 8.449E-10, 8.000E-01
    23, 1.577E-09, 2.042E-10, 8.000E-01
    24, 3.153E-10, 9.285E-11, 8.000E-01
    25, 1.829E-10, 2.364E-11, 8.000E-01
    26, 3.657E-11, 1.116E-11, 8.000E-01
    27, 2.162E-11, 2.793E-12, 8.000E-01
    28, 4.324E-12, 1.208E-12, 8.000E-01
    29, 2.237E-12, 2.891E-13, 8.000E-01
