 method
 BSOR
 iteration,||dx||,||err||,relaxation
     1, 4.715E+00, 1.322E+00, 8.000E-01
     2, 9.424E-01, 4.292E-01, 8.000E-01
     3, 2.198E-01, 5.965E-02, 8.000E-01
     4, 4.396E-02, 2.194E-02, 8.000E-01
     5, 2.022E-02, 5.471E-03, 8.000E-01
     6, 4.042E-03, 3.968E-03, 8.000E-01
     7, 5.333E-03, 1.448E-03, 8.000E-01
     8, 1.066E-03, 9.846E-04, 8.000E-01
     9, 1.162E-03, 3.131E-04, 8.000E-01
    10, 2.324E-04, 1.837E-04, 8.000E-01
    11, 1.967E-04, 5.251E-05, 8.000E-01
    12, 3.932E-05, 2.723E-05, 8.000E-01
    13, 2.752E-05, 7.283E-06, 8.000E-01
    14, 5.504E-06, 3.407E-06, 8.000E-01
    15, 3.262E-06, 8.586E-07, 8.000E-01
    16, 6.522E-07, 3.578E-07, 8.000E-01
    17, 3.228E-07, 8.494E-08, 8.000E-01
    18, 6.455E-08, 3.103E-08, 8.000E-01
    19, 2.632E-08, 6.945E-09, 8.000E-01
    20, 5.264E-09, 2.193E-09, 8.000E-01
    21, 1.743E-09, 4.624E-10, 8.000E-01
    22, 3.484E-10, 1.272E-10, 8.000E-01
    23, 9.757E-11, 2.614E-11, 8.000E-01
    24, 1.951E-11, 8.466E-12, 8.000E-01
    25, 7.770E-12, 2.077E-12, 8.000E-01
    26, 1.554E-12, 9.741E-13, 8.000E-01
