 method
 BSOR
 iteration,||dx||,||err||,relaxation
     1, 7.104E+00, 1.584E+00, 8.000E-01
     2, 2.241E+00, 4.475E-01, 8.000E-01
     3, 6.406E-01, 1.083E-01, 8.000E-01
     4, 1.569E-01, 3.564E-02, 8.000E-01
     5, 5.307E-02, 2.355E-02, 8.000E-01
     6, 3.421E-02, 1.533E-02, 8.000E-01
     7, 2.206E-02, 8.089E-03, 8.000E-01
     8, 1.151E-02, 5.368E-03, 8.000E-01
     9, 7.631E-03, 3.206E-03, 8.000E-01
    10, 4.573E-03, 1.584E-03, 8.000E-01
    11, 2.266E-03, 7.007E-04, 8.000E-01
    12, 1.006E-03, 2.938E-04, 8.000E-01
    13, 4.234E-04, 1.183E-04, 8.000E-01
    14, 1.710E-04, 4.540E-05, 8.000E-01
    15, 6.573E-05, 1.650E-05, 8.000E-01
    16, 2.390E-05, 5.679E-06, 8.000E-01
    17, 8.231E-06, 1.863E-06, 8.000E-01
    18, 2.700E-06, 5.870E-07, 8.000E-01
    19, 8.508E-07, 1.794E-07, 8.000E-01
    20, 2.600E-07, 5.370E-08, 8.000E-01
    21, 7.783E-08, 1.591E-08, 8.000E-01
    22, 2.306E-08, 4.706E-09, 8.000E-01
    23, 6.823E-09, 1.397E-09, 8.000E-01
    24, 2.027E-09, 4.176E-10, 8.000E-01
    25, 6.060E-10, 1.257E-10, 8.000E-01
    26, 1.824E-10, 3.807E-11, 8.000E-01
    27, 5.531E-11, 1.164E-11, 8.000E-01
    28, 1.691E-11, 3.602E-12, 8.000E-01
    29, 5.238E-12, 1.136E-12, 8.000E-01
    30, 1.652E-12, 3.671E-13, 8.000E-01
