 method
 BSOR
 iteration,||dx||,||err||,relaxation
     1, 4.715E+00, 6.834E-01, 8.000E-01
     2, 9.424E-01, 2.219E-01, 8.000E-01
     3, 2.198E-01, 3.084E-02, 8.000E-01
     4, 4.396E-02, 1.134E-02, 8.000E-01
     5, 2.022E-02, 2.829E-03, 8.000E-01
     6, 4.042E-03, 2.051E-03, 8.000E-01
     7, 5.333E-03, 7.487E-04, 8.000E-01
     8, 1.066E-03, 5.090E-04, 8.000E-01
     9, 1.162E-03, 1.618E-04, 8.000E-01
    10, 2.324E-04, 9.498E-05, 8.000E-01
    11, 1.967E-04, 2.715E-05, 8.000E-01
    12, 3.932E-05, 1.408E-05, 8.000E-01
    13, 2.752E-05, 3.765E-06, 8.000E-01
    14, 5.504E-06, 1.761E-06, 8.000E-01
    15, 3.262E-06, 4.439E-07, 8.000E-01
    16, 6.522E-07, 1.850E-07, 8.000E-01
    17, 3.228E-07, 4.391E-08, 8.000E-01
    18, 6.455E-08, 1.604E-08, 8.000E-01
    19, 2.632E-08, 3.590E-09, 8.000E-01
    20, 5.264E-09, 1.134E-09, 8.000E-01
    21, 1.743E-09, 2.390E-10, 8.000E-01
    22, 3.484E-10, 6.575E-11, 8.000E-01
    23, 9.757E-11, 1.352E-11, 8.000E-01
    24, 1.951E-11, 4.377E-12, 8.000E-01
    25, 7.770E-12, 1.074E-12, 8.000E-01
    26, 1.554E-12, 5.036E-13, 8.000E-01
