 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 2.351E+00, 7.803E-01, 8.000E-01
     2, 4.694E-01, 1.487E-01, 8.000E-01
     3, 1.143E-01, 3.010E-02, 8.000E-01
     4, 2.292E-02, 1.867E-02, 8.000E-01
     5, 2.133E-02, 5.756E-03, 8.000E-01
     6, 4.261E-03, 3.449E-03, 8.000E-01
     7, 3.371E-03, 9.428E-04, 8.000E-01
     8, 6.735E-04, 4.493E-04, 8.000E-01
     9, 4.004E-04, 1.133E-04, 8.000E-01
    10, 8.002E-05, 4.642E-05, 8.000E-01
    11, 3.921E-05, 1.115E-05, 8.000E-01
    12, 7.837E-06, 4.108E-06, 8.000E-01
    13, 3.357E-06, 9.566E-07, 8.000E-01
    14, 6.709E-07, 3.268E-07, 8.000E-01
    15, 2.613E-07, 7.452E-08, 8.000E-01
    16, 5.223E-08, 2.410E-08, 8.000E-01
    17, 1.900E-08, 5.418E-09, 8.000E-01
    18, 3.798E-09, 1.683E-09, 8.000E-01
    19, 1.314E-09, 3.745E-10, 8.000E-01
    20, 2.627E-10, 1.129E-10, 8.000E-01
    21, 8.759E-11, 2.494E-11, 8.000E-01
    22, 1.751E-11, 7.351E-12, 8.000E-01
    23, 5.680E-12, 1.615E-12, 8.000E-01
    24, 1.136E-12, 4.680E-13, 8.000E-01
