 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 3.016E+00, 4.413E-01, 8.000E-01
     2, 5.426E-01, 7.907E-02, 8.000E-01
     3, 1.085E-01, 3.425E-02, 8.000E-01
     4, 7.427E-02, 1.039E-02, 8.000E-01
     5, 1.485E-02, 6.817E-03, 8.000E-01
     6, 1.300E-02, 1.934E-03, 8.000E-01
     7, 2.599E-03, 9.881E-04, 8.000E-01
     8, 1.675E-03, 2.545E-04, 8.000E-01
     9, 3.349E-04, 1.087E-04, 8.000E-01
    10, 1.719E-04, 2.634E-05, 8.000E-01
    11, 3.438E-05, 9.893E-06, 8.000E-01
    12, 1.497E-05, 2.304E-06, 8.000E-01
    13, 2.994E-06, 7.877E-07, 8.000E-01
    14, 1.157E-06, 1.787E-07, 8.000E-01
    15, 2.313E-07, 5.688E-08, 8.000E-01
    16, 8.175E-08, 1.266E-08, 8.000E-01
    17, 1.635E-08, 3.814E-09, 8.000E-01
    18, 5.393E-09, 8.368E-10, 8.000E-01
    19, 1.079E-09, 2.414E-10, 8.000E-01
    20, 3.370E-10, 5.238E-11, 8.000E-01
    21, 6.740E-11, 1.458E-11, 8.000E-01
    22, 2.016E-11, 3.137E-12, 8.000E-01
    23, 4.031E-12, 8.480E-13, 8.000E-01
