 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 2.351E+00, 4.167E-01, 8.000E-01
     2, 4.694E-01, 7.940E-02, 8.000E-01
     3, 1.143E-01, 1.607E-02, 8.000E-01
     4, 2.292E-02, 9.969E-03, 8.000E-01
     5, 2.133E-02, 3.074E-03, 8.000E-01
     6, 4.261E-03, 1.842E-03, 8.000E-01
     7, 3.371E-03, 5.034E-04, 8.000E-01
     8, 6.735E-04, 2.399E-04, 8.000E-01
     9, 4.004E-04, 6.052E-05, 8.000E-01
    10, 8.002E-05, 2.479E-05, 8.000E-01
    11, 3.921E-05, 5.955E-06, 8.000E-01
    12, 7.837E-06, 2.194E-06, 8.000E-01
    13, 3.357E-06, 5.108E-07, 8.000E-01
    14, 6.709E-07, 1.745E-07, 8.000E-01
    15, 2.613E-07, 3.979E-08, 8.000E-01
    16, 5.223E-08, 1.287E-08, 8.000E-01
    17, 1.900E-08, 2.893E-09, 8.000E-01
    18, 3.798E-09, 8.988E-10, 8.000E-01
    19, 1.314E-09, 2.000E-10, 8.000E-01
    20, 2.627E-10, 6.029E-11, 8.000E-01
    21, 8.759E-11, 1.332E-11, 8.000E-01
    22, 1.751E-11, 3.925E-12, 8.000E-01
    23, 5.679E-12, 8.622E-13, 8.000E-01
