 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 1.150E+01, 1.799E+00, 8.000E-01
     2, 2.244E+00, 3.165E-01, 8.000E-01
     3, 4.487E-01, 1.665E-01, 8.000E-01
     4, 3.633E-01, 5.034E-02, 8.000E-01
     5, 7.267E-02, 3.457E-02, 8.000E-01
     6, 6.811E-02, 1.032E-02, 8.000E-01
     7, 1.362E-02, 5.675E-03, 8.000E-01
     8, 9.694E-03, 1.500E-03, 8.000E-01
     9, 1.939E-03, 6.703E-04, 8.000E-01
    10, 1.058E-03, 1.644E-04, 8.000E-01
    11, 2.115E-04, 6.340E-05, 8.000E-01
    12, 9.548E-05, 1.487E-05, 8.000E-01
    13, 1.910E-05, 5.164E-06, 8.000E-01
    14, 7.547E-06, 1.176E-06, 8.000E-01
    15, 1.509E-06, 3.783E-07, 8.000E-01
    16, 5.414E-07, 8.440E-08, 8.000E-01
    17, 1.083E-07, 2.562E-08, 8.000E-01
    18, 3.611E-08, 5.630E-09, 8.000E-01
    19, 7.221E-09, 1.632E-09, 8.000E-01
    20, 2.274E-09, 3.547E-10, 8.000E-01
    21, 4.548E-10, 9.912E-11, 8.000E-01
    22, 1.368E-10, 2.135E-11, 8.000E-01
    23, 2.736E-11, 5.790E-12, 8.000E-01
    24, 7.929E-12, 1.240E-12, 8.000E-01
    25, 1.586E-12, 3.303E-13, 8.000E-01
