 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 8.961E+00, 3.155E+00, 8.000E-01
     2, 1.792E+00, 6.228E-01, 8.000E-01
     3, 5.066E-01, 1.341E-01, 8.000E-01
     4, 1.013E-01, 9.871E-02, 8.000E-01
     5, 1.113E-01, 3.174E-02, 8.000E-01
     6, 2.226E-02, 2.024E-02, 8.000E-01
     7, 1.918E-02, 5.778E-03, 8.000E-01
     8, 3.836E-03, 2.939E-03, 8.000E-01
     9, 2.482E-03, 7.570E-04, 8.000E-01
    10, 4.964E-04, 3.220E-04, 8.000E-01
    11, 2.547E-04, 7.790E-05, 8.000E-01
    12, 5.093E-05, 2.913E-05, 8.000E-01
    13, 2.213E-05, 6.775E-06, 8.000E-01
    14, 4.425E-06, 2.307E-06, 8.000E-01
    15, 1.706E-06, 5.226E-07, 8.000E-01
    16, 3.412E-07, 1.659E-07, 8.000E-01
    17, 1.204E-07, 3.689E-08, 8.000E-01
    18, 2.409E-08, 1.109E-08, 8.000E-01
    19, 7.944E-09, 2.433E-09, 8.000E-01
    20, 1.589E-09, 7.011E-10, 8.000E-01
    21, 4.969E-10, 1.521E-10, 8.000E-01
    22, 9.937E-11, 4.235E-11, 8.000E-01
    23, 2.977E-11, 9.115E-12, 8.000E-01
    24, 5.955E-12, 2.468E-12, 8.000E-01
    25, 1.722E-12, 5.291E-13, 8.000E-01
