 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 8.961E+00, 1.604E+00, 8.000E-01
     2, 1.792E+00, 3.167E-01, 8.000E-01
     3, 5.066E-01, 6.817E-02, 8.000E-01
     4, 1.013E-01, 5.019E-02, 8.000E-01
     5, 1.113E-01, 1.614E-02, 8.000E-01
     6, 2.226E-02, 1.029E-02, 8.000E-01
     7, 1.918E-02, 2.938E-03, 8.000E-01
     8, 3.836E-03, 1.494E-03, 8.000E-01
     9, 2.482E-03, 3.849E-04, 8.000E-01
    10, 4.964E-04, 1.637E-04, 8.000E-01
    11, 2.547E-04, 3.961E-05, 8.000E-01
    12, 5.093E-05, 1.481E-05, 8.000E-01
    13, 2.213E-05, 3.445E-06, 8.000E-01
    14, 4.425E-06, 1.173E-06, 8.000E-01
    15, 1.706E-06, 2.657E-07, 8.000E-01
    16, 3.412E-07, 8.435E-08, 8.000E-01
    17, 1.204E-07, 1.876E-08, 8.000E-01
    18, 2.409E-08, 5.641E-09, 8.000E-01
    19, 7.944E-09, 1.237E-09, 8.000E-01
    20, 1.589E-09, 3.565E-10, 8.000E-01
    21, 4.969E-10, 7.737E-11, 8.000E-01
    22, 9.937E-11, 2.154E-11, 8.000E-01
    23, 2.977E-11, 4.635E-12, 8.000E-01
    24, 5.955E-12, 1.254E-12, 8.000E-01
    25, 1.723E-12, 2.687E-13, 8.000E-01
