 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 5.851E+00, 8.941E-01, 8.000E-01
     2, 1.111E+00, 1.588E-01, 8.000E-01
     3, 2.222E-01, 7.832E-02, 8.000E-01
     4, 1.717E-01, 2.393E-02, 8.000E-01
     5, 3.434E-02, 1.642E-02, 8.000E-01
     6, 3.193E-02, 4.868E-03, 8.000E-01
     7, 6.385E-03, 2.646E-03, 8.000E-01
     8, 4.474E-03, 6.971E-04, 8.000E-01
     9, 8.948E-04, 3.093E-04, 8.000E-01
    10, 4.837E-04, 7.576E-05, 8.000E-01
    11, 9.673E-05, 2.910E-05, 8.000E-01
    12, 4.344E-05, 6.818E-06, 8.000E-01
    13, 8.688E-06, 2.364E-06, 8.000E-01
    14, 3.422E-06, 5.379E-07, 8.000E-01
    15, 6.845E-07, 1.729E-07, 8.000E-01
    16, 2.450E-07, 3.855E-08, 8.000E-01
    17, 4.901E-08, 1.169E-08, 8.000E-01
    18, 1.632E-08, 2.569E-09, 8.000E-01
    19, 3.263E-09, 7.445E-10, 8.000E-01
    20, 1.027E-09, 1.617E-10, 8.000E-01
    21, 2.053E-10, 4.518E-11, 8.000E-01
    22, 6.171E-11, 9.727E-12, 8.000E-01
    23, 1.234E-11, 2.636E-12, 8.000E-01
    24, 3.574E-12, 5.628E-13, 8.000E-01
