 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 4.557E+00, 1.573E+00, 8.000E-01
     2, 9.111E-01, 3.077E-01, 8.000E-01
     3, 2.457E-01, 6.487E-02, 8.000E-01
     4, 4.915E-02, 4.577E-02, 8.000E-01
     5, 5.201E-02, 1.469E-02, 8.000E-01
     6, 1.040E-02, 9.295E-03, 8.000E-01
     7, 8.844E-03, 2.636E-03, 8.000E-01
     8, 1.769E-03, 1.327E-03, 8.000E-01
     9, 1.129E-03, 3.408E-04, 8.000E-01
    10, 2.258E-04, 1.442E-04, 8.000E-01
    11, 1.151E-04, 3.488E-05, 8.000E-01
    12, 2.302E-05, 1.303E-05, 8.000E-01
    13, 1.000E-05, 3.034E-06, 8.000E-01
    14, 2.000E-06, 1.035E-06, 8.000E-01
    15, 7.745E-07, 2.350E-07, 8.000E-01
    16, 1.549E-07, 7.500E-08, 8.000E-01
    17, 5.512E-08, 1.672E-08, 8.000E-01
    18, 1.103E-08, 5.069E-09, 8.000E-01
    19, 3.679E-09, 1.115E-09, 8.000E-01
    20, 7.359E-10, 3.247E-10, 8.000E-01
    21, 2.336E-10, 7.074E-11, 8.000E-01
    22, 4.672E-11, 1.994E-11, 8.000E-01
    23, 1.425E-11, 4.310E-12, 8.000E-01
    24, 2.851E-12, 1.184E-12, 8.000E-01
    25, 8.420E-13, 2.541E-13, 8.000E-01
