 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 4.557E+00, 8.130E-01, 8.000E-01
     2, 9.111E-01, 1.591E-01, 8.000E-01
     3, 2.457E-01, 3.354E-02, 8.000E-01
     4, 4.915E-02, 2.366E-02, 8.000E-01
     5, 5.201E-02, 7.594E-03, 8.000E-01
     6, 1.040E-02, 4.805E-03, 8.000E-01
     7, 8.844E-03, 1.363E-03, 8.000E-01
     8, 1.769E-03, 6.861E-04, 8.000E-01
     9, 1.129E-03, 1.762E-04, 8.000E-01
    10, 2.258E-04, 7.457E-05, 8.000E-01
    11, 1.151E-04, 1.803E-05, 8.000E-01
    12, 2.302E-05, 6.736E-06, 8.000E-01
    13, 1.000E-05, 1.568E-06, 8.000E-01
    14, 2.000E-06, 5.353E-07, 8.000E-01
    15, 7.745E-07, 1.215E-07, 8.000E-01
    16, 1.549E-07, 3.878E-08, 8.000E-01
    17, 5.512E-08, 8.646E-09, 8.000E-01
    18, 1.103E-08, 2.621E-09, 8.000E-01
    19, 3.679E-09, 5.767E-10, 8.000E-01
    20, 7.359E-10, 1.679E-10, 8.000E-01
    21, 2.336E-10, 3.657E-11, 8.000E-01
    22, 4.672E-11, 1.031E-11, 8.000E-01
    23, 1.425E-11, 2.228E-12, 8.000E-01
    24, 2.851E-12, 6.119E-13, 8.000E-01
