 method
 BJAC
 N=         419
 iteration,||dx||,||err||,relaxation
     1, 1.777E-01, 2.336E-02, 8.000E-01
     2, 2.596E-02, 6.156E-03, 8.000E-01
     3, 9.651E-03, 1.953E-03, 8.000E-01
     4, 3.640E-03, 6.597E-04, 8.000E-01
     5, 1.529E-03, 2.350E-04, 8.000E-01
     6, 8.160E-04, 9.578E-05, 8.000E-01
     7, 4.599E-04, 4.577E-05, 8.000E-01
     8, 2.494E-04, 2.477E-05, 8.000E-01
     9, 1.416E-04, 1.409E-05, 8.000E-01
    10, 8.100E-05, 8.225E-06, 8.000E-01
    11, 4.722E-05, 4.878E-06, 8.000E-01
    12, 2.783E-05, 2.937E-06, 8.000E-01
    13, 1.663E-05, 1.791E-06, 8.000E-01
    14, 1.006E-05, 1.105E-06, 8.000E-01
    15, 6.157E-06, 6.892E-07, 8.000E-01
    16, 3.809E-06, 4.334E-07, 8.000E-01
    17, 2.378E-06, 2.744E-07, 8.000E-01
    18, 1.496E-06, 1.746E-07, 8.000E-01
    19, 9.474E-07, 1.116E-07, 8.000E-01
    20, 6.028E-07, 7.150E-08, 8.000E-01
    21, 3.849E-07, 4.592E-08, 8.000E-01
    22, 2.465E-07, 2.954E-08, 8.000E-01
    23, 1.582E-07, 1.903E-08, 8.000E-01
    24, 1.017E-07, 1.226E-08, 8.000E-01
    25, 6.546E-08, 7.910E-09, 8.000E-01
    26, 4.217E-08, 5.104E-09, 8.000E-01
    27, 2.718E-08, 3.295E-09, 8.000E-01
    28, 1.753E-08, 2.127E-09, 8.000E-01
    29, 1.131E-08, 1.374E-09, 8.000E-01
    30, 7.301E-09, 8.872E-10, 8.000E-01
    31, 4.713E-09, 5.730E-10, 8.000E-01
    32, 3.042E-09, 3.701E-10, 8.000E-01
    33, 1.965E-09, 2.391E-10, 8.000E-01
    34, 1.269E-09, 1.544E-10, 8.000E-01
    35, 8.198E-10, 9.977E-11, 8.000E-01
    36, 5.292E-10, 6.445E-11, 8.000E-01
    37, 3.417E-10, 4.164E-11, 8.000E-01
    38, 2.210E-10, 2.690E-11, 8.000E-01
    39, 1.427E-10, 1.738E-11, 8.000E-01
    40, 9.201E-11, 1.123E-11, 8.000E-01
    41, 5.951E-11, 7.252E-12, 8.000E-01
    42, 3.885E-11, 4.685E-12, 8.000E-01
    43, 2.466E-11, 3.027E-12, 8.000E-01
    44, 1.627E-11, 1.955E-12, 8.000E-01
    45, 1.001E-11, 1.263E-12, 8.000E-01
    46, 6.904E-12, 8.161E-13, 8.000E-01
