 method
 BJAC
 N=         419
 iteration,||dx||,||err||,relaxation
     1, 1.777E-01, 2.336E-02, 8.000E-01
     2, 2.596E-02, 6.156E-03, 8.000E-01
     3, 9.653E-03, 1.953E-03, 8.000E-01
     4, 3.643E-03, 6.597E-04, 8.000E-01
     5, 1.529E-03, 2.350E-04, 8.000E-01
     6, 8.164E-04, 9.578E-05, 8.000E-01
     7, 4.601E-04, 4.577E-05, 8.000E-01
     8, 2.495E-04, 2.477E-05, 8.000E-01
     9, 1.417E-04, 1.409E-05, 8.000E-01
    10, 8.104E-05, 8.225E-06, 8.000E-01
    11, 4.724E-05, 4.879E-06, 8.000E-01
    12, 2.784E-05, 2.937E-06, 8.000E-01
    13, 1.663E-05, 1.791E-06, 8.000E-01
    14, 1.006E-05, 1.105E-06, 8.000E-01
    15, 6.159E-06, 6.893E-07, 8.000E-01
    16, 3.810E-06, 4.334E-07, 8.000E-01
    17, 2.379E-06, 2.744E-07, 8.000E-01
    18, 1.497E-06, 1.746E-07, 8.000E-01
    19, 9.478E-07, 1.116E-07, 8.000E-01
    20, 6.030E-07, 7.151E-08, 8.000E-01
    21, 3.851E-07, 4.593E-08, 8.000E-01
    22, 2.466E-07, 2.954E-08, 8.000E-01
    23, 1.583E-07, 1.903E-08, 8.000E-01
    24, 1.018E-07, 1.227E-08, 8.000E-01
    25, 6.549E-08, 7.911E-09, 8.000E-01
    26, 4.219E-08, 5.105E-09, 8.000E-01
    27, 2.720E-08, 3.295E-09, 8.000E-01
    28, 1.754E-08, 2.128E-09, 8.000E-01
    29, 1.132E-08, 1.374E-09, 8.000E-01
    30, 7.305E-09, 8.873E-10, 8.000E-01
    31, 4.716E-09, 5.731E-10, 8.000E-01
    32, 3.045E-09, 3.702E-10, 8.000E-01
    33, 1.966E-09, 2.391E-10, 8.000E-01
    34, 1.270E-09, 1.545E-10, 8.000E-01
    35, 8.201E-10, 9.978E-11, 8.000E-01
    36, 5.296E-10, 6.446E-11, 8.000E-01
    37, 3.421E-10, 4.164E-11, 8.000E-01
    38, 2.210E-10, 2.690E-11, 8.000E-01
    39, 1.426E-10, 1.738E-11, 8.000E-01
    40, 9.209E-11, 1.123E-11, 8.000E-01
    41, 5.986E-11, 7.254E-12, 8.000E-01
    42, 3.836E-11, 4.686E-12, 8.000E-01
    43, 2.485E-11, 3.027E-12, 8.000E-01
    44, 1.607E-11, 1.956E-12, 8.000E-01
    45, 1.038E-11, 1.264E-12, 8.000E-01
    46, 7.053E-12, 8.163E-13, 8.000E-01
