 method
 BJAC
 N=         419
 iteration,||dx||,||err||,relaxation
     1, 1.906E-01, 3.756E-02, 8.000E-01
     2, 6.725E-02, 1.338E-02, 8.000E-01
     3, 2.127E-02, 5.891E-03, 8.000E-01
     4, 9.626E-03, 2.962E-03, 8.000E-01
     5, 4.887E-03, 1.578E-03, 8.000E-01
     6, 2.593E-03, 8.732E-04, 8.000E-01
     7, 1.446E-03, 5.012E-04, 8.000E-01
     8, 8.391E-04, 2.978E-04, 8.000E-01
     9, 5.025E-04, 1.835E-04, 8.000E-01
    10, 3.153E-04, 1.182E-04, 8.000E-01
    11, 2.051E-04, 8.031E-05, 8.000E-01
    12, 1.413E-04, 5.806E-05, 8.000E-01
    13, 1.023E-04, 4.452E-05, 8.000E-01
    14, 7.816E-05, 3.573E-05, 8.000E-01
    15, 6.208E-05, 2.953E-05, 8.000E-01
    16, 5.073E-05, 2.480E-05, 8.000E-01
    17, 4.214E-05, 2.099E-05, 8.000E-01
    18, 3.533E-05, 1.781E-05, 8.000E-01
    19, 2.976E-05, 1.512E-05, 8.000E-01
    20, 2.511E-05, 1.283E-05, 8.000E-01
    21, 2.119E-05, 1.086E-05, 8.000E-01
    22, 1.788E-05, 9.184E-06, 8.000E-01
    23, 1.507E-05, 7.752E-06, 8.000E-01
    24, 1.269E-05, 6.533E-06, 8.000E-01
    25, 1.067E-05, 5.498E-06, 8.000E-01
    26, 8.967E-06, 4.621E-06, 8.000E-01
    27, 7.527E-06, 3.879E-06, 8.000E-01
    28, 6.312E-06, 3.253E-06, 8.000E-01
    29, 5.289E-06, 2.726E-06, 8.000E-01
    30, 4.429E-06, 2.283E-06, 8.000E-01
    31, 3.706E-06, 1.910E-06, 8.000E-01
    32, 3.100E-06, 1.597E-06, 8.000E-01
    33, 2.591E-06, 1.335E-06, 8.000E-01
    34, 2.165E-06, 1.116E-06, 8.000E-01
    35, 1.809E-06, 9.319E-07, 8.000E-01
    36, 1.510E-06, 7.781E-07, 8.000E-01
    37, 1.261E-06, 6.496E-07, 8.000E-01
    38, 1.052E-06, 5.421E-07, 8.000E-01
    39, 8.780E-07, 4.523E-07, 8.000E-01
    40, 7.325E-07, 3.774E-07, 8.000E-01
    41, 6.111E-07, 3.148E-07, 8.000E-01
    42, 5.097E-07, 2.625E-07, 8.000E-01
    43, 4.250E-07, 2.189E-07, 8.000E-01
    44, 3.544E-07, 1.826E-07, 8.000E-01
    45, 2.955E-07, 1.522E-07, 8.000E-01
    46, 2.464E-07, 1.269E-07, 8.000E-01
    47, 2.054E-07, 1.058E-07, 8.000E-01
    48, 1.713E-07, 8.822E-08, 8.000E-01
    49, 1.428E-07, 7.354E-08, 8.000E-01
    50, 1.190E-07, 6.131E-08, 8.000E-01
    51, 9.922E-08, 5.111E-08, 8.000E-01
    52, 8.271E-08, 4.261E-08, 8.000E-01
    53, 6.895E-08, 3.552E-08, 8.000E-01
    54, 5.748E-08, 2.961E-08, 8.000E-01
