 method
 BJAC
 N=        3847
 iteration,||dx||,||err||,relaxation
     1, 5.933E-01, 2.084E-01, 8.000E-01
     2, 1.777E-01, 4.804E-02, 8.000E-01
     3, 3.547E-02, 1.815E-02, 8.000E-01
     4, 1.875E-02, 8.590E-03, 8.000E-01
     5, 9.384E-03, 4.401E-03, 8.000E-01
     6, 4.542E-03, 2.422E-03, 8.000E-01
     7, 2.332E-03, 1.393E-03, 8.000E-01
     8, 1.282E-03, 8.323E-04, 8.000E-01
     9, 7.482E-04, 5.070E-04, 8.000E-01
    10, 4.522E-04, 3.133E-04, 8.000E-01
    11, 2.778E-04, 1.964E-04, 8.000E-01
    12, 1.742E-04, 1.254E-04, 8.000E-01
    13, 1.108E-04, 8.189E-05, 8.000E-01
    14, 7.244E-05, 5.508E-05, 8.000E-01
    15, 4.852E-05, 3.854E-05, 8.000E-01
    16, 3.393E-05, 2.819E-05, 8.000E-01
    17, 2.466E-05, 2.143E-05, 8.000E-01
    18, 1.870E-05, 1.672E-05, 8.000E-01
    19, 1.450E-05, 1.319E-05, 8.000E-01
    20, 1.142E-05, 1.042E-05, 8.000E-01
    21, 8.995E-06, 8.213E-06, 8.000E-01
    22, 7.079E-06, 6.437E-06, 8.000E-01
    23, 5.539E-06, 5.017E-06, 8.000E-01
    24, 4.315E-06, 3.890E-06, 8.000E-01
    25, 3.343E-06, 3.003E-06, 8.000E-01
    26, 2.580E-06, 2.310E-06, 8.000E-01
    27, 1.983E-06, 1.771E-06, 8.000E-01
    28, 1.521E-06, 1.355E-06, 8.000E-01
    29, 1.163E-06, 1.035E-06, 8.000E-01
    30, 8.882E-07, 7.893E-07, 8.000E-01
    31, 6.772E-07, 6.013E-07, 8.000E-01
    32, 5.159E-07, 4.577E-07, 8.000E-01
    33, 3.926E-07, 3.482E-07, 8.000E-01
    34, 2.987E-07, 2.648E-07, 8.000E-01
    35, 2.271E-07, 2.014E-07, 8.000E-01
    36, 1.727E-07, 1.532E-07, 8.000E-01
    37, 1.313E-07, 1.166E-07, 8.000E-01
    38, 9.994E-08, 8.882E-08, 8.000E-01
    39, 7.614E-08, 6.784E-08, 8.000E-01
    40, 5.814E-08, 5.202E-08, 8.000E-01
    41, 4.457E-08, 4.016E-08, 8.000E-01
    42, 3.440E-08, 3.136E-08, 8.000E-01
    43, 2.684E-08, 2.490E-08, 8.000E-01
    44, 2.130E-08, 2.027E-08, 8.000E-01
    45, 1.733E-08, 1.704E-08, 8.000E-01
    46, 1.456E-08, 1.486E-08, 8.000E-01
    47, 1.269E-08, 1.344E-08, 8.000E-01
    48, 1.148E-08, 1.256E-08, 8.000E-01
    49, 1.072E-08, 1.202E-08, 8.000E-01
    50, 1.026E-08, 1.169E-08, 8.000E-01
    51, 9.988E-09, 1.150E-08, 8.000E-01
    52, 9.827E-09, 1.139E-08, 8.000E-01
    53, 9.734E-09, 1.133E-08, 8.000E-01
    54, 9.680E-09, 1.129E-08, 8.000E-01
    55, 9.650E-09, 1.127E-08, 8.000E-01
    56, 9.632E-09, 1.126E-08, 8.000E-01
    57, 9.622E-09, 1.125E-08, 8.000E-01
    58, 9.617E-09, 1.124E-08, 8.000E-01
    59, 9.614E-09, 1.124E-08, 8.000E-01
    60, 9.612E-09, 1.124E-08, 8.000E-01
    61, 9.611E-09, 1.124E-08, 8.000E-01
    62, 9.611E-09, 1.124E-08, 8.000E-01
    63, 9.610E-09, 1.124E-08, 8.000E-01
    64, 9.610E-09, 1.124E-08, 8.000E-01
    65, 9.610E-09, 1.124E-08, 8.000E-01
    66, 9.610E-09, 1.124E-08, 8.000E-01
    67, 9.610E-09, 1.124E-08, 8.000E-01
    68, 9.610E-09, 1.124E-08, 8.000E-01
    69, 9.610E-09, 1.124E-08, 8.000E-01
    70, 9.610E-09, 1.124E-08, 8.000E-01
    71, 9.610E-09, 1.124E-08, 8.000E-01
    72, 9.610E-09, 1.124E-08, 8.000E-01
    73, 9.610E-09, 1.124E-08, 8.000E-01
    74, 9.610E-09, 1.124E-08, 8.000E-01
    75, 9.610E-09, 1.124E-08, 8.000E-01
    76, 9.610E-09, 1.124E-08, 8.000E-01
    77, 9.610E-09, 1.124E-08, 8.000E-01
    78, 9.610E-09, 1.124E-08, 8.000E-01
    79, 9.610E-09, 1.124E-08, 8.000E-01
    80, 9.610E-09, 1.124E-08, 8.000E-01
    81, 9.610E-09, 1.124E-08, 8.000E-01
    82, 9.610E-09, 1.124E-08, 8.000E-01
    83, 9.610E-09, 1.124E-08, 8.000E-01
    84, 9.610E-09, 1.124E-08, 8.000E-01
    85, 9.610E-09, 1.124E-08, 8.000E-01
    86, 9.610E-09, 1.124E-08, 8.000E-01
    87, 9.610E-09, 1.124E-08, 8.000E-01
    88, 9.610E-09, 1.124E-08, 8.000E-01
    89, 9.610E-09, 1.124E-08, 8.000E-01
    90, 9.610E-09, 1.124E-08, 8.000E-01
    91, 9.610E-09, 1.124E-08, 8.000E-01
    92, 9.610E-09, 1.124E-08, 8.000E-01
    93, 9.610E-09, 1.124E-08, 8.000E-01
    94, 9.610E-09, 1.124E-08, 8.000E-01
    95, 9.610E-09, 1.124E-08, 8.000E-01
    96, 9.610E-09, 1.124E-08, 8.000E-01
    97, 9.610E-09, 1.124E-08, 8.000E-01
    98, 9.610E-09, 1.124E-08, 8.000E-01
    99, 9.610E-09, 1.124E-08, 8.000E-01
   100, 9.610E-09, 1.124E-08, 8.000E-01
   101, 9.610E-09, 1.124E-08, 8.000E-01
   102, 9.610E-09, 1.124E-08, 8.000E-01
   103, 9.610E-09, 1.124E-08, 8.000E-01
   104, 9.610E-09, 1.124E-08, 8.000E-01
   105, 9.610E-09, 1.124E-08, 8.000E-01
   106, 9.610E-09, 1.124E-08, 8.000E-01
   107, 9.610E-09, 1.124E-08, 8.000E-01
   108, 9.610E-09, 1.124E-08, 8.000E-01
   109, 9.610E-09, 1.124E-08, 8.000E-01
   110, 9.610E-09, 1.124E-08, 8.000E-01
   111, 9.610E-09, 1.124E-08, 8.000E-01
   112, 9.610E-09, 1.124E-08, 8.000E-01
   113, 9.610E-09, 1.124E-08, 8.000E-01
   114, 9.610E-09, 1.124E-08, 8.000E-01
   115, 9.610E-09, 1.124E-08, 8.000E-01
   116, 9.610E-09, 1.124E-08, 8.000E-01
   117, 9.610E-09, 1.124E-08, 8.000E-01
   118, 9.610E-09, 1.124E-08, 8.000E-01
   119, 9.610E-09, 1.124E-08, 8.000E-01
   120, 9.610E-09, 1.124E-08, 8.000E-01
   121, 9.610E-09, 1.124E-08, 8.000E-01
   122, 9.610E-09, 1.124E-08, 8.000E-01
   123, 9.610E-09, 1.124E-08, 8.000E-01
   124, 9.610E-09, 1.124E-08, 8.000E-01
   125, 9.610E-09, 1.124E-08, 8.000E-01
   126, 9.610E-09, 1.124E-08, 8.000E-01
   127, 9.610E-09, 1.124E-08, 8.000E-01
   128, 9.610E-09, 1.124E-08, 8.000E-01
   129, 9.610E-09, 1.124E-08, 8.000E-01
   130, 9.610E-09, 1.124E-08, 8.000E-01
   131, 9.610E-09, 1.124E-08, 8.000E-01
   132, 9.610E-09, 1.124E-08, 8.000E-01
   133, 9.610E-09, 1.124E-08, 8.000E-01
   134, 9.609E-09, 1.124E-08, 8.000E-01
   135, 9.609E-09, 1.124E-08, 8.000E-01
   136, 9.609E-09, 1.124E-08, 8.000E-01
   137, 9.609E-09, 1.124E-08, 8.000E-01
   138, 9.609E-09, 1.124E-08, 8.000E-01
   139, 9.609E-09, 1.124E-08, 8.000E-01
   140, 9.609E-09, 1.124E-08, 8.000E-01
   141, 9.609E-09, 1.124E-08, 8.000E-01
   142, 9.609E-09, 1.124E-08, 8.000E-01
   143, 9.609E-09, 1.124E-08, 8.000E-01
   144, 9.609E-09, 1.124E-08, 8.000E-01
   145, 9.609E-09, 1.124E-08, 8.000E-01
   146, 9.609E-09, 1.124E-08, 8.000E-01
   147, 9.609E-09, 1.124E-08, 8.000E-01
   148, 9.609E-09, 1.124E-08, 8.000E-01
   149, 9.609E-09, 1.124E-08, 8.000E-01
   150, 9.609E-09, 1.124E-08, 8.000E-01
   151, 9.609E-09, 1.124E-08, 8.000E-01
   152, 9.609E-09, 1.124E-08, 8.000E-01
   153, 9.609E-09, 1.124E-08, 8.000E-01
   154, 9.609E-09, 1.124E-08, 8.000E-01
   155, 9.609E-09, 1.124E-08, 8.000E-01
   156, 9.609E-09, 1.124E-08, 8.000E-01
   157, 9.609E-09, 1.124E-08, 8.000E-01
   158, 9.609E-09, 1.124E-08, 8.000E-01
   159, 9.609E-09, 1.124E-08, 8.000E-01
   160, 9.609E-09, 1.124E-08, 8.000E-01
   161, 9.609E-09, 1.124E-08, 8.000E-01
   162, 9.609E-09, 1.124E-08, 8.000E-01
   163, 9.609E-09, 1.124E-08, 8.000E-01
   164, 9.609E-09, 1.124E-08, 8.000E-01
   165, 9.609E-09, 1.124E-08, 8.000E-01
   166, 9.609E-09, 1.124E-08, 8.000E-01
   167, 9.609E-09, 1.124E-08, 8.000E-01
   168, 9.609E-09, 1.124E-08, 8.000E-01
   169, 9.609E-09, 1.124E-08, 8.000E-01
   170, 9.609E-09, 1.124E-08, 8.000E-01
   171, 9.609E-09, 1.124E-08, 8.000E-01
   172, 9.609E-09, 1.124E-08, 8.000E-01
   173, 9.609E-09, 1.124E-08, 8.000E-01
   174, 9.609E-09, 1.124E-08, 8.000E-01
   175, 9.609E-09, 1.124E-08, 8.000E-01
   176, 9.609E-09, 1.124E-08, 8.000E-01
   177, 9.609E-09, 1.124E-08, 8.000E-01
   178, 9.609E-09, 1.124E-08, 8.000E-01
   179, 9.609E-09, 1.124E-08, 8.000E-01
   180, 9.609E-09, 1.124E-08, 8.000E-01
   181, 9.609E-09, 1.124E-08, 8.000E-01
   182, 9.609E-09, 1.124E-08, 8.000E-01
   183, 9.609E-09, 1.124E-08, 8.000E-01
   184, 9.609E-09, 1.124E-08, 8.000E-01
   185, 9.609E-09, 1.124E-08, 8.000E-01
   186, 9.609E-09, 1.124E-08, 8.000E-01
   187, 9.609E-09, 1.124E-08, 8.000E-01
   188, 9.609E-09, 1.124E-08, 8.000E-01
   189, 9.609E-09, 1.124E-08, 8.000E-01
   190, 9.609E-09, 1.124E-08, 8.000E-01
   191, 9.609E-09, 1.124E-08, 8.000E-01
   192, 9.609E-09, 1.124E-08, 8.000E-01
   193, 9.609E-09, 1.124E-08, 8.000E-01
   194, 9.609E-09, 1.124E-08, 8.000E-01
   195, 9.609E-09, 1.124E-08, 8.000E-01
   196, 9.609E-09, 1.124E-08, 8.000E-01
   197, 9.609E-09, 1.124E-08, 8.000E-01
   198, 9.609E-09, 1.124E-08, 8.000E-01
   199, 9.609E-09, 1.124E-08, 8.000E-01
   200, 9.609E-09, 1.124E-08, 8.000E-01
   201, 9.609E-09, 1.124E-08, 8.000E-01
   202, 9.609E-09, 1.124E-08, 8.000E-01
   203, 9.609E-09, 1.124E-08, 8.000E-01
   204, 9.609E-09, 1.124E-08, 8.000E-01
   205, 9.609E-09, 1.124E-08, 8.000E-01
   206, 9.609E-09, 1.124E-08, 8.000E-01
   207, 9.609E-09, 1.124E-08, 8.000E-01
   208, 9.609E-09, 1.124E-08, 8.000E-01
   209, 9.609E-09, 1.124E-08, 8.000E-01
   210, 9.609E-09, 1.124E-08, 8.000E-01
   211, 9.609E-09, 1.124E-08, 8.000E-01
   212, 9.609E-09, 1.124E-08, 8.000E-01
   213, 9.609E-09, 1.124E-08, 8.000E-01
   214, 9.608E-09, 1.124E-08, 8.000E-01
   215, 9.608E-09, 1.124E-08, 8.000E-01
   216, 9.608E-09, 1.124E-08, 8.000E-01
   217, 9.608E-09, 1.124E-08, 8.000E-01
   218, 9.608E-09, 1.124E-08, 8.000E-01
   219, 9.608E-09, 1.124E-08, 8.000E-01
   220, 9.608E-09, 1.124E-08, 8.000E-01
   221, 9.608E-09, 1.124E-08, 8.000E-01
   222, 9.608E-09, 1.124E-08, 8.000E-01
