 method
 BJAC
 N=        1127
 iteration,||dx||,||err||,relaxation
     1, 3.319E-01, 5.621E-02, 8.000E-01
     2, 7.484E-02, 2.394E-02, 8.000E-01
     3, 3.547E-02, 1.027E-02, 8.000E-01
     4, 1.427E-02, 3.649E-03, 8.000E-01
     5, 4.894E-03, 1.150E-03, 8.000E-01
     6, 1.511E-03, 3.357E-04, 8.000E-01
     7, 4.350E-04, 9.330E-05, 8.000E-01
     8, 1.194E-04, 2.506E-05, 8.000E-01
     9, 3.166E-05, 6.577E-06, 8.000E-01
    10, 8.198E-06, 1.699E-06, 8.000E-01
    11, 2.088E-06, 4.345E-07, 8.000E-01
    12, 5.264E-07, 1.105E-07, 8.000E-01
    13, 1.320E-07, 2.804E-08, 8.000E-01
    14, 3.305E-08, 7.132E-09, 8.000E-01
    15, 8.312E-09, 1.829E-09, 8.000E-01
    16, 2.114E-09, 4.774E-10, 8.000E-01
    17, 5.501E-10, 1.289E-10, 8.000E-01
    18, 1.492E-10, 3.679E-11, 8.000E-01
    19, 4.341E-11, 1.133E-11, 8.000E-01
    20, 1.382E-11, 3.769E-12, 8.000E-01
    21, 5.366E-12, 1.330E-12, 8.000E-01
    22, 3.194E-12, 4.866E-13, 8.000E-01
