 method
 BJAC
 N=        1127
 iteration,||dx||,||err||,relaxation
     1, 3.306E-01, 1.136E-01, 8.000E-01
     2, 1.188E-01, 2.972E-02, 8.000E-01
     3, 2.550E-02, 1.155E-02, 8.000E-01
     4, 1.022E-02, 5.768E-03, 8.000E-01
     5, 5.979E-03, 3.173E-03, 8.000E-01
     6, 3.235E-03, 1.817E-03, 8.000E-01
     7, 1.874E-03, 1.067E-03, 8.000E-01
     8, 1.070E-03, 6.367E-04, 8.000E-01
     9, 6.314E-04, 3.859E-04, 8.000E-01
    10, 3.755E-04, 2.366E-04, 8.000E-01
    11, 2.285E-04, 1.476E-04, 8.000E-01
    12, 1.412E-04, 9.385E-05, 8.000E-01
    13, 8.945E-05, 6.138E-05, 8.000E-01
    14, 5.809E-05, 4.149E-05, 8.000E-01
    15, 3.906E-05, 2.916E-05, 8.000E-01
    16, 2.716E-05, 2.127E-05, 8.000E-01
    17, 1.963E-05, 1.602E-05, 8.000E-01
    18, 1.461E-05, 1.236E-05, 8.000E-01
    19, 1.118E-05, 9.690E-06, 8.000E-01
    20, 8.685E-06, 7.674E-06, 8.000E-01
    21, 6.842E-06, 6.114E-06, 8.000E-01
    22, 5.422E-06, 4.886E-06, 8.000E-01
    23, 4.321E-06, 3.911E-06, 8.000E-01
    24, 3.450E-06, 3.133E-06, 8.000E-01
    25, 2.759E-06, 2.509E-06, 8.000E-01
    26, 2.207E-06, 2.010E-06, 8.000E-01
    27, 1.767E-06, 1.609E-06, 8.000E-01
    28, 1.414E-06, 1.288E-06, 8.000E-01
    29, 1.131E-06, 1.031E-06, 8.000E-01
    30, 9.051E-07, 8.245E-07, 8.000E-01
    31, 7.240E-07, 6.593E-07, 8.000E-01
    32, 5.790E-07, 5.271E-07, 8.000E-01
    33, 4.629E-07, 4.213E-07, 8.000E-01
    34, 3.700E-07, 3.367E-07, 8.000E-01
    35, 2.958E-07, 2.691E-07, 8.000E-01
    36, 2.364E-07, 2.150E-07, 8.000E-01
    37, 1.889E-07, 1.718E-07, 8.000E-01
    38, 1.510E-07, 1.372E-07, 8.000E-01
    39, 1.206E-07, 1.096E-07, 8.000E-01
    40, 9.641E-08, 8.761E-08, 8.000E-01
    41, 7.706E-08, 7.002E-08, 8.000E-01
    42, 6.160E-08, 5.598E-08, 8.000E-01
    43, 4.926E-08, 4.478E-08, 8.000E-01
    44, 3.941E-08, 3.585E-08, 8.000E-01
    45, 3.156E-08, 2.874E-08, 8.000E-01
    46, 2.530E-08, 2.309E-08, 8.000E-01
    47, 2.033E-08, 1.861E-08, 8.000E-01
    48, 1.638E-08, 1.507E-08, 8.000E-01
    49, 1.326E-08, 1.229E-08, 8.000E-01
    50, 1.080E-08, 1.013E-08, 8.000E-01
    51, 8.887E-09, 8.466E-09, 8.000E-01
    52, 7.411E-09, 7.206E-09, 8.000E-01
    53, 6.289E-09, 6.271E-09, 8.000E-01
    54, 5.454E-09, 5.594E-09, 8.000E-01
    55, 4.847E-09, 5.115E-09, 8.000E-01
    56, 4.415E-09, 4.785E-09, 8.000E-01
    57, 4.116E-09, 4.561E-09, 8.000E-01
    58, 3.913E-09, 4.412E-09, 8.000E-01
    59, 3.778E-09, 4.315E-09, 8.000E-01
    60, 3.689E-09, 4.252E-09, 8.000E-01
    61, 3.631E-09, 4.211E-09, 8.000E-01
    62, 3.594E-09, 4.184E-09, 8.000E-01
    63, 3.569E-09, 4.167E-09, 8.000E-01
    64, 3.554E-09, 4.156E-09, 8.000E-01
    65, 3.544E-09, 4.150E-09, 8.000E-01
    66, 3.538E-09, 4.145E-09, 8.000E-01
    67, 3.534E-09, 4.142E-09, 8.000E-01
    68, 3.531E-09, 4.140E-09, 8.000E-01
    69, 3.530E-09, 4.139E-09, 8.000E-01
    70, 3.528E-09, 4.139E-09, 8.000E-01
    71, 3.528E-09, 4.138E-09, 8.000E-01
    72, 3.527E-09, 4.138E-09, 8.000E-01
    73, 3.527E-09, 4.138E-09, 8.000E-01
    74, 3.527E-09, 4.137E-09, 8.000E-01
    75, 3.527E-09, 4.137E-09, 8.000E-01
    76, 3.527E-09, 4.137E-09, 8.000E-01
    77, 3.527E-09, 4.137E-09, 8.000E-01
    78, 3.527E-09, 4.137E-09, 8.000E-01
    79, 3.527E-09, 4.137E-09, 8.000E-01
    80, 3.527E-09, 4.137E-09, 8.000E-01
    81, 3.527E-09, 4.137E-09, 8.000E-01
    82, 3.527E-09, 4.137E-09, 8.000E-01
    83, 3.527E-09, 4.137E-09, 8.000E-01
    84, 3.527E-09, 4.137E-09, 8.000E-01
    85, 3.527E-09, 4.137E-09, 8.000E-01
    86, 3.527E-09, 4.137E-09, 8.000E-01
    87, 3.527E-09, 4.137E-09, 8.000E-01
    88, 3.527E-09, 4.137E-09, 8.000E-01
    89, 3.527E-09, 4.137E-09, 8.000E-01
    90, 3.527E-09, 4.137E-09, 8.000E-01
    91, 3.527E-09, 4.137E-09, 8.000E-01
    92, 3.527E-09, 4.137E-09, 8.000E-01
    93, 3.527E-09, 4.137E-09, 8.000E-01
    94, 3.527E-09, 4.137E-09, 8.000E-01
    95, 3.527E-09, 4.137E-09, 8.000E-01
    96, 3.527E-09, 4.137E-09, 8.000E-01
    97, 3.527E-09, 4.137E-09, 8.000E-01
    98, 3.527E-09, 4.137E-09, 8.000E-01
    99, 3.527E-09, 4.137E-09, 8.000E-01
   100, 3.527E-09, 4.137E-09, 8.000E-01
   101, 3.527E-09, 4.137E-09, 8.000E-01
   102, 3.527E-09, 4.137E-09, 8.000E-01
   103, 3.527E-09, 4.137E-09, 8.000E-01
   104, 3.527E-09, 4.137E-09, 8.000E-01
   105, 3.527E-09, 4.137E-09, 8.000E-01
   106, 3.527E-09, 4.137E-09, 8.000E-01
   107, 3.527E-09, 4.137E-09, 8.000E-01
   108, 3.527E-09, 4.137E-09, 8.000E-01
   109, 3.527E-09, 4.137E-09, 8.000E-01
   110, 3.526E-09, 4.137E-09, 8.000E-01
   111, 3.527E-09, 4.137E-09, 8.000E-01
   112, 3.527E-09, 4.137E-09, 8.000E-01
   113, 3.527E-09, 4.137E-09, 8.000E-01
   114, 3.527E-09, 4.137E-09, 8.000E-01
   115, 3.527E-09, 4.137E-09, 8.000E-01
   116, 3.526E-09, 4.137E-09, 8.000E-01
   117, 3.527E-09, 4.137E-09, 8.000E-01
   118, 3.527E-09, 4.137E-09, 8.000E-01
   119, 3.527E-09, 4.137E-09, 8.000E-01
   120, 3.527E-09, 4.137E-09, 8.000E-01
   121, 3.527E-09, 4.137E-09, 8.000E-01
   122, 3.526E-09, 4.137E-09, 8.000E-01
   123, 3.527E-09, 4.137E-09, 8.000E-01
   124, 3.527E-09, 4.137E-09, 8.000E-01
   125, 3.527E-09, 4.137E-09, 8.000E-01
   126, 3.527E-09, 4.137E-09, 8.000E-01
   127, 3.527E-09, 4.137E-09, 8.000E-01
   128, 3.526E-09, 4.137E-09, 8.000E-01
   129, 3.527E-09, 4.137E-09, 8.000E-01
   130, 3.527E-09, 4.137E-09, 8.000E-01
   131, 3.527E-09, 4.137E-09, 8.000E-01
   132, 3.527E-09, 4.137E-09, 8.000E-01
   133, 3.527E-09, 4.137E-09, 8.000E-01
   134, 3.526E-09, 4.137E-09, 8.000E-01
   135, 3.527E-09, 4.137E-09, 8.000E-01
   136, 3.527E-09, 4.137E-09, 8.000E-01
   137, 3.527E-09, 4.137E-09, 8.000E-01
   138, 3.527E-09, 4.137E-09, 8.000E-01
   139, 3.526E-09, 4.137E-09, 8.000E-01
   140, 3.526E-09, 4.137E-09, 8.000E-01
   141, 3.527E-09, 4.137E-09, 8.000E-01
   142, 3.527E-09, 4.137E-09, 8.000E-01
   143, 3.527E-09, 4.137E-09, 8.000E-01
   144, 3.527E-09, 4.137E-09, 8.000E-01
   145, 3.526E-09, 4.137E-09, 8.000E-01
   146, 3.526E-09, 4.137E-09, 8.000E-01
   147, 3.527E-09, 4.137E-09, 8.000E-01
   148, 3.527E-09, 4.137E-09, 8.000E-01
   149, 3.527E-09, 4.137E-09, 8.000E-01
   150, 3.527E-09, 4.137E-09, 8.000E-01
   151, 3.526E-09, 4.137E-09, 8.000E-01
   152, 3.526E-09, 4.137E-09, 8.000E-01
   153, 3.526E-09, 4.137E-09, 8.000E-01
   154, 3.526E-09, 4.137E-09, 8.000E-01
   155, 3.526E-09, 4.137E-09, 8.000E-01
   156, 3.526E-09, 4.137E-09, 8.000E-01
   157, 3.526E-09, 4.137E-09, 8.000E-01
   158, 3.526E-09, 4.137E-09, 8.000E-01
   159, 3.526E-09, 4.137E-09, 8.000E-01
   160, 3.526E-09, 4.137E-09, 8.000E-01
   161, 3.526E-09, 4.137E-09, 8.000E-01
   162, 3.526E-09, 4.137E-09, 8.000E-01
   163, 3.526E-09, 4.137E-09, 8.000E-01
   164, 3.526E-09, 4.137E-09, 8.000E-01
   165, 3.526E-09, 4.137E-09, 8.000E-01
   166, 3.526E-09, 4.137E-09, 8.000E-01
   167, 3.526E-09, 4.137E-09, 8.000E-01
   168, 3.526E-09, 4.137E-09, 8.000E-01
   169, 3.526E-09, 4.137E-09, 8.000E-01
   170, 3.526E-09, 4.137E-09, 8.000E-01
   171, 3.526E-09, 4.137E-09, 8.000E-01
   172, 3.526E-09, 4.137E-09, 8.000E-01
   173, 3.526E-09, 4.137E-09, 8.000E-01
   174, 3.526E-09, 4.137E-09, 8.000E-01
   175, 3.526E-09, 4.137E-09, 8.000E-01
   176, 3.526E-09, 4.137E-09, 8.000E-01
   177, 3.526E-09, 4.137E-09, 8.000E-01
   178, 3.526E-09, 4.137E-09, 8.000E-01
   179, 3.526E-09, 4.137E-09, 8.000E-01
   180, 3.526E-09, 4.137E-09, 8.000E-01
   181, 3.526E-09, 4.137E-09, 8.000E-01
   182, 3.526E-09, 4.137E-09, 8.000E-01
   183, 3.526E-09, 4.137E-09, 8.000E-01
   184, 3.526E-09, 4.137E-09, 8.000E-01
   185, 3.526E-09, 4.137E-09, 8.000E-01
   186, 3.526E-09, 4.137E-09, 8.000E-01
   187, 3.526E-09, 4.137E-09, 8.000E-01
   188, 3.526E-09, 4.137E-09, 8.000E-01
   189, 3.526E-09, 4.137E-09, 8.000E-01
