 method
 BJAC
 N=        1127
 iteration,||dx||,||err||,relaxation
     1, 3.306E-01, 6.043E-02, 8.000E-01
     2, 1.188E-01, 1.581E-02, 8.000E-01
     3, 2.551E-02, 6.143E-03, 8.000E-01
     4, 1.022E-02, 3.068E-03, 8.000E-01
     5, 5.979E-03, 1.688E-03, 8.000E-01
     6, 3.235E-03, 9.664E-04, 8.000E-01
     7, 1.874E-03, 5.676E-04, 8.000E-01
     8, 1.070E-03, 3.387E-04, 8.000E-01
     9, 6.314E-04, 2.053E-04, 8.000E-01
    10, 3.755E-04, 1.259E-04, 8.000E-01
    11, 2.285E-04, 7.852E-05, 8.000E-01
    12, 1.412E-04, 4.992E-05, 8.000E-01
    13, 8.946E-05, 3.265E-05, 8.000E-01
    14, 5.809E-05, 2.207E-05, 8.000E-01
    15, 3.907E-05, 1.551E-05, 8.000E-01
    16, 2.716E-05, 1.131E-05, 8.000E-01
    17, 1.964E-05, 8.523E-06, 8.000E-01
    18, 1.461E-05, 6.574E-06, 8.000E-01
    19, 1.118E-05, 5.155E-06, 8.000E-01
    20, 8.685E-06, 4.082E-06, 8.000E-01
    21, 6.842E-06, 3.252E-06, 8.000E-01
    22, 5.423E-06, 2.599E-06, 8.000E-01
    23, 4.322E-06, 2.080E-06, 8.000E-01
    24, 3.450E-06, 1.666E-06, 8.000E-01
    25, 2.760E-06, 1.335E-06, 8.000E-01
    26, 2.208E-06, 1.069E-06, 8.000E-01
    27, 1.767E-06, 8.560E-07, 8.000E-01
    28, 1.414E-06, 6.852E-07, 8.000E-01
    29, 1.132E-06, 5.483E-07, 8.000E-01
    30, 9.052E-07, 4.386E-07, 8.000E-01
    31, 7.241E-07, 3.507E-07, 8.000E-01
    32, 5.790E-07, 2.804E-07, 8.000E-01
    33, 4.630E-07, 2.241E-07, 8.000E-01
    34, 3.701E-07, 1.791E-07, 8.000E-01
    35, 2.958E-07, 1.431E-07, 8.000E-01
    36, 2.364E-07, 1.143E-07, 8.000E-01
    37, 1.889E-07, 9.135E-08, 8.000E-01
    38, 1.510E-07, 7.298E-08, 8.000E-01
    39, 1.206E-07, 5.830E-08, 8.000E-01
    40, 9.640E-08, 4.658E-08, 8.000E-01
    41, 7.704E-08, 3.722E-08, 8.000E-01
    42, 6.157E-08, 2.975E-08, 8.000E-01
    43, 4.922E-08, 2.378E-08, 8.000E-01
    44, 3.936E-08, 1.902E-08, 8.000E-01
    45, 3.149E-08, 1.523E-08, 8.000E-01
    46, 2.522E-08, 1.221E-08, 8.000E-01
    47, 2.022E-08, 9.813E-09, 8.000E-01
    48, 1.625E-08, 7.910E-09, 8.000E-01
    49, 1.309E-08, 6.408E-09, 8.000E-01
    50, 1.060E-08, 5.229E-09, 8.000E-01
    51, 8.641E-09, 4.311E-09, 8.000E-01
    52, 7.113E-09, 3.606E-09, 8.000E-01
    53, 5.935E-09, 3.072E-09, 8.000E-01
    54, 5.042E-09, 2.677E-09, 8.000E-01
    55, 4.377E-09, 2.390E-09, 8.000E-01
    56, 3.893E-09, 2.188E-09, 8.000E-01
    57, 3.551E-09, 2.049E-09, 8.000E-01
    58, 3.313E-09, 1.954E-09, 8.000E-01
    59, 3.152E-09, 1.892E-09, 8.000E-01
    60, 3.045E-09, 1.851E-09, 8.000E-01
    61, 2.975E-09, 1.824E-09, 8.000E-01
    62, 2.929E-09, 1.807E-09, 8.000E-01
    63, 2.899E-09, 1.796E-09, 8.000E-01
    64, 2.880E-09, 1.789E-09, 8.000E-01
    65, 2.868E-09, 1.784E-09, 8.000E-01
    66, 2.860E-09, 1.781E-09, 8.000E-01
    67, 2.855E-09, 1.779E-09, 8.000E-01
    68, 2.852E-09, 1.778E-09, 8.000E-01
    69, 2.850E-09, 1.777E-09, 8.000E-01
    70, 2.848E-09, 1.777E-09, 8.000E-01
    71, 2.848E-09, 1.776E-09, 8.000E-01
    72, 2.847E-09, 1.776E-09, 8.000E-01
    73, 2.847E-09, 1.776E-09, 8.000E-01
    74, 2.846E-09, 1.776E-09, 8.000E-01
    75, 2.846E-09, 1.776E-09, 8.000E-01
    76, 2.846E-09, 1.776E-09, 8.000E-01
    77, 2.846E-09, 1.776E-09, 8.000E-01
    78, 2.846E-09, 1.776E-09, 8.000E-01
    79, 2.846E-09, 1.776E-09, 8.000E-01
    80, 2.846E-09, 1.776E-09, 8.000E-01
    81, 2.846E-09, 1.776E-09, 8.000E-01
    82, 2.846E-09, 1.776E-09, 8.000E-01
    83, 2.846E-09, 1.776E-09, 8.000E-01
    84, 2.846E-09, 1.776E-09, 8.000E-01
    85, 2.846E-09, 1.776E-09, 8.000E-01
    86, 2.846E-09, 1.776E-09, 8.000E-01
    87, 2.846E-09, 1.776E-09, 8.000E-01
    88, 2.846E-09, 1.776E-09, 8.000E-01
    89, 2.846E-09, 1.776E-09, 8.000E-01
    90, 2.846E-09, 1.776E-09, 8.000E-01
    91, 2.846E-09, 1.776E-09, 8.000E-01
    92, 2.846E-09, 1.776E-09, 8.000E-01
    93, 2.846E-09, 1.776E-09, 8.000E-01
    94, 2.846E-09, 1.776E-09, 8.000E-01
    95, 2.846E-09, 1.776E-09, 8.000E-01
    96, 2.846E-09, 1.776E-09, 8.000E-01
    97, 2.846E-09, 1.776E-09, 8.000E-01
    98, 2.846E-09, 1.776E-09, 8.000E-01
    99, 2.846E-09, 1.776E-09, 8.000E-01
   100, 2.846E-09, 1.776E-09, 8.000E-01
   101, 2.846E-09, 1.776E-09, 8.000E-01
   102, 2.846E-09, 1.776E-09, 8.000E-01
   103, 2.846E-09, 1.776E-09, 8.000E-01
   104, 2.846E-09, 1.776E-09, 8.000E-01
