 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 1.895E-01, 6.051E-02, 8.000E-01
     2, 4.295E-02, 1.330E-02, 8.000E-01
     3, 1.079E-02, 5.157E-03, 8.000E-01
     4, 6.519E-03, 3.448E-03, 8.000E-01
     5, 4.022E-03, 2.536E-03, 8.000E-01
     6, 3.095E-03, 1.962E-03, 8.000E-01
     7, 2.231E-03, 1.543E-03, 8.000E-01
     8, 1.765E-03, 1.257E-03, 8.000E-01
     9, 1.376E-03, 1.031E-03, 8.000E-01
    10, 1.119E-03, 8.623E-04, 8.000E-01
    11, 9.166E-04, 7.203E-04, 8.000E-01
    12, 7.550E-04, 6.050E-04, 8.000E-01
    13, 6.310E-04, 5.057E-04, 8.000E-01
    14, 5.200E-04, 4.225E-04, 8.000E-01
    15, 4.358E-04, 3.511E-04, 8.000E-01
    16, 3.573E-04, 2.911E-04, 8.000E-01
    17, 2.983E-04, 2.402E-04, 8.000E-01
    18, 2.431E-04, 1.978E-04, 8.000E-01
    19, 2.019E-04, 1.623E-04, 8.000E-01
    20, 1.636E-04, 1.329E-04, 8.000E-01
    21, 1.353E-04, 1.085E-04, 8.000E-01
    22, 1.092E-04, 8.845E-05, 8.000E-01
    23, 8.993E-05, 7.197E-05, 8.000E-01
    24, 7.234E-05, 5.851E-05, 8.000E-01
    25, 5.943E-05, 4.750E-05, 8.000E-01
    26, 4.770E-05, 3.853E-05, 8.000E-01
    27, 3.912E-05, 3.123E-05, 8.000E-01
    28, 3.134E-05, 2.530E-05, 8.000E-01
    29, 2.567E-05, 2.048E-05, 8.000E-01
    30, 2.055E-05, 1.658E-05, 8.000E-01
    31, 1.682E-05, 1.341E-05, 8.000E-01
    32, 1.345E-05, 1.085E-05, 8.000E-01
    33, 1.101E-05, 8.775E-06, 8.000E-01
    34, 8.800E-06, 7.097E-06, 8.000E-01
    35, 7.198E-06, 5.738E-06, 8.000E-01
    36, 5.754E-06, 4.640E-06, 8.000E-01
    37, 4.706E-06, 3.751E-06, 8.000E-01
    38, 3.761E-06, 3.033E-06, 8.000E-01
    39, 3.076E-06, 2.452E-06, 8.000E-01
    40, 2.459E-06, 1.982E-06, 8.000E-01
    41, 2.011E-06, 1.603E-06, 8.000E-01
    42, 1.607E-06, 1.296E-06, 8.000E-01
    43, 1.314E-06, 1.048E-06, 8.000E-01
    44, 1.051E-06, 8.472E-07, 8.000E-01
    45, 8.593E-07, 6.850E-07, 8.000E-01
    46, 6.869E-07, 5.539E-07, 8.000E-01
    47, 5.618E-07, 4.479E-07, 8.000E-01
    48, 4.492E-07, 3.622E-07, 8.000E-01
    49, 3.674E-07, 2.929E-07, 8.000E-01
    50, 2.938E-07, 2.369E-07, 8.000E-01
    51, 2.403E-07, 1.916E-07, 8.000E-01
    52, 1.922E-07, 1.550E-07, 8.000E-01
    53, 1.572E-07, 1.254E-07, 8.000E-01
    54, 1.258E-07, 1.015E-07, 8.000E-01
    55, 1.029E-07, 8.214E-08, 8.000E-01
    56, 8.239E-08, 6.651E-08, 8.000E-01
    57, 6.746E-08, 5.388E-08, 8.000E-01
    58, 5.405E-08, 4.370E-08, 8.000E-01
    59, 4.432E-08, 3.548E-08, 8.000E-01
    60, 3.560E-08, 2.887E-08, 8.000E-01
    61, 2.928E-08, 2.356E-08, 8.000E-01
    62, 2.364E-08, 1.931E-08, 8.000E-01
    63, 1.958E-08, 1.593E-08, 8.000E-01
    64, 1.599E-08, 1.326E-08, 8.000E-01
    65, 1.343E-08, 1.117E-08, 8.000E-01
    66, 1.121E-08, 9.560E-09, 8.000E-01
    67, 9.670E-09, 8.340E-09, 8.000E-01
    68, 8.374E-09, 7.433E-09, 8.000E-01
    69, 7.505E-09, 6.774E-09, 8.000E-01
    70, 6.805E-09, 6.306E-09, 8.000E-01
    71, 6.356E-09, 5.980E-09, 8.000E-01
    72, 6.009E-09, 5.756E-09, 8.000E-01
    73, 5.794E-09, 5.605E-09, 8.000E-01
    74, 5.634E-09, 5.504E-09, 8.000E-01
    75, 5.536E-09, 5.437E-09, 8.000E-01
    76, 5.465E-09, 5.392E-09, 8.000E-01
    77, 5.422E-09, 5.363E-09, 8.000E-01
    78, 5.391E-09, 5.344E-09, 8.000E-01
    79, 5.372E-09, 5.331E-09, 8.000E-01
    80, 5.359E-09, 5.323E-09, 8.000E-01
    81, 5.351E-09, 5.317E-09, 8.000E-01
    82, 5.345E-09, 5.314E-09, 8.000E-01
    83, 5.342E-09, 5.311E-09, 8.000E-01
    84, 5.339E-09, 5.310E-09, 8.000E-01
    85, 5.338E-09, 5.309E-09, 8.000E-01
    86, 5.337E-09, 5.308E-09, 8.000E-01
    87, 5.336E-09, 5.308E-09, 8.000E-01
    88, 5.336E-09, 5.307E-09, 8.000E-01
    89, 5.335E-09, 5.307E-09, 8.000E-01
    90, 5.335E-09, 5.307E-09, 8.000E-01
    91, 5.335E-09, 5.307E-09, 8.000E-01
    92, 5.335E-09, 5.307E-09, 8.000E-01
    93, 5.335E-09, 5.307E-09, 8.000E-01
    94, 5.335E-09, 5.307E-09, 8.000E-01
    95, 5.335E-09, 5.307E-09, 8.000E-01
    96, 5.335E-09, 5.307E-09, 8.000E-01
    97, 5.335E-09, 5.307E-09, 8.000E-01
    98, 5.335E-09, 5.307E-09, 8.000E-01
    99, 5.335E-09, 5.307E-09, 8.000E-01
   100, 5.335E-09, 5.307E-09, 8.000E-01
   101, 5.335E-09, 5.307E-09, 8.000E-01
   102, 5.335E-09, 5.307E-09, 8.000E-01
   103, 5.335E-09, 5.307E-09, 8.000E-01
   104, 5.335E-09, 5.307E-09, 8.000E-01
   105, 5.335E-09, 5.307E-09, 8.000E-01
   106, 5.335E-09, 5.307E-09, 8.000E-01
   107, 5.335E-09, 5.307E-09, 8.000E-01
   108, 5.335E-09, 5.307E-09, 8.000E-01
   109, 5.335E-09, 5.307E-09, 8.000E-01
   110, 5.335E-09, 5.307E-09, 8.000E-01
   111, 5.335E-09, 5.307E-09, 8.000E-01
   112, 5.335E-09, 5.307E-09, 8.000E-01
   113, 5.335E-09, 5.307E-09, 8.000E-01
   114, 5.335E-09, 5.307E-09, 8.000E-01
   115, 5.335E-09, 5.307E-09, 8.000E-01
   116, 5.335E-09, 5.307E-09, 8.000E-01
   117, 5.335E-09, 5.307E-09, 8.000E-01
   118, 5.335E-09, 5.307E-09, 8.000E-01
   119, 5.335E-09, 5.307E-09, 8.000E-01
   120, 5.335E-09, 5.307E-09, 8.000E-01
   121, 5.335E-09, 5.307E-09, 8.000E-01
   122, 5.335E-09, 5.307E-09, 8.000E-01
   123, 5.335E-09, 5.307E-09, 8.000E-01
   124, 5.335E-09, 5.307E-09, 8.000E-01
   125, 5.335E-09, 5.307E-09, 8.000E-01
   126, 5.335E-09, 5.307E-09, 8.000E-01
   127, 5.335E-09, 5.307E-09, 8.000E-01
   128, 5.335E-09, 5.307E-09, 8.000E-01
   129, 5.335E-09, 5.307E-09, 8.000E-01
   130, 5.335E-09, 5.307E-09, 8.000E-01
   131, 5.335E-09, 5.307E-09, 8.000E-01
   132, 5.335E-09, 5.307E-09, 8.000E-01
   133, 5.335E-09, 5.307E-09, 8.000E-01
   134, 5.335E-09, 5.307E-09, 8.000E-01
   135, 5.335E-09, 5.307E-09, 8.000E-01
   136, 5.335E-09, 5.307E-09, 8.000E-01
   137, 5.335E-09, 5.307E-09, 8.000E-01
   138, 5.335E-09, 5.307E-09, 8.000E-01
   139, 5.335E-09, 5.307E-09, 8.000E-01
   140, 5.335E-09, 5.307E-09, 8.000E-01
   141, 5.335E-09, 5.307E-09, 8.000E-01
   142, 5.335E-09, 5.307E-09, 8.000E-01
   143, 5.335E-09, 5.307E-09, 8.000E-01
   144, 5.335E-09, 5.307E-09, 8.000E-01
   145, 5.335E-09, 5.307E-09, 8.000E-01
   146, 5.335E-09, 5.307E-09, 8.000E-01
   147, 5.335E-09, 5.307E-09, 8.000E-01
   148, 5.335E-09, 5.307E-09, 8.000E-01
   149, 5.335E-09, 5.307E-09, 8.000E-01
   150, 5.335E-09, 5.307E-09, 8.000E-01
   151, 5.335E-09, 5.307E-09, 8.000E-01
   152, 5.335E-09, 5.307E-09, 8.000E-01
   153, 5.335E-09, 5.307E-09, 8.000E-01
