 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 5.838E-01, 2.162E-01, 8.000E-01
     2, 1.385E-01, 4.234E-02, 8.000E-01
     3, 2.920E-02, 1.075E-02, 8.000E-01
     4, 1.031E-02, 4.311E-03, 8.000E-01
     5, 4.757E-03, 2.719E-03, 8.000E-01
     6, 3.580E-03, 1.724E-03, 8.000E-01
     7, 1.961E-03, 1.196E-03, 8.000E-01
     8, 1.384E-03, 8.225E-04, 8.000E-01
     9, 8.825E-04, 5.564E-04, 8.000E-01
    10, 5.955E-04, 3.778E-04, 8.000E-01
    11, 3.952E-04, 2.564E-04, 8.000E-01
    12, 2.654E-04, 1.819E-04, 8.000E-01
    13, 1.883E-04, 1.342E-04, 8.000E-01
    14, 1.364E-04, 1.022E-04, 8.000E-01
    15, 1.047E-04, 7.843E-05, 8.000E-01
    16, 7.897E-05, 6.013E-05, 8.000E-01
    17, 6.107E-05, 4.564E-05, 8.000E-01
    18, 4.573E-05, 3.438E-05, 8.000E-01
    19, 3.474E-05, 2.565E-05, 8.000E-01
    20, 2.563E-05, 1.903E-05, 8.000E-01
    21, 1.918E-05, 1.402E-05, 8.000E-01
    22, 1.400E-05, 1.030E-05, 8.000E-01
    23, 1.037E-05, 7.540E-06, 8.000E-01
    24, 7.523E-06, 5.511E-06, 8.000E-01
    25, 5.543E-06, 4.017E-06, 8.000E-01
    26, 4.007E-06, 2.927E-06, 8.000E-01
    27, 2.943E-06, 2.129E-06, 8.000E-01
    28, 2.124E-06, 1.549E-06, 8.000E-01
    29, 1.558E-06, 1.126E-06, 8.000E-01
    30, 1.123E-06, 8.187E-07, 8.000E-01
    31, 8.229E-07, 5.947E-07, 8.000E-01
    32, 5.934E-07, 4.326E-07, 8.000E-01
    33, 4.348E-07, 3.146E-07, 8.000E-01
    34, 3.140E-07, 2.294E-07, 8.000E-01
    35, 2.306E-07, 1.676E-07, 8.000E-01
    36, 1.673E-07, 1.233E-07, 8.000E-01
    37, 1.239E-07, 9.150E-08, 8.000E-01
    38, 9.142E-08, 6.921E-08, 8.000E-01
    39, 6.958E-08, 5.380E-08, 8.000E-01
    40, 5.383E-08, 4.357E-08, 8.000E-01
    41, 4.385E-08, 3.704E-08, 8.000E-01
    42, 3.715E-08, 3.310E-08, 8.000E-01
    43, 3.337E-08, 3.081E-08, 8.000E-01
    44, 3.095E-08, 2.953E-08, 8.000E-01
    45, 2.981E-08, 2.884E-08, 8.000E-01
    46, 2.899E-08, 2.846E-08, 8.000E-01
    47, 2.875E-08, 2.827E-08, 8.000E-01
    48, 2.842E-08, 2.816E-08, 8.000E-01
    49, 2.845E-08, 2.810E-08, 8.000E-01
    50, 2.826E-08, 2.808E-08, 8.000E-01
    51, 2.837E-08, 2.806E-08, 8.000E-01
    52, 2.822E-08, 2.805E-08, 8.000E-01
    53, 2.835E-08, 2.805E-08, 8.000E-01
    54, 2.821E-08, 2.804E-08, 8.000E-01
    55, 2.834E-08, 2.804E-08, 8.000E-01
    56, 2.820E-08, 2.804E-08, 8.000E-01
    57, 2.834E-08, 2.804E-08, 8.000E-01
    58, 2.820E-08, 2.804E-08, 8.000E-01
    59, 2.834E-08, 2.804E-08, 8.000E-01
    60, 2.820E-08, 2.804E-08, 8.000E-01
    61, 2.834E-08, 2.804E-08, 8.000E-01
    62, 2.820E-08, 2.804E-08, 8.000E-01
    63, 2.834E-08, 2.804E-08, 8.000E-01
    64, 2.820E-08, 2.804E-08, 8.000E-01
    65, 2.834E-08, 2.804E-08, 8.000E-01
    66, 2.820E-08, 2.804E-08, 8.000E-01
    67, 2.834E-08, 2.804E-08, 8.000E-01
    68, 2.820E-08, 2.804E-08, 8.000E-01
    69, 2.834E-08, 2.804E-08, 8.000E-01
    70, 2.820E-08, 2.804E-08, 8.000E-01
    71, 2.834E-08, 2.804E-08, 8.000E-01
    72, 2.820E-08, 2.804E-08, 8.000E-01
    73, 2.834E-08, 2.804E-08, 8.000E-01
    74, 2.820E-08, 2.804E-08, 8.000E-01
    75, 2.834E-08, 2.804E-08, 8.000E-01
    76, 2.820E-08, 2.804E-08, 8.000E-01
    77, 2.834E-08, 2.804E-08, 8.000E-01
    78, 2.820E-08, 2.804E-08, 8.000E-01
    79, 2.834E-08, 2.804E-08, 8.000E-01
    80, 2.820E-08, 2.804E-08, 8.000E-01
    81, 2.834E-08, 2.804E-08, 8.000E-01
    82, 2.820E-08, 2.804E-08, 8.000E-01
    83, 2.834E-08, 2.804E-08, 8.000E-01
    84, 2.820E-08, 2.804E-08, 8.000E-01
    85, 2.834E-08, 2.804E-08, 8.000E-01
    86, 2.820E-08, 2.804E-08, 8.000E-01
    87, 2.834E-08, 2.804E-08, 8.000E-01
    88, 2.820E-08, 2.804E-08, 8.000E-01
    89, 2.834E-08, 2.804E-08, 8.000E-01
    90, 2.820E-08, 2.804E-08, 8.000E-01
    91, 2.834E-08, 2.804E-08, 8.000E-01
    92, 2.820E-08, 2.804E-08, 8.000E-01
    93, 2.834E-08, 2.804E-08, 8.000E-01
    94, 2.820E-08, 2.804E-08, 8.000E-01
    95, 2.834E-08, 2.804E-08, 8.000E-01
    96, 2.820E-08, 2.804E-08, 8.000E-01
    97, 2.834E-08, 2.804E-08, 8.000E-01
    98, 2.820E-08, 2.804E-08, 8.000E-01
    99, 2.834E-08, 2.804E-08, 8.000E-01
   100, 2.820E-08, 2.804E-08, 8.000E-01
   101, 2.834E-08, 2.804E-08, 8.000E-01
   102, 2.820E-08, 2.804E-08, 8.000E-01
   103, 2.834E-08, 2.804E-08, 8.000E-01
   104, 2.820E-08, 2.804E-08, 8.000E-01
   105, 2.834E-08, 2.804E-08, 8.000E-01
   106, 2.820E-08, 2.804E-08, 8.000E-01
   107, 2.834E-08, 2.804E-08, 8.000E-01
   108, 2.820E-08, 2.804E-08, 8.000E-01
   109, 2.834E-08, 2.804E-08, 8.000E-01
   110, 2.820E-08, 2.804E-08, 8.000E-01
   111, 2.834E-08, 2.804E-08, 8.000E-01
   112, 2.820E-08, 2.804E-08, 8.000E-01
   113, 2.834E-08, 2.804E-08, 8.000E-01
   114, 2.820E-08, 2.804E-08, 8.000E-01
   115, 2.834E-08, 2.804E-08, 8.000E-01
   116, 2.820E-08, 2.804E-08, 8.000E-01
   117, 2.834E-08, 2.804E-08, 8.000E-01
   118, 2.820E-08, 2.804E-08, 8.000E-01
   119, 2.834E-08, 2.804E-08, 8.000E-01
   120, 2.820E-08, 2.804E-08, 8.000E-01
   121, 2.834E-08, 2.804E-08, 8.000E-01
   122, 2.820E-08, 2.804E-08, 8.000E-01
   123, 2.834E-08, 2.804E-08, 8.000E-01
   124, 2.820E-08, 2.804E-08, 8.000E-01
   125, 2.834E-08, 2.804E-08, 8.000E-01
   126, 2.820E-08, 2.804E-08, 8.000E-01
   127, 2.834E-08, 2.804E-08, 8.000E-01
   128, 2.820E-08, 2.804E-08, 8.000E-01
   129, 2.834E-08, 2.804E-08, 8.000E-01
   130, 2.820E-08, 2.804E-08, 8.000E-01
   131, 2.834E-08, 2.804E-08, 8.000E-01
   132, 2.820E-08, 2.804E-08, 8.000E-01
   133, 2.834E-08, 2.804E-08, 8.000E-01
   134, 2.820E-08, 2.804E-08, 8.000E-01
   135, 2.834E-08, 2.804E-08, 8.000E-01
   136, 2.820E-08, 2.804E-08, 8.000E-01
   137, 2.834E-08, 2.804E-08, 8.000E-01
   138, 2.820E-08, 2.804E-08, 8.000E-01
   139, 2.834E-08, 2.804E-08, 8.000E-01
   140, 2.820E-08, 2.804E-08, 8.000E-01
   141, 2.834E-08, 2.804E-08, 8.000E-01
   142, 2.820E-08, 2.804E-08, 8.000E-01
   143, 2.834E-08, 2.804E-08, 8.000E-01
   144, 2.820E-08, 2.804E-08, 8.000E-01
   145, 2.834E-08, 2.804E-08, 8.000E-01
   146, 2.820E-08, 2.804E-08, 8.000E-01
   147, 2.834E-08, 2.804E-08, 8.000E-01
   148, 2.820E-08, 2.804E-08, 8.000E-01
   149, 2.834E-08, 2.804E-08, 8.000E-01
   150, 2.820E-08, 2.804E-08, 8.000E-01
   151, 2.834E-08, 2.804E-08, 8.000E-01
   152, 2.820E-08, 2.804E-08, 8.000E-01
   153, 2.834E-08, 2.804E-08, 8.000E-01
   154, 2.820E-08, 2.804E-08, 8.000E-01
   155, 2.834E-08, 2.804E-08, 8.000E-01
   156, 2.820E-08, 2.804E-08, 8.000E-01
   157, 2.834E-08, 2.804E-08, 8.000E-01
   158, 2.820E-08, 2.804E-08, 8.000E-01
   159, 2.834E-08, 2.804E-08, 8.000E-01
   160, 2.820E-08, 2.804E-08, 8.000E-01
   161, 2.834E-08, 2.804E-08, 8.000E-01
   162, 2.820E-08, 2.804E-08, 8.000E-01
   163, 2.833E-08, 2.804E-08, 8.000E-01
   164, 2.820E-08, 2.804E-08, 8.000E-01
   165, 2.833E-08, 2.804E-08, 8.000E-01
   166, 2.820E-08, 2.804E-08, 8.000E-01
   167, 2.833E-08, 2.804E-08, 8.000E-01
   168, 2.820E-08, 2.804E-08, 8.000E-01
   169, 2.833E-08, 2.804E-08, 8.000E-01
   170, 2.820E-08, 2.804E-08, 8.000E-01
   171, 2.833E-08, 2.804E-08, 8.000E-01
   172, 2.820E-08, 2.804E-08, 8.000E-01
   173, 2.833E-08, 2.804E-08, 8.000E-01
   174, 2.820E-08, 2.804E-08, 8.000E-01
   175, 2.833E-08, 2.804E-08, 8.000E-01
   176, 2.820E-08, 2.804E-08, 8.000E-01
