 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 6.832E-01, 1.222E-01, 8.000E-01
     2, 2.383E-01, 2.662E-02, 8.000E-01
     3, 4.765E-02, 1.104E-02, 8.000E-01
     4, 2.669E-02, 2.612E-03, 8.000E-01
     5, 5.337E-03, 9.999E-04, 8.000E-01
     6, 2.249E-03, 2.307E-04, 8.000E-01
     7, 4.495E-04, 7.983E-05, 8.000E-01
     8, 1.646E-04, 1.814E-05, 8.000E-01
     9, 3.292E-05, 5.912E-06, 8.000E-01
    10, 1.118E-05, 1.325E-06, 8.000E-01
    11, 2.238E-06, 4.105E-07, 8.000E-01
    12, 7.230E-07, 9.088E-08, 8.000E-01
    13, 1.449E-07, 2.698E-08, 8.000E-01
    14, 4.510E-08, 5.915E-09, 8.000E-01
    15, 9.051E-09, 1.704E-09, 8.000E-01
    16, 2.764E-09, 3.722E-10, 8.000E-01
    17, 5.557E-10, 1.061E-10, 8.000E-01
    18, 1.720E-10, 2.331E-11, 8.000E-01
    19, 3.469E-11, 6.778E-12, 8.000E-01
    20, 1.301E-11, 1.522E-12, 8.000E-01
    21, 2.629E-12, 4.692E-13, 8.000E-01
