 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 3.458E-01, 6.071E-02, 8.000E-01
     2, 9.819E-02, 1.305E-02, 8.000E-01
     3, 1.969E-02, 6.221E-03, 8.000E-01
     4, 1.148E-02, 1.544E-03, 8.000E-01
     5, 2.300E-03, 6.333E-04, 8.000E-01
     6, 1.004E-03, 1.460E-04, 8.000E-01
     7, 2.012E-04, 4.893E-05, 8.000E-01
     8, 7.198E-05, 1.086E-05, 8.000E-01
     9, 1.444E-05, 3.263E-06, 8.000E-01
    10, 4.592E-06, 7.108E-07, 8.000E-01
    11, 9.229E-07, 2.004E-07, 8.000E-01
    12, 2.729E-07, 4.327E-08, 8.000E-01
    13, 5.510E-08, 1.176E-08, 8.000E-01
    14, 1.557E-08, 2.549E-09, 8.000E-01
    15, 3.193E-09, 6.821E-10, 8.000E-01
    16, 8.827E-10, 1.533E-10, 8.000E-01
    17, 1.909E-10, 4.176E-11, 8.000E-01
    18, 5.351E-11, 1.046E-11, 8.000E-01
    19, 1.330E-11, 3.044E-12, 8.000E-01
    20, 4.756E-12, 8.957E-13, 8.000E-01
