 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 3.165E-01, 5.840E-02, 8.000E-01
     2, 7.905E-02, 1.185E-02, 8.000E-01
     3, 1.757E-02, 3.352E-03, 8.000E-01
     4, 7.686E-03, 1.683E-03, 8.000E-01
     5, 3.482E-03, 1.082E-03, 8.000E-01
     6, 2.510E-03, 7.856E-04, 8.000E-01
     7, 1.579E-03, 5.785E-04, 8.000E-01
     8, 1.202E-03, 4.460E-04, 8.000E-01
     9, 8.737E-04, 3.459E-04, 8.000E-01
    10, 6.823E-04, 2.738E-04, 8.000E-01
    11, 5.289E-04, 2.166E-04, 8.000E-01
    12, 4.177E-04, 1.723E-04, 8.000E-01
    13, 3.304E-04, 1.363E-04, 8.000E-01
    14, 2.602E-04, 1.077E-04, 8.000E-01
    15, 2.057E-04, 8.462E-05, 8.000E-01
    16, 1.607E-04, 6.630E-05, 8.000E-01
    17, 1.263E-04, 5.170E-05, 8.000E-01
    18, 9.793E-05, 4.023E-05, 8.000E-01
    19, 7.659E-05, 3.120E-05, 8.000E-01
    20, 5.902E-05, 2.417E-05, 8.000E-01
    21, 4.600E-05, 1.868E-05, 8.000E-01
    22, 3.530E-05, 1.443E-05, 8.000E-01
    23, 2.747E-05, 1.112E-05, 8.000E-01
    24, 2.102E-05, 8.578E-06, 8.000E-01
    25, 1.634E-05, 6.607E-06, 8.000E-01
    26, 1.248E-05, 5.089E-06, 8.000E-01
    27, 9.701E-06, 3.917E-06, 8.000E-01
    28, 7.398E-06, 3.016E-06, 8.000E-01
    29, 5.754E-06, 2.320E-06, 8.000E-01
    30, 4.382E-06, 1.786E-06, 8.000E-01
    31, 3.411E-06, 1.374E-06, 8.000E-01
    32, 2.595E-06, 1.057E-06, 8.000E-01
    33, 2.022E-06, 8.135E-07, 8.000E-01
    34, 1.536E-06, 6.260E-07, 8.000E-01
    35, 1.198E-06, 4.817E-07, 8.000E-01
    36, 9.097E-07, 3.707E-07, 8.000E-01
    37, 7.104E-07, 2.852E-07, 8.000E-01
    38, 5.388E-07, 2.195E-07, 8.000E-01
    39, 4.212E-07, 1.690E-07, 8.000E-01
    40, 3.192E-07, 1.301E-07, 8.000E-01
    41, 2.499E-07, 1.002E-07, 8.000E-01
    42, 1.893E-07, 7.717E-08, 8.000E-01
    43, 1.485E-07, 5.950E-08, 8.000E-01
    44, 1.124E-07, 4.591E-08, 8.000E-01
    45, 8.841E-08, 3.549E-08, 8.000E-01
    46, 6.707E-08, 2.751E-08, 8.000E-01
    47, 5.303E-08, 2.143E-08, 8.000E-01
    48, 4.049E-08, 1.680E-08, 8.000E-01
    49, 3.241E-08, 1.333E-08, 8.000E-01
    50, 2.520E-08, 1.076E-08, 8.000E-01
    51, 2.075E-08, 8.885E-09, 8.000E-01
