 method
 GMRES
 N=        3847
 iteration,||err||
     1, 1.517E-01
     2, 4.609E-02
     3, 2.103E-02
     4, 1.154E-02
     5, 6.972E-03
     6, 4.338E-03
     7, 2.561E-03
     8, 1.493E-03
     9, 1.009E-03
    10, 2.565E-04
    11, 2.670E-05
    12, 8.253E-06
    13, 4.489E-06
    14, 1.962E-06
    15, 4.573E-07
    16, 8.176E-08
    17, 1.771E-08
    18, 7.259E-09
    19, 1.378E-09
    20, 2.854E-10
    21, 9.256E-11
    22, 1.640E-11
    23, 3.741E-12
    24, 1.030E-12
    25, 1.761E-13
