 method
 BJAC
 N=         332
 iteration,||dx||,||err||,relaxation
     1, 3.119E+05, 2.496E+04, 8.000E-01
     2, 4.246E+09, 3.446E+08, 8.000E-01
     3, 1.512E+10, 9.901E+08, 8.000E-01
     4, 3.289E+13, 2.669E+12, 8.000E-01
     5, 1.166E+14, 7.648E+12, 8.000E-01
     6, 2.547E+17, 2.067E+16, 8.000E-01
     7, 9.008E+17, 5.931E+16, 8.000E-01
     8, 1.973E+21, 1.601E+20, 8.000E-01
     9, 6.980E+21, 4.616E+20, 8.000E-01
    10, 1.528E+25, 1.240E+24, 8.000E-01
    11, 5.422E+25, 3.607E+24, 8.000E-01
    12, 1.183E+29, 9.602E+27, 8.000E-01
    13, 4.222E+29, 2.828E+28, 8.000E-01
    14, 9.164E+32, 7.436E+31, 8.000E-01
    15, 3.295E+33, 2.224E+32, 8.000E-01
    16, 7.097E+36, 5.759E+35, 8.000E-01
    17, 2.578E+37, 1.755E+36, 8.000E-01
    18, 5.497E+40, 4.460E+39, 8.000E-01
    19, 2.021E+41, 1.388E+40, 8.000E-01
    20, 4.257E+44, 3.454E+43, 8.000E-01
    21, 1.588E+45, 1.100E+44, 8.000E-01
    22, 3.297E+48, 2.675E+47, 8.000E-01
    23, 1.250E+49, 8.741E+47, 8.000E-01
    24, 2.553E+52, 2.072E+51, 8.000E-01
    25, 9.852E+52, 6.955E+51, 8.000E-01
    26, 1.977E+56, 1.605E+55, 8.000E-01
    27, 7.778E+56, 5.541E+55, 8.000E-01
    28, 1.531E+60, 1.243E+59, 8.000E-01
    29, 6.148E+60, 4.418E+59, 8.000E-01
    30, 1.186E+64, 9.623E+62, 8.000E-01
    31, 4.865E+64, 3.526E+63, 8.000E-01
    32, 9.184E+67, 7.453E+66, 8.000E-01
    33, 3.853E+68, 2.815E+67, 8.000E-01
    34, 7.113E+71, 5.772E+70, 8.000E-01
    35, 3.054E+72, 2.249E+71, 8.000E-01
    36, 5.508E+75, 4.470E+74, 8.000E-01
    37, 2.422E+76, 1.797E+75, 8.000E-01
    38, 4.266E+79, 3.461E+78, 8.000E-01
    39, 1.922E+80, 1.435E+79, 8.000E-01
    40, 3.304E+83, 2.681E+82, 8.000E-01
    41, 1.526E+84, 1.147E+83, 8.000E-01
    42, 2.558E+87, 2.076E+86, 8.000E-01
    43, 1.212E+88, 9.158E+86, 8.000E-01
    44, 1.981E+91, 1.608E+90, 8.000E-01
    45, 9.621E+91, 7.312E+90, 8.000E-01
    46, 1.534E+95, 1.245E+94, 8.000E-01
    47, 7.641E+95, 5.837E+94, 8.000E-01
    48, 1.188E+99, 9.641E+97, 8.000E-01
    49, 6.069E+99, 4.658E+98, 8.000E-01
    50, 9.201+102, 7.466+101, 8.000E-01
    51, 4.820+103, 3.715+102, 8.000E-01
    52, 7.126+106, 5.782+105, 8.000E-01
    53, 3.827+107, 2.962+106, 8.000E-01
    54, 5.518+110, 4.477+109, 8.000E-01
    55, 3.039+111, 2.361+110, 8.000E-01
    56, 4.273+114, 3.467+113, 8.000E-01
    57, 2.412+115, 1.880+114, 8.000E-01
    58, 3.309+118, 2.685+117, 8.000E-01
    59, 1.914+119, 1.497+118, 8.000E-01
    60, 2.563+122, 2.079+121, 8.000E-01
    61, 1.519+123, 1.191+122, 8.000E-01
    62, 1.984+126, 1.610+125, 8.000E-01
    63, 1.205+127, 9.476+125, 8.000E-01
    64, 1.537+130, 1.247+129, 8.000E-01
    65, 9.556+130, 7.534+129, 8.000E-01
    66, 1.190+134, 9.656+132, 8.000E-01
    67, 7.576+134, 5.986+133, 8.000E-01
    68, 9.216+137, 7.477+136, 8.000E-01
    69, 6.004+138, 4.755+137, 8.000E-01
    70, 7.136+141, 5.790+140, 8.000E-01
    71, 4.757+142, 3.775+141, 8.000E-01
    72, 5.526+145, 4.484+144, 8.000E-01
    73, 3.768+146, 2.995+145, 8.000E-01
    74, 4.279+149, 3.472+148, 8.000E-01
    75, 2.984+150, 2.376+149, 8.000E-01
    76, 3.314+153, 2.689+152, 8.000E-01
    77, 2.362+154, 1.884+153, 8.000E-01
    78, 2.566+157, 2.082+156, 8.000E-01
    79, 1.869+158, 1.493+157, 8.000E-01
    80, 1.987+161, 1.612+160, 8.000E-01
    81, 1.479+162, 1.182+161, 8.000E-01
    82, 1.539+165, 1.248+164, 8.000E-01
    83, 1.169+166, 9.363+164, 8.000E-01
    84, 1.192+169, 9.668+167, 8.000E-01
    85, 9.244+169, 7.411+168, 8.000E-01
    86, 9.227+172, 7.486+171, 8.000E-01
    87, 7.305+173, 5.863+172, 8.000E-01
    88, 7.145+176, 5.797+175, 8.000E-01
    89, 5.772+177, 4.637+176, 8.000E-01
    90, 5.533+180, 4.489+179, 8.000E-01
    91, 4.559+181, 3.666+180, 8.000E-01
    92, 4.284+184, 3.476+183, 8.000E-01
    93, 3.600+185, 2.897+184, 8.000E-01
    94, 3.317+188, 2.691+187, 8.000E-01
    95, 2.842+189, 2.289+188, 8.000E-01
    96, 2.569+192, 2.084+191, 8.000E-01
    97, 2.242+193, 1.808+192, 8.000E-01
