 method
 BJAC
 N=         332
 iteration,||dx||,||err||,relaxation
     1, 1.677E+05, 3.653E+04, 8.000E-01
     2, 6.801E+09, 1.578E+09, 8.000E-01
     3, 6.674E+09, 1.603E+09, 8.000E-01
     4, 1.704E+14, 3.955E+13, 8.000E-01
     5, 2.690E+14, 5.940E+13, 8.000E-01
     6, 4.270E+18, 9.909E+17, 8.000E-01
     7, 9.322E+18, 2.037E+18, 8.000E-01
     8, 1.070E+23, 2.483E+22, 8.000E-01
     9, 2.986E+23, 6.542E+22, 8.000E-01
    10, 2.681E+27, 6.221E+26, 8.000E-01
    11, 9.113E+27, 2.007E+27, 8.000E-01
    12, 6.716E+31, 1.559E+31, 8.000E-01
    13, 2.693E+32, 5.960E+31, 8.000E-01
    14, 1.683E+36, 3.905E+35, 8.000E-01
    15, 7.773E+36, 1.728E+36, 8.000E-01
    16, 4.216E+40, 9.785E+39, 8.000E-01
    17, 2.205E+41, 4.920E+40, 8.000E-01
    18, 1.056E+45, 2.451E+44, 8.000E-01
    19, 6.170E+45, 1.381E+45, 8.000E-01
    20, 2.646E+49, 6.142E+48, 8.000E-01
    21, 1.707E+50, 3.833E+49, 8.000E-01
    22, 6.630E+53, 1.539E+53, 8.000E-01
    23, 4.683E+54, 1.054E+54, 8.000E-01
    24, 1.661E+58, 3.855E+57, 8.000E-01
    25, 1.275E+59, 2.875E+58, 8.000E-01
    26, 4.161E+62, 9.658E+61, 8.000E-01
    27, 3.449E+63, 7.791E+62, 8.000E-01
    28, 1.043E+67, 2.420E+66, 8.000E-01
    29, 9.278E+67, 2.100E+67, 8.000E-01
    30, 2.612E+71, 6.061E+70, 8.000E-01
    31, 2.484E+72, 5.630E+71, 8.000E-01
    32, 6.543E+75, 1.519E+75, 8.000E-01
    33, 6.625E+76, 1.503E+76, 8.000E-01
    34, 1.639E+80, 3.804E+79, 8.000E-01
    35, 1.760E+81, 3.998E+80, 8.000E-01
    36, 4.106E+84, 9.530E+83, 8.000E-01
    37, 4.661E+85, 1.060E+85, 8.000E-01
    38, 1.029E+89, 2.387E+88, 8.000E-01
    39, 1.231E+90, 2.802E+89, 8.000E-01
    40, 2.577E+93, 5.980E+92, 8.000E-01
    41, 3.241E+94, 7.385E+93, 8.000E-01
    42, 6.454E+97, 1.498E+97, 8.000E-01
    43, 8.516E+98, 1.942E+98, 8.000E-01
    44, 1.617+102, 3.752+101, 8.000E-01
    45, 2.233+103, 5.094+102, 8.000E-01
    46, 4.050+106, 9.399+105, 8.000E-01
    47, 5.842+107, 1.334+107, 8.000E-01
    48, 1.014+111, 2.354+110, 8.000E-01
    49, 1.526+112, 3.486+111, 8.000E-01
    50, 2.541+115, 5.897+114, 8.000E-01
    51, 3.978+116, 9.095+115, 8.000E-01
    52, 6.364+119, 1.477+119, 8.000E-01
    53, 1.036+121, 2.369+120, 8.000E-01
