 method
 BJAC
 N=         332
 iteration,||dx||,||err||,relaxation
     1, 1.402E+00, 2.715E-01, 8.000E-01
     2, 1.327E+00, 4.295E-01, 8.000E-01
     3, 1.351E+00, 2.569E-01, 8.000E-01
     4, 4.732E-01, 1.379E-01, 8.000E-01
     5, 2.306E-01, 6.936E-02, 8.000E-01
     6, 1.146E-01, 4.457E-02, 8.000E-01
     7, 9.283E-02, 2.662E-02, 8.000E-01
     8, 6.076E-02, 1.496E-02, 8.000E-01
     9, 4.084E-02, 6.050E-03, 8.000E-01
    10, 2.347E-02, 5.002E-03, 8.000E-01
    11, 1.567E-02, 3.858E-03, 8.000E-01
    12, 9.904E-03, 2.743E-03, 8.000E-01
    13, 6.352E-03, 1.578E-03, 8.000E-01
    14, 3.619E-03, 6.168E-04, 8.000E-01
    15, 1.961E-03, 5.191E-04, 8.000E-01
    16, 1.269E-03, 3.940E-04, 8.000E-01
    17, 8.824E-04, 2.790E-04, 8.000E-01
    18, 5.795E-04, 1.693E-04, 8.000E-01
    19, 3.591E-04, 7.078E-05, 8.000E-01
    20, 2.011E-04, 6.402E-05, 8.000E-01
    21, 1.558E-04, 4.846E-05, 8.000E-01
    22, 1.175E-04, 3.551E-05, 8.000E-01
    23, 8.528E-05, 2.207E-05, 8.000E-01
    24, 5.640E-05, 1.093E-05, 8.000E-01
    25, 3.749E-05, 9.637E-06, 8.000E-01
    26, 2.947E-05, 7.903E-06, 8.000E-01
    27, 2.329E-05, 5.929E-06, 8.000E-01
    28, 1.731E-05, 3.871E-06, 8.000E-01
    29, 1.232E-05, 2.348E-06, 8.000E-01
    30, 8.796E-06, 1.951E-06, 8.000E-01
    31, 6.895E-06, 1.606E-06, 8.000E-01
    32, 5.353E-06, 1.226E-06, 8.000E-01
    33, 4.028E-06, 8.488E-07, 8.000E-01
    34, 2.915E-06, 5.883E-07, 8.000E-01
    35, 2.143E-06, 4.608E-07, 8.000E-01
