 method
 BJAC
 N=         332
 iteration,||dx||,||err||,relaxation
     1, 1.677E+05, 1.826E+04, 8.000E-01
     2, 6.801E+09, 7.888E+08, 8.000E-01
     3, 6.674E+09, 8.012E+08, 8.000E-01
     4, 1.704E+14, 1.976E+13, 8.000E-01
     5, 2.690E+14, 2.968E+13, 8.000E-01
     6, 4.270E+18, 4.952E+17, 8.000E-01
     7, 9.322E+18, 1.018E+18, 8.000E-01
     8, 1.070E+23, 1.241E+22, 8.000E-01
     9, 2.986E+23, 3.270E+22, 8.000E-01
    10, 2.681E+27, 3.109E+26, 8.000E-01
    11, 9.113E+27, 1.003E+27, 8.000E-01
    12, 6.716E+31, 7.790E+30, 8.000E-01
    13, 2.693E+32, 2.979E+31, 8.000E-01
    14, 1.683E+36, 1.952E+35, 8.000E-01
    15, 7.773E+36, 8.636E+35, 8.000E-01
    16, 4.216E+40, 4.890E+39, 8.000E-01
    17, 2.205E+41, 2.459E+40, 8.000E-01
    18, 1.056E+45, 1.225E+44, 8.000E-01
    19, 6.170E+45, 6.903E+44, 8.000E-01
    20, 2.646E+49, 3.070E+48, 8.000E-01
    21, 1.707E+50, 1.916E+49, 8.000E-01
    22, 6.630E+53, 7.690E+52, 8.000E-01
    23, 4.683E+54, 5.267E+53, 8.000E-01
    24, 1.661E+58, 1.927E+57, 8.000E-01
    25, 1.275E+59, 1.437E+58, 8.000E-01
    26, 4.161E+62, 4.827E+61, 8.000E-01
    27, 3.449E+63, 3.894E+62, 8.000E-01
    28, 1.043E+67, 1.209E+66, 8.000E-01
    29, 9.278E+67, 1.049E+67, 8.000E-01
    30, 2.612E+71, 3.029E+70, 8.000E-01
    31, 2.484E+72, 2.814E+71, 8.000E-01
    32, 6.543E+75, 7.589E+74, 8.000E-01
    33, 6.625E+76, 7.513E+75, 8.000E-01
    34, 1.639E+80, 1.901E+79, 8.000E-01
    35, 1.760E+81, 1.998E+80, 8.000E-01
    36, 4.106E+84, 4.763E+83, 8.000E-01
    37, 4.661E+85, 5.298E+84, 8.000E-01
    38, 1.029E+89, 1.193E+88, 8.000E-01
    39, 1.231E+90, 1.400E+89, 8.000E-01
    40, 2.577E+93, 2.989E+92, 8.000E-01
    41, 3.241E+94, 3.691E+93, 8.000E-01
    42, 6.454E+97, 7.487E+96, 8.000E-01
    43, 8.516E+98, 9.704E+97, 8.000E-01
    44, 1.617+102, 1.875+101, 8.000E-01
    45, 2.233+103, 2.546+102, 8.000E-01
    46, 4.050+106, 4.698+105, 8.000E-01
    47, 5.842+107, 6.666+106, 8.000E-01
    48, 1.014+111, 1.177+110, 8.000E-01
    49, 1.526+112, 1.742+111, 8.000E-01
    50, 2.541+115, 2.947+114, 8.000E-01
    51, 3.978+116, 4.545+115, 8.000E-01
    52, 6.364+119, 7.383+118, 8.000E-01
    53, 1.036+121, 1.184+120, 8.000E-01
