 method
 BJAC
 N=        5541
 iteration,||dx||,||err||,relaxation
     1, 2.852E+01, 8.736E-01, 8.000E-01
     2, 5.908E+01, 5.568E-01, 8.000E-01
     3, 6.823E+00, 3.727E-01, 8.000E-01
     4, 2.902E+01, 6.934E-01, 8.000E-01
     5, 5.844E+01, 5.205E-01, 8.000E-01
     6, 3.930E+01, 3.139E-01, 8.000E-01
     7, 2.232E+01, 1.691E-01, 8.000E-01
     8, 1.192E+01, 8.897E-02, 8.000E-01
     9, 6.353E+00, 4.465E-02, 8.000E-01
    10, 3.258E+00, 2.197E-02, 8.000E-01
    11, 1.633E+00, 1.067E-02, 8.000E-01
    12, 8.050E-01, 5.323E-03, 8.000E-01
    13, 4.046E-01, 2.803E-03, 8.000E-01
    14, 2.132E-01, 1.604E-03, 8.000E-01
    15, 1.212E-01, 9.990E-04, 8.000E-01
    16, 7.462E-02, 6.675E-04, 8.000E-01
    17, 4.926E-02, 4.672E-04, 8.000E-01
    18, 3.415E-02, 3.363E-04, 8.000E-01
    19, 2.441E-02, 2.458E-04, 8.000E-01
    20, 1.776E-02, 1.811E-04, 8.000E-01
    21, 1.305E-02, 1.339E-04, 8.000E-01
    22, 9.637E-03, 9.926E-05, 8.000E-01
    23, 7.135E-03, 7.364E-05, 8.000E-01
    24, 5.291E-03, 5.465E-05, 8.000E-01
    25, 3.926E-03, 4.058E-05, 8.000E-01
    26, 2.915E-03, 3.013E-05, 8.000E-01
    27, 2.164E-03, 2.237E-05, 8.000E-01
    28, 1.606E-03, 1.661E-05, 8.000E-01
    29, 1.193E-03, 1.234E-05, 8.000E-01
    30, 8.861E-04, 9.160E-06, 8.000E-01
    31, 6.578E-04, 6.802E-06, 8.000E-01
    32, 4.885E-04, 5.051E-06, 8.000E-01
    33, 3.629E-04, 3.750E-06, 8.000E-01
    34, 2.690E-04, 2.785E-06, 8.000E-01
    35, 2.000E-04, 2.068E-06, 8.000E-01
    36, 1.487E-04, 1.536E-06, 8.000E-01
    37, 1.101E-04, 1.140E-06, 8.000E-01
    38, 8.179E-05, 8.469E-07, 8.000E-01
    39, 6.067E-05, 6.289E-07, 8.000E-01
    40, 4.483E-05, 4.670E-07, 8.000E-01
    41, 3.375E-05, 3.468E-07, 8.000E-01
    42, 2.518E-05, 2.573E-07, 8.000E-01
    43, 1.879E-05, 1.914E-07, 8.000E-01
    44, 1.323E-05, 1.419E-07, 8.000E-01
    45, 1.072E-05, 1.052E-07, 8.000E-01
    46, 7.010E-06, 7.821E-08, 8.000E-01
    47, 5.871E-06, 5.836E-08, 8.000E-01
    48, 4.336E-06, 4.312E-08, 8.000E-01
    49, 2.998E-06, 3.218E-08, 8.000E-01
    50, 2.368E-06, 2.396E-08, 8.000E-01
    51, 1.400E-06, 1.751E-08, 8.000E-01
    52, 1.254E-06, 1.325E-08, 8.000E-01
    53, 1.227E-06, 9.693E-09, 8.000E-01
    54, 7.819E-07, 7.391E-09, 8.000E-01
    55, 5.173E-07, 5.267E-09, 8.000E-01
    56, 7.485E-07, 4.089E-09, 8.000E-01
    57, 6.001E-07, 2.921E-09, 8.000E-01
    58, 7.531E-07, 2.212E-09, 8.000E-01
    59, 4.063E-07, 1.567E-09, 8.000E-01
    60, 3.968E-07, 1.467E-09, 8.000E-01
    61, 6.062E-07, 8.829E-10, 8.000E-01
    62, 6.722E-07, 6.277E-10, 8.000E-01
    63, 6.502E-07, 4.736E-10, 8.000E-01
    64, 7.938E-07, 3.628E-10, 8.000E-01
    65, 5.437E-07, 6.650E-10, 8.000E-01
    66, 4.470E-07, 3.799E-10, 8.000E-01
    67, 5.031E-07, 4.661E-10, 8.000E-01
    68, 4.909E-07, 4.090E-10, 8.000E-01
    69, 4.330E-07, 2.179E-10, 8.000E-01
    70, 3.452E-07, 3.175E-10, 8.000E-01
    71, 4.234E-07, 8.702E-11, 8.000E-01
    72, 6.530E-07, 1.585E-10, 8.000E-01
    73, 3.044E-07, 4.056E-10, 8.000E-01
    74, 3.738E-07, 3.209E-10, 8.000E-01
    75, 6.139E-07, 1.188E-10, 8.000E-01
    76, 4.990E-07, 5.203E-11, 8.000E-01
    77, 3.971E-07, 2.295E-10, 8.000E-01
    78, 4.203E-07, 1.398E-10, 8.000E-01
    79, 4.446E-07, 2.128E-10, 8.000E-01
    80, 5.167E-07, 1.731E-10, 8.000E-01
    81, 6.250E-07, 7.394E-11, 8.000E-01
    82, 6.008E-07, 8.321E-11, 8.000E-01
    83, 4.659E-07, 1.574E-10, 8.000E-01
    84, 2.774E-07, 3.690E-10, 8.000E-01
    85, 2.992E-07, 3.544E-10, 8.000E-01
    86, 4.677E-07, 8.695E-11, 8.000E-01
    87, 2.418E-07, 2.645E-10, 8.000E-01
    88, 4.703E-07, 4.190E-10, 8.000E-01
