 method
 BJAC
 N=        5541
 iteration,||dx||,||err||,relaxation
     1, 3.817E+02, 1.256E+00, 8.000E-01
     2, 2.100E+02, 8.964E-01, 8.000E-01
     3, 8.717E+01, 6.876E-01, 8.000E-01
     4, 2.253E+02, 7.446E-01, 8.000E-01
     5, 3.092E+02, 4.973E-01, 8.000E-01
     6, 2.386E+02, 3.857E-01, 8.000E-01
     7, 2.024E+02, 2.489E-01, 8.000E-01
     8, 1.452E+02, 1.773E-01, 8.000E-01
     9, 1.004E+02, 1.174E-01, 8.000E-01
    10, 6.518E+01, 8.734E-02, 8.000E-01
    11, 4.196E+01, 6.520E-02, 8.000E-01
    12, 2.673E+01, 5.362E-02, 8.000E-01
    13, 1.728E+01, 4.475E-02, 8.000E-01
    14, 1.116E+01, 3.910E-02, 8.000E-01
    15, 7.254E+00, 3.450E-02, 8.000E-01
    16, 4.672E+00, 3.104E-02, 8.000E-01
    17, 2.996E+00, 2.813E-02, 8.000E-01
    18, 1.893E+00, 2.574E-02, 8.000E-01
    19, 1.180E+00, 2.370E-02, 8.000E-01
    20, 7.133E-01, 2.198E-02, 8.000E-01
    21, 4.125E-01, 2.049E-02, 8.000E-01
    22, 2.184E-01, 1.921E-02, 8.000E-01
    23, 1.034E-01, 1.809E-02, 8.000E-01
    24, 6.937E-02, 1.711E-02, 8.000E-01
    25, 9.382E-02, 1.625E-02, 8.000E-01
    26, 1.200E-01, 1.549E-02, 8.000E-01
    27, 1.369E-01, 1.481E-02, 8.000E-01
    28, 1.456E-01, 1.420E-02, 8.000E-01
    29, 1.481E-01, 1.365E-02, 8.000E-01
    30, 1.463E-01, 1.314E-02, 8.000E-01
    31, 1.413E-01, 1.268E-02, 8.000E-01
    32, 1.344E-01, 1.225E-02, 8.000E-01
    33, 1.263E-01, 1.186E-02, 8.000E-01
    34, 1.175E-01, 1.149E-02, 8.000E-01
    35, 1.085E-01, 1.114E-02, 8.000E-01
    36, 9.963E-02, 1.082E-02, 8.000E-01
    37, 9.098E-02, 1.051E-02, 8.000E-01
    38, 8.274E-02, 1.022E-02, 8.000E-01
    39, 7.498E-02, 9.939E-03, 8.000E-01
    40, 6.776E-02, 9.674E-03, 8.000E-01
    41, 6.109E-02, 9.420E-03, 8.000E-01
    42, 5.496E-02, 9.176E-03, 8.000E-01
    43, 4.937E-02, 8.941E-03, 8.000E-01
    44, 4.429E-02, 8.715E-03, 8.000E-01
    45, 3.969E-02, 8.497E-03, 8.000E-01
    46, 3.555E-02, 8.285E-03, 8.000E-01
    47, 3.181E-02, 8.081E-03, 8.000E-01
    48, 2.847E-02, 7.882E-03, 8.000E-01
    49, 2.547E-02, 7.690E-03, 8.000E-01
    50, 2.280E-02, 7.503E-03, 8.000E-01
    51, 2.042E-02, 7.321E-03, 8.000E-01
    52, 1.830E-02, 7.144E-03, 8.000E-01
    53, 1.642E-02, 6.972E-03, 8.000E-01
    54, 1.476E-02, 6.804E-03, 8.000E-01
    55, 1.328E-02, 6.640E-03, 8.000E-01
    56, 1.199E-02, 6.481E-03, 8.000E-01
    57, 1.084E-02, 6.326E-03, 8.000E-01
    58, 9.838E-03, 6.175E-03, 8.000E-01
    59, 8.958E-03, 6.027E-03, 8.000E-01
    60, 8.184E-03, 5.883E-03, 8.000E-01
    61, 7.505E-03, 5.743E-03, 8.000E-01
    62, 6.915E-03, 5.606E-03, 8.000E-01
    63, 6.405E-03, 5.472E-03, 8.000E-01
    64, 5.950E-03, 5.342E-03, 8.000E-01
    65, 5.561E-03, 5.215E-03, 8.000E-01
    66, 5.221E-03, 5.090E-03, 8.000E-01
    67, 4.921E-03, 4.969E-03, 8.000E-01
    68, 4.658E-03, 4.851E-03, 8.000E-01
    69, 4.426E-03, 4.735E-03, 8.000E-01
    70, 4.222E-03, 4.623E-03, 8.000E-01
    71, 4.040E-03, 4.513E-03, 8.000E-01
    72, 3.879E-03, 4.405E-03, 8.000E-01
    73, 3.733E-03, 4.300E-03, 8.000E-01
    74, 3.599E-03, 4.198E-03, 8.000E-01
    75, 3.477E-03, 4.098E-03, 8.000E-01
    76, 3.366E-03, 4.001E-03, 8.000E-01
    77, 3.263E-03, 3.905E-03, 8.000E-01
    78, 3.166E-03, 3.812E-03, 8.000E-01
    79, 3.076E-03, 3.722E-03, 8.000E-01
    80, 2.989E-03, 3.633E-03, 8.000E-01
    81, 2.909E-03, 3.547E-03, 8.000E-01
    82, 2.832E-03, 3.462E-03, 8.000E-01
    83, 2.758E-03, 3.380E-03, 8.000E-01
    84, 2.687E-03, 3.300E-03, 8.000E-01
    85, 2.619E-03, 3.221E-03, 8.000E-01
    86, 2.553E-03, 3.144E-03, 8.000E-01
    87, 2.490E-03, 3.070E-03, 8.000E-01
    88, 2.429E-03, 2.997E-03, 8.000E-01
    89, 2.369E-03, 2.925E-03, 8.000E-01
    90, 2.312E-03, 2.856E-03, 8.000E-01
    91, 2.255E-03, 2.788E-03, 8.000E-01
    92, 2.201E-03, 2.721E-03, 8.000E-01
    93, 2.148E-03, 2.657E-03, 8.000E-01
    94, 2.096E-03, 2.594E-03, 8.000E-01
    95, 2.046E-03, 2.532E-03, 8.000E-01
    96, 1.997E-03, 2.472E-03, 8.000E-01
    97, 1.949E-03, 2.413E-03, 8.000E-01
    98, 1.902E-03, 2.355E-03, 8.000E-01
    99, 1.857E-03, 2.299E-03, 8.000E-01
   100, 1.813E-03, 2.245E-03, 8.000E-01
   101, 1.769E-03, 2.191E-03, 8.000E-01
   102, 1.727E-03, 2.139E-03, 8.000E-01
   103, 1.686E-03, 2.088E-03, 8.000E-01
   104, 1.646E-03, 2.039E-03, 8.000E-01
   105, 1.607E-03, 1.990E-03, 8.000E-01
   106, 1.568E-03, 1.943E-03, 8.000E-01
   107, 1.531E-03, 1.897E-03, 8.000E-01
   108, 1.495E-03, 1.851E-03, 8.000E-01
   109, 1.459E-03, 1.807E-03, 8.000E-01
   110, 1.424E-03, 1.764E-03, 8.000E-01
   111, 1.390E-03, 1.722E-03, 8.000E-01
   112, 1.357E-03, 1.681E-03, 8.000E-01
   113, 1.325E-03, 1.641E-03, 8.000E-01
   114, 1.294E-03, 1.602E-03, 8.000E-01
   115, 1.263E-03, 1.564E-03, 8.000E-01
   116, 1.233E-03, 1.527E-03, 8.000E-01
   117, 1.203E-03, 1.491E-03, 8.000E-01
