 method
 BJAC
 N=        5541
 iteration,||dx||,||err||,relaxation
     1, 5.070E+00, 8.742E-01, 8.000E-01
     2, 9.121E+00, 5.567E-01, 8.000E-01
     3, 1.402E+00, 3.727E-01, 8.000E-01
     4, 4.240E+00, 6.934E-01, 8.000E-01
     5, 8.674E+00, 5.204E-01, 8.000E-01
     6, 5.933E+00, 3.138E-01, 8.000E-01
     7, 3.398E+00, 1.691E-01, 8.000E-01
     8, 1.807E+00, 8.898E-02, 8.000E-01
     9, 9.560E-01, 4.467E-02, 8.000E-01
    10, 4.869E-01, 2.199E-02, 8.000E-01
    11, 2.433E-01, 1.068E-02, 8.000E-01
    12, 1.200E-01, 5.328E-03, 8.000E-01
    13, 6.069E-02, 2.805E-03, 8.000E-01
    14, 3.230E-02, 1.605E-03, 8.000E-01
    15, 1.859E-02, 9.999E-04, 8.000E-01
    16, 1.159E-02, 6.680E-04, 8.000E-01
    17, 7.723E-03, 4.676E-04, 8.000E-01
    18, 5.389E-03, 3.366E-04, 8.000E-01
    19, 3.868E-03, 2.460E-04, 8.000E-01
    20, 2.820E-03, 1.812E-04, 8.000E-01
    21, 2.075E-03, 1.340E-04, 8.000E-01
    22, 1.533E-03, 9.933E-05, 8.000E-01
    23, 1.136E-03, 7.369E-05, 8.000E-01
    24, 8.423E-04, 5.470E-05, 8.000E-01
    25, 6.251E-04, 4.061E-05, 8.000E-01
    26, 4.641E-04, 3.015E-05, 8.000E-01
    27, 3.446E-04, 2.239E-05, 8.000E-01
    28, 2.558E-04, 1.663E-05, 8.000E-01
    29, 1.900E-04, 1.235E-05, 8.000E-01
    30, 1.411E-04, 9.169E-06, 8.000E-01
    31, 1.048E-04, 6.809E-06, 8.000E-01
    32, 7.782E-05, 5.056E-06, 8.000E-01
    33, 5.774E-05, 3.755E-06, 8.000E-01
    34, 4.295E-05, 2.788E-06, 8.000E-01
    35, 3.185E-05, 2.071E-06, 8.000E-01
    36, 2.363E-05, 1.538E-06, 8.000E-01
    37, 1.759E-05, 1.142E-06, 8.000E-01
    38, 1.305E-05, 8.480E-07, 8.000E-01
    39, 9.683E-06, 6.297E-07, 8.000E-01
    40, 7.190E-06, 4.678E-07, 8.000E-01
    41, 5.325E-06, 3.473E-07, 8.000E-01
    42, 3.989E-06, 2.578E-07, 8.000E-01
    43, 2.958E-06, 1.915E-07, 8.000E-01
    44, 2.153E-06, 1.424E-07, 8.000E-01
    45, 1.644E-06, 1.056E-07, 8.000E-01
    46, 1.206E-06, 7.844E-08, 8.000E-01
    47, 9.009E-07, 5.826E-08, 8.000E-01
    48, 6.701E-07, 4.317E-08, 8.000E-01
    49, 4.913E-07, 3.194E-08, 8.000E-01
    50, 3.616E-07, 2.388E-08, 8.000E-01
    51, 2.429E-07, 1.767E-08, 8.000E-01
    52, 2.275E-07, 1.318E-08, 8.000E-01
    53, 1.659E-07, 9.790E-09, 8.000E-01
    54, 9.549E-08, 7.298E-09, 8.000E-01
    55, 7.665E-08, 5.302E-09, 8.000E-01
    56, 1.020E-07, 4.074E-09, 8.000E-01
    57, 3.163E-08, 3.136E-09, 8.000E-01
    58, 3.615E-08, 2.114E-09, 8.000E-01
    59, 6.933E-08, 1.592E-09, 8.000E-01
    60, 1.775E-08, 1.170E-09, 8.000E-01
    61, 1.188E-08, 8.615E-10, 8.000E-01
    62, 1.547E-08, 6.963E-10, 8.000E-01
    63, 5.495E-08, 8.339E-10, 8.000E-01
    64, 3.244E-08, 5.677E-10, 8.000E-01
    65, 3.644E-08, 3.530E-10, 8.000E-01
    66, 2.903E-08, 2.532E-10, 8.000E-01
    67, 2.568E-08, 1.600E-10, 8.000E-01
    68, 3.817E-08, 1.637E-10, 8.000E-01
    69, 1.513E-08, 2.153E-10, 8.000E-01
    70, 3.874E-08, 1.473E-10, 8.000E-01
    71, 1.618E-08, 1.139E-10, 8.000E-01
    72, 3.171E-08, 2.572E-10, 8.000E-01
    73, 5.142E-09, 1.949E-10, 8.000E-01
    74, 1.589E-08, 1.583E-10, 8.000E-01
    75, 3.005E-08, 1.780E-10, 8.000E-01
    76, 3.976E-08, 7.050E-11, 8.000E-01
    77, 1.378E-08, 2.902E-10, 8.000E-01
    78, 2.677E-08, 2.039E-10, 8.000E-01
    79, 1.885E-08, 8.183E-11, 8.000E-01
    80, 2.674E-08, 2.613E-10, 8.000E-01
    81, 1.186E-08, 8.498E-11, 8.000E-01
    82, 1.216E-08, 2.245E-10, 8.000E-01
    83, 1.653E-08, 1.047E-10, 8.000E-01
    84, 2.440E-08, 2.485E-10, 8.000E-01
    85, 2.368E-08, 1.369E-10, 8.000E-01
    86, 5.603E-09, 2.062E-10, 8.000E-01
    87, 1.561E-08, 1.994E-10, 8.000E-01
    88, 2.105E-08, 6.962E-11, 8.000E-01
    89, 2.044E-08, 1.913E-10, 8.000E-01
    90, 3.707E-08, 2.830E-10, 8.000E-01
    91, 9.862E-09, 1.185E-10, 8.000E-01
    92, 9.928E-09, 1.511E-11, 8.000E-01
    93, 1.234E-08, 1.722E-10, 8.000E-01
    94, 2.844E-08, 1.690E-10, 8.000E-01
    95, 3.671E-08, 1.126E-10, 8.000E-01
    96, 1.400E-08, 8.793E-11, 8.000E-01
    97, 1.701E-08, 4.295E-11, 8.000E-01
    98, 1.739E-09, 8.548E-11, 8.000E-01
    99, 2.175E-08, 4.793E-11, 8.000E-01
   100, 1.013E-08, 1.170E-10, 8.000E-01
   101, 4.777E-09, 4.571E-11, 8.000E-01
   102, 1.002E-08, 6.939E-11, 8.000E-01
   103, 1.070E-08, 3.937E-11, 8.000E-01
   104, 1.947E-08, 2.375E-11, 8.000E-01
   105, 8.950E-09, 4.271E-11, 8.000E-01
   106, 3.026E-09, 2.827E-12, 8.000E-01
   107, 1.101E-08, 1.032E-10, 8.000E-01
   108, 8.883E-09, 8.506E-11, 8.000E-01
   109, 8.927E-09, 5.646E-11, 8.000E-01
   110, 3.529E-09, 4.667E-11, 8.000E-01
   111, 1.669E-09, 4.878E-11, 8.000E-01
   112, 6.778E-09, 9.384E-12, 8.000E-01
   113, 7.835E-09, 8.490E-11, 8.000E-01
   114, 4.954E-09, 1.528E-11, 8.000E-01
   115, 4.302E-09, 5.708E-11, 8.000E-01
   116, 6.383E-09, 8.688E-11, 8.000E-01
   117, 7.923E-09, 5.969E-11, 8.000E-01
   118, 3.755E-09, 4.418E-11, 8.000E-01
   119, 8.834E-09, 3.180E-11, 8.000E-01
   120, 5.824E-09, 3.469E-11, 8.000E-01
   121, 5.485E-09, 3.012E-12, 8.000E-01
   122, 2.410E-09, 1.584E-12, 8.000E-01
   123, 2.116E-09, 5.783E-13, 8.000E-01
