 method
 BJAC
 N=        5541
 iteration,||dx||,||err||,relaxation
     1, 3.817E+02, 6.279E-01, 8.000E-01
     2, 2.100E+02, 4.482E-01, 8.000E-01
     3, 8.717E+01, 3.438E-01, 8.000E-01
     4, 2.253E+02, 3.723E-01, 8.000E-01
     5, 3.092E+02, 2.486E-01, 8.000E-01
     6, 2.386E+02, 1.928E-01, 8.000E-01
     7, 2.024E+02, 1.244E-01, 8.000E-01
     8, 1.452E+02, 8.863E-02, 8.000E-01
     9, 1.004E+02, 5.869E-02, 8.000E-01
    10, 6.518E+01, 4.366E-02, 8.000E-01
    11, 4.196E+01, 3.260E-02, 8.000E-01
    12, 2.673E+01, 2.681E-02, 8.000E-01
    13, 1.728E+01, 2.237E-02, 8.000E-01
    14, 1.116E+01, 1.955E-02, 8.000E-01
    15, 7.254E+00, 1.725E-02, 8.000E-01
    16, 4.672E+00, 1.552E-02, 8.000E-01
    17, 2.996E+00, 1.406E-02, 8.000E-01
    18, 1.893E+00, 1.287E-02, 8.000E-01
    19, 1.180E+00, 1.185E-02, 8.000E-01
    20, 7.133E-01, 1.099E-02, 8.000E-01
    21, 4.125E-01, 1.024E-02, 8.000E-01
    22, 2.184E-01, 9.602E-03, 8.000E-01
    23, 1.034E-01, 9.044E-03, 8.000E-01
    24, 6.937E-02, 8.556E-03, 8.000E-01
    25, 9.383E-02, 8.127E-03, 8.000E-01
    26, 1.200E-01, 7.746E-03, 8.000E-01
    27, 1.369E-01, 7.406E-03, 8.000E-01
    28, 1.456E-01, 7.100E-03, 8.000E-01
    29, 1.482E-01, 6.824E-03, 8.000E-01
    30, 1.463E-01, 6.571E-03, 8.000E-01
    31, 1.413E-01, 6.340E-03, 8.000E-01
    32, 1.344E-01, 6.127E-03, 8.000E-01
    33, 1.263E-01, 5.929E-03, 8.000E-01
    34, 1.175E-01, 5.744E-03, 8.000E-01
    35, 1.086E-01, 5.571E-03, 8.000E-01
    36, 9.963E-02, 5.408E-03, 8.000E-01
    37, 9.098E-02, 5.254E-03, 8.000E-01
    38, 8.274E-02, 5.108E-03, 8.000E-01
    39, 7.499E-02, 4.969E-03, 8.000E-01
    40, 6.776E-02, 4.837E-03, 8.000E-01
    41, 6.109E-02, 4.710E-03, 8.000E-01
    42, 5.496E-02, 4.588E-03, 8.000E-01
    43, 4.937E-02, 4.470E-03, 8.000E-01
    44, 4.429E-02, 4.357E-03, 8.000E-01
    45, 3.969E-02, 4.248E-03, 8.000E-01
    46, 3.554E-02, 4.142E-03, 8.000E-01
    47, 3.182E-02, 4.040E-03, 8.000E-01
    48, 2.847E-02, 3.941E-03, 8.000E-01
    49, 2.548E-02, 3.845E-03, 8.000E-01
    50, 2.280E-02, 3.751E-03, 8.000E-01
    51, 2.042E-02, 3.660E-03, 8.000E-01
    52, 1.830E-02, 3.572E-03, 8.000E-01
    53, 1.642E-02, 3.486E-03, 8.000E-01
    54, 1.476E-02, 3.402E-03, 8.000E-01
    55, 1.329E-02, 3.320E-03, 8.000E-01
    56, 1.199E-02, 3.240E-03, 8.000E-01
    57, 1.085E-02, 3.163E-03, 8.000E-01
    58, 9.837E-03, 3.087E-03, 8.000E-01
    59, 8.955E-03, 3.013E-03, 8.000E-01
    60, 8.182E-03, 2.941E-03, 8.000E-01
    61, 7.506E-03, 2.871E-03, 8.000E-01
    62, 6.917E-03, 2.803E-03, 8.000E-01
    63, 6.401E-03, 2.736E-03, 8.000E-01
    64, 5.952E-03, 2.671E-03, 8.000E-01
    65, 5.562E-03, 2.607E-03, 8.000E-01
    66, 5.219E-03, 2.545E-03, 8.000E-01
    67, 4.921E-03, 2.484E-03, 8.000E-01
    68, 4.657E-03, 2.425E-03, 8.000E-01
    69, 4.429E-03, 2.367E-03, 8.000E-01
    70, 4.221E-03, 2.311E-03, 8.000E-01
    71, 4.043E-03, 2.256E-03, 8.000E-01
    72, 3.877E-03, 2.202E-03, 8.000E-01
    73, 3.732E-03, 2.150E-03, 8.000E-01
    74, 3.600E-03, 2.099E-03, 8.000E-01
    75, 3.478E-03, 2.049E-03, 8.000E-01
    76, 3.366E-03, 2.000E-03, 8.000E-01
    77, 3.263E-03, 1.953E-03, 8.000E-01
    78, 3.166E-03, 1.906E-03, 8.000E-01
    79, 3.075E-03, 1.861E-03, 8.000E-01
