 method
 BJAC
 N=        1285
 iteration,||dx||,||err||,relaxation
     1, 1.770E+00, 1.008E+00, 8.000E-01
     2, 4.602E+00, 2.334E+00, 8.000E-01
     3, 1.113E+01, 2.646E-01, 8.000E-01
     4, 1.225E+00, 7.447E-01, 8.000E-01
     5, 3.682E+00, 2.938E-01, 8.000E-01
     6, 1.464E+00, 7.925E-02, 8.000E-01
     7, 3.685E-01, 2.163E-02, 8.000E-01
     8, 1.092E-01, 1.867E-02, 8.000E-01
     9, 6.190E-02, 1.079E-02, 8.000E-01
    10, 4.997E-02, 9.189E-03, 8.000E-01
    11, 2.833E-02, 4.052E-03, 8.000E-01
    12, 2.168E-02, 4.369E-03, 8.000E-01
    13, 1.368E-02, 2.397E-03, 8.000E-01
    14, 1.521E-02, 3.570E-03, 8.000E-01
    15, 1.340E-02, 2.927E-03, 8.000E-01
    16, 1.531E-02, 3.881E-03, 8.000E-01
    17, 1.525E-02, 3.821E-03, 8.000E-01
    18, 1.731E-02, 4.603E-03, 8.000E-01
    19, 1.843E-02, 4.883E-03, 8.000E-01
    20, 2.080E-02, 5.632E-03, 8.000E-01
    21, 2.281E-02, 6.161E-03, 8.000E-01
    22, 2.562E-02, 6.976E-03, 8.000E-01
    23, 2.843E-02, 7.727E-03, 8.000E-01
    24, 3.185E-02, 8.682E-03, 8.000E-01
    25, 3.550E-02, 9.667E-03, 8.000E-01
    26, 3.971E-02, 1.083E-02, 8.000E-01
    27, 4.433E-02, 1.208E-02, 8.000E-01
    28, 4.956E-02, 1.351E-02, 8.000E-01
    29, 5.536E-02, 1.509E-02, 8.000E-01
    30, 6.187E-02, 1.687E-02, 8.000E-01
    31, 6.913E-02, 1.885E-02, 8.000E-01
    32, 7.726E-02, 2.106E-02, 8.000E-01
    33, 8.633E-02, 2.354E-02, 8.000E-01
    34, 9.647E-02, 2.630E-02, 8.000E-01
    35, 1.078E-01, 2.939E-02, 8.000E-01
    36, 1.205E-01, 3.284E-02, 8.000E-01
    37, 1.346E-01, 3.670E-02, 8.000E-01
    38, 1.504E-01, 4.101E-02, 8.000E-01
    39, 1.681E-01, 4.583E-02, 8.000E-01
    40, 1.878E-01, 5.121E-02, 8.000E-01
