 method
 BJAC
 N=        1285
 iteration,||dx||,||err||,relaxation
     1, 1.836E+05, 2.697E+04, 8.000E-01
     2, 2.586E+08, 3.574E+07, 8.000E-01
     3, 4.992E+08, 1.317E+08, 8.000E-01
     4, 7.902E+12, 1.111E+12, 8.000E-01
     5, 1.324E+13, 3.960E+12, 8.000E-01
     6, 2.513E+17, 3.547E+16, 8.000E-01
     7, 3.317E+17, 1.207E+17, 8.000E-01
     8, 8.073E+21, 1.141E+21, 8.000E-01
     9, 7.566E+21, 3.717E+21, 8.000E-01
    10, 2.600E+26, 3.674E+25, 8.000E-01
    11, 1.441E+26, 1.160E+26, 8.000E-01
    12, 8.381E+30, 1.185E+30, 8.000E-01
    13, 1.903E+30, 3.672E+30, 8.000E-01
    14, 2.702E+35, 3.819E+34, 8.000E-01
    15, 9.237E+34, 1.182E+35, 8.000E-01
    16, 8.712E+39, 1.231E+39, 8.000E-01
    17, 6.189E+39, 3.871E+39, 8.000E-01
    18, 2.809E+44, 3.971E+43, 8.000E-01
    19, 3.097E+44, 1.287E+44, 8.000E-01
    20, 9.059E+48, 1.280E+48, 8.000E-01
    21, 1.358E+49, 4.330E+48, 8.000E-01
    22, 2.921E+53, 4.129E+52, 8.000E-01
    23, 5.545E+53, 1.471E+53, 8.000E-01
    24, 9.419E+57, 1.331E+57, 8.000E-01
    25, 2.165E+58, 5.032E+57, 8.000E-01
    26, 3.037E+62, 4.293E+61, 8.000E-01
    27, 8.197E+62, 1.728E+62, 8.000E-01
    28, 9.794E+66, 1.384E+66, 8.000E-01
    29, 3.036E+67, 5.942E+66, 8.000E-01
    30, 3.158E+71, 4.464E+70, 8.000E-01
    31, 1.105E+72, 2.045E+71, 8.000E-01
    32, 1.018E+76, 1.439E+75, 8.000E-01
    33, 3.973E+76, 7.030E+75, 8.000E-01
    34, 3.284E+80, 4.642E+79, 8.000E-01
    35, 1.413E+81, 2.414E+80, 8.000E-01
    36, 1.059E+85, 1.497E+84, 8.000E-01
    37, 4.981E+85, 8.276E+84, 8.000E-01
    38, 3.415E+89, 4.827E+88, 8.000E-01
    39, 1.743E+90, 2.831E+89, 8.000E-01
    40, 1.101E+94, 1.557E+93, 8.000E-01
    41, 6.063E+94, 9.667E+93, 8.000E-01
    42, 3.551E+98, 5.019E+97, 8.000E-01
    43, 2.098E+99, 3.294E+98, 8.000E-01
    44, 1.145+103, 1.619+102, 8.000E-01
    45, 7.224+103, 1.120+103, 8.000E-01
    46, 3.693+107, 5.220+106, 8.000E-01
    47, 2.478+108, 3.800+107, 8.000E-01
    48, 1.191+112, 1.683+111, 8.000E-01
    49, 8.467+112, 1.287+112, 8.000E-01
    50, 3.840+116, 5.428+115, 8.000E-01
    51, 2.884+117, 4.350+116, 8.000E-01
    52, 1.238+121, 1.750+120, 8.000E-01
    53, 9.798+121, 1.468+121, 8.000E-01
    54, 3.994+125, 5.645+124, 8.000E-01
    55, 3.320+126, 4.944+125, 8.000E-01
    56, 1.288+130, 1.820+129, 8.000E-01
    57, 1.122+131, 1.663+130, 8.000E-01
