 method
 BJAC
 N=        1285
 iteration,||dx||,||err||,relaxation
     1, 1.605E+05, 1.759E+04, 8.000E-01
     2, 2.519E+08, 1.978E+07, 8.000E-01
     3, 2.001E+08, 5.668E+07, 8.000E-01
     4, 6.292E+12, 4.912E+11, 8.000E-01
     5, 2.268E+12, 1.443E+12, 8.000E-01
     6, 1.603E+17, 1.249E+16, 8.000E-01
     7, 8.917E+16, 3.857E+16, 8.000E-01
     8, 4.099E+21, 3.190E+20, 8.000E-01
     9, 4.534E+21, 1.066E+21, 8.000E-01
    10, 1.049E+26, 8.160E+24, 8.000E-01
    11, 1.779E+26, 2.999E+25, 8.000E-01
    12, 2.684E+30, 2.088E+29, 8.000E-01
    13, 6.165E+30, 8.508E+29, 8.000E-01
    14, 6.869E+34, 5.344E+33, 8.000E-01
    15, 1.992E+35, 2.416E+34, 8.000E-01
    16, 1.758E+39, 1.368E+38, 8.000E-01
    17, 6.164E+39, 6.840E+38, 8.000E-01
    18, 4.500E+43, 3.501E+42, 8.000E-01
    19, 1.850E+44, 1.928E+43, 8.000E-01
    20, 1.152E+48, 8.961E+46, 8.000E-01
    21, 5.435E+48, 5.404E+47, 8.000E-01
    22, 2.948E+52, 2.294E+51, 8.000E-01
    23, 1.570E+53, 1.507E+52, 8.000E-01
    24, 7.546E+56, 5.871E+55, 8.000E-01
    25, 4.476E+57, 4.179E+56, 8.000E-01
    26, 1.932E+61, 1.503E+60, 8.000E-01
    27, 1.263E+62, 1.154E+61, 8.000E-01
    28, 4.944E+65, 3.847E+64, 8.000E-01
    29, 3.533E+66, 3.171E+65, 8.000E-01
    30, 1.266E+70, 9.848E+68, 8.000E-01
    31, 9.812E+70, 8.678E+69, 8.000E-01
    32, 3.240E+74, 2.521E+73, 8.000E-01
    33, 2.708E+75, 2.366E+74, 8.000E-01
    34, 8.293E+78, 6.453E+77, 8.000E-01
    35, 7.435E+79, 6.430E+78, 8.000E-01
    36, 2.123E+83, 1.652E+82, 8.000E-01
    37, 2.032E+84, 1.742E+83, 8.000E-01
    38, 5.435E+87, 4.229E+86, 8.000E-01
    39, 5.531E+88, 4.707E+87, 8.000E-01
    40, 1.391E+92, 1.083E+91, 8.000E-01
    41, 1.500E+93, 1.268E+92, 8.000E-01
    42, 3.562E+96, 2.771E+95, 8.000E-01
    43, 4.056E+97, 3.410E+96, 8.000E-01
    44, 9.117+100, 7.095E+99, 8.000E-01
    45, 1.094+102, 9.146+100, 8.000E-01
    46, 2.334+105, 1.816+104, 8.000E-01
    47, 2.941+106, 2.449+105, 8.000E-01
    48, 5.976+109, 4.650+108, 8.000E-01
    49, 7.890+110, 6.543+109, 8.000E-01
    50, 1.530+114, 1.190+113, 8.000E-01
    51, 2.112+115, 1.746+114, 8.000E-01
    52, 3.917+118, 3.048+117, 8.000E-01
    53, 5.644+119, 4.650+118, 8.000E-01
    54, 1.003+123, 7.803+121, 8.000E-01
    55, 1.506+124, 1.237+123, 8.000E-01
    56, 2.567+127, 1.998+126, 8.000E-01
    57, 4.009+128, 3.285+127, 8.000E-01
    58, 6.573+131, 5.115+130, 8.000E-01
    59, 1.066+133, 8.713+131, 8.000E-01
    60, 1.683+136, 1.310+135, 8.000E-01
    61, 2.831+137, 2.308+136, 8.000E-01
    62, 4.309+140, 3.353+139, 8.000E-01
    63, 7.507+141, 6.109+140, 8.000E-01
    64, 1.103+145, 8.585+143, 8.000E-01
    65, 1.989+146, 1.615+145, 8.000E-01
    66, 2.825+149, 2.198+148, 8.000E-01
    67, 5.261+150, 4.266+149, 8.000E-01
    68, 7.232+153, 5.629+152, 8.000E-01
    69, 1.390+155, 1.126+154, 8.000E-01
    70, 1.852+158, 1.441+157, 8.000E-01
    71, 3.671+159, 2.968+158, 8.000E-01
    72, 4.742+162, 3.690+161, 8.000E-01
    73, 9.685+163, 7.818+162, 8.000E-01
    74, 1.214+167, 9.449+165, 8.000E-01
    75, 2.552+168, 2.058+167, 8.000E-01
    76, 3.109+171, 2.420+170, 8.000E-01
    77, 6.722+172, 5.413+171, 8.000E-01
    78, 7.961+175, 6.196+174, 8.000E-01
    79, 1.769+177, 1.423+176, 8.000E-01
    80, 2.038+180, 1.587+179, 8.000E-01
    81, 4.651+181, 3.737+180, 8.000E-01
