 method
 BJAC
 N=        1285
 iteration,||dx||,||err||,relaxation
     1, 1.836E+05, 1.348E+04, 8.000E-01
     2, 2.586E+08, 1.787E+07, 8.000E-01
     3, 4.992E+08, 6.584E+07, 8.000E-01
     4, 7.902E+12, 5.553E+11, 8.000E-01
     5, 1.324E+13, 1.980E+12, 8.000E-01
     6, 2.513E+17, 1.773E+16, 8.000E-01
     7, 3.317E+17, 6.032E+16, 8.000E-01
     8, 8.073E+21, 5.702E+20, 8.000E-01
     9, 7.566E+21, 1.858E+21, 8.000E-01
    10, 2.600E+26, 1.837E+25, 8.000E-01
    11, 1.441E+26, 5.797E+25, 8.000E-01
    12, 8.381E+30, 5.922E+29, 8.000E-01
    13, 1.903E+30, 1.836E+30, 8.000E-01
    14, 2.702E+35, 1.909E+34, 8.000E-01
    15, 9.237E+34, 5.911E+34, 8.000E-01
    16, 8.712E+39, 6.156E+38, 8.000E-01
    17, 6.189E+39, 1.935E+39, 8.000E-01
    18, 2.809E+44, 1.985E+43, 8.000E-01
    19, 3.097E+44, 6.432E+43, 8.000E-01
    20, 9.059E+48, 6.401E+47, 8.000E-01
    21, 1.358E+49, 2.165E+48, 8.000E-01
    22, 2.921E+53, 2.064E+52, 8.000E-01
    23, 5.545E+53, 7.356E+52, 8.000E-01
    24, 9.419E+57, 6.656E+56, 8.000E-01
    25, 2.165E+58, 2.516E+57, 8.000E-01
    26, 3.037E+62, 2.146E+61, 8.000E-01
    27, 8.197E+62, 8.637E+61, 8.000E-01
    28, 9.794E+66, 6.921E+65, 8.000E-01
    29, 3.036E+67, 2.971E+66, 8.000E-01
    30, 3.158E+71, 2.232E+70, 8.000E-01
    31, 1.105E+72, 1.022E+71, 8.000E-01
    32, 1.018E+76, 7.196E+74, 8.000E-01
    33, 3.973E+76, 3.515E+75, 8.000E-01
    34, 3.284E+80, 2.321E+79, 8.000E-01
    35, 1.413E+81, 1.207E+80, 8.000E-01
    36, 1.059E+85, 7.483E+83, 8.000E-01
    37, 4.981E+85, 4.137E+84, 8.000E-01
    38, 3.415E+89, 2.413E+88, 8.000E-01
    39, 1.743E+90, 1.415E+89, 8.000E-01
    40, 1.101E+94, 7.781E+92, 8.000E-01
    41, 6.063E+94, 4.833E+93, 8.000E-01
    42, 3.551E+98, 2.509E+97, 8.000E-01
    43, 2.098E+99, 1.647E+98, 8.000E-01
    44, 1.145+103, 8.092+101, 8.000E-01
    45, 7.224+103, 5.598+102, 8.000E-01
    46, 3.693+107, 2.609+106, 8.000E-01
    47, 2.478+108, 1.900+107, 8.000E-01
    48, 1.191+112, 8.415+110, 8.000E-01
    49, 8.467+112, 6.433+111, 8.000E-01
    50, 3.840+116, 2.714+115, 8.000E-01
    51, 2.884+117, 2.174+116, 8.000E-01
    52, 1.238+121, 8.751+119, 8.000E-01
    53, 9.798+121, 7.337+120, 8.000E-01
    54, 3.994+125, 2.822+124, 8.000E-01
    55, 3.320+126, 2.472+125, 8.000E-01
    56, 1.288+130, 9.100+128, 8.000E-01
    57, 1.122+131, 8.313+129, 8.000E-01
    58, 4.153+134, 2.935+133, 8.000E-01
    59, 3.785+135, 2.792+134, 8.000E-01
    60, 1.339+139, 9.464+137, 8.000E-01
    61, 1.274+140, 9.362+138, 8.000E-01
    62, 4.319+143, 3.052+142, 8.000E-01
    63, 4.283+144, 3.136+143, 8.000E-01
    64, 1.393+148, 9.843+146, 8.000E-01
    65, 1.437+149, 1.049+148, 8.000E-01
    66, 4.492+152, 3.174+151, 8.000E-01
    67, 4.814+153, 3.504+152, 8.000E-01
    68, 1.449+157, 1.024+156, 8.000E-01
    69, 1.610+158, 1.170+157, 8.000E-01
    70, 4.672+161, 3.301+160, 8.000E-01
    71, 5.380+162, 3.899+161, 8.000E-01
    72, 1.507+166, 1.065+165, 8.000E-01
    73, 1.795+167, 1.299+166, 8.000E-01
    74, 4.859+170, 3.433+169, 8.000E-01
    75, 5.984+171, 4.321+170, 8.000E-01
    76, 1.567+175, 1.107+174, 8.000E-01
    77, 1.993+176, 1.436+175, 8.000E-01
    78, 5.054+179, 3.571+178, 8.000E-01
    79, 6.628+180, 4.771+179, 8.000E-01
    80, 1.630+184, 1.152+183, 8.000E-01
    81, 2.203+185, 1.584+184, 8.000E-01
    82, 5.256+188, 3.714+187, 8.000E-01
    83, 7.314+189, 5.252+188, 8.000E-01
    84, 1.695+193, 1.198+192, 8.000E-01
    85, 2.426+194, 1.740+193, 8.000E-01
    86, 5.467+197, 3.863+196, 8.000E-01
    87, 8.044+198, 5.764+197, 8.000E-01
    88, 1.763+202, 1.246+201, 8.000E-01
    89, 2.665+203, 1.908+202, 8.000E-01
    90, 5.687+206, 4.018+205, 8.000E-01
    91, 8.820+207, 6.309+206, 8.000E-01
    92, 1.834+211, 1.296+210, 8.000E-01
    93, 2.918+212, 2.085+211, 8.000E-01
    94, 5.915+215, 4.179+214, 8.000E-01
    95, 9.646+216, 6.889+215, 8.000E-01
    96, 1.908+220, 1.348+219, 8.000E-01
    97, 3.187+221, 2.275+220, 8.000E-01
    98, 6.153+224, 4.347+223, 8.000E-01
    99, 1.052+226, 7.507+224, 8.000E-01
   100, 1.984+229, 1.402+228, 8.000E-01
   101, 3.473+230, 2.476+229, 8.000E-01
   102, 6.400+233, 4.522+232, 8.000E-01
   103, 1.146+235, 8.163+233, 8.000E-01
   104, 2.064+238, 1.458+237, 8.000E-01
   105, 3.777+239, 2.690+238, 8.000E-01
   106, 6.657+242, 4.704+241, 8.000E-01
   107, 1.245+244, 8.860+242, 8.000E-01
   108, 2.147+247, 1.517+246, 8.000E-01
   109, 4.099+248, 2.917+247, 8.000E-01
   110, 6.925+251, 4.893+250, 8.000E-01
   111, 1.350+253, 9.600+251, 8.000E-01
   112, 2.234+256, 1.578+255, 8.000E-01
   113, 4.442+257, 3.158+256, 8.000E-01
   114, 7.204+260, 5.090+259, 8.000E-01
   115, 1.461+262, 1.039+261, 8.000E-01
   116, 2.324+265, 1.642+264, 8.000E-01
   117, 4.805+266, 3.414+265, 8.000E-01
   118, 7.494+269, 5.295+268, 8.000E-01
   119, 1.579+271, 1.122+270, 8.000E-01
   120, 2.417+274, 1.708+273, 8.000E-01
   121, 5.190+275, 3.686+274, 8.000E-01
   122, 7.796+278, 5.508+277, 8.000E-01
   123, 1.705+280, 1.210+279, 8.000E-01
   124, 2.515+283, 1.777+282, 8.000E-01
   125, 5.598+284, 3.973+283, 8.000E-01
   126, 8.110+287, 5.731+286, 8.000E-01
   127, 1.838+289, 1.304+288, 8.000E-01
   128, 2.616+292, 1.848+291, 8.000E-01
   129, 6.031+293, 4.278+292, 8.000E-01
   130, 8.438+296, 5.962+295, 8.000E-01
   131, 1.979+298, 1.403+297, 8.000E-01
   132, 2.722+301, 1.923+300, 8.000E-01
   133, 6.489+302, 4.602+301, 8.000E-01
   134, 8.778+305, 6.202+304, 8.000E-01
   135, 2.128+307, 1.509+306, 8.000E-01
   136,       NaN,       NaN, 8.000E-01
