 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 1.750E+00, 5.589E-01, 8.000E-01
     2, 2.358E+00, 1.487E-01, 8.000E-01
     3, 5.263E-01, 1.565E-01, 8.000E-01
     4, 3.542E-01, 5.726E-02, 8.000E-01
     5, 8.823E-02, 4.919E-02, 8.000E-01
     6, 1.016E-01, 2.383E-02, 8.000E-01
     7, 4.424E-02, 1.958E-02, 8.000E-01
     8, 4.029E-02, 9.367E-03, 8.000E-01
     9, 1.394E-02, 8.771E-03, 8.000E-01
    10, 1.258E-02, 4.622E-03, 8.000E-01
    11, 7.107E-03, 3.739E-03, 8.000E-01
    12, 6.264E-03, 2.102E-03, 8.000E-01
    13, 3.271E-03, 1.654E-03, 8.000E-01
    14, 3.526E-03, 9.709E-04, 8.000E-01
    15, 1.499E-03, 9.037E-04, 8.000E-01
    16, 1.944E-03, 5.010E-04, 8.000E-01
    17, 8.712E-04, 3.861E-04, 8.000E-01
    18, 1.153E-03, 2.172E-04, 8.000E-01
    19, 3.742E-04, 2.281E-04, 8.000E-01
    20, 5.876E-04, 1.193E-04, 8.000E-01
    21, 2.263E-04, 9.485E-05, 8.000E-01
    22, 3.306E-04, 4.992E-05, 8.000E-01
    23, 9.551E-05, 5.689E-05, 8.000E-01
    24, 1.643E-04, 2.838E-05, 8.000E-01
    25, 5.766E-05, 2.354E-05, 8.000E-01
    26, 9.004E-05, 1.170E-05, 8.000E-01
    27, 2.453E-05, 1.417E-05, 8.000E-01
    28, 4.463E-05, 6.811E-06, 8.000E-01
    29, 1.468E-05, 5.923E-06, 8.000E-01
    30, 2.415E-05, 2.804E-06, 8.000E-01
    31, 6.366E-06, 3.561E-06, 8.000E-01
    32, 1.202E-05, 1.658E-06, 8.000E-01
    33, 3.768E-06, 1.518E-06, 8.000E-01
    34, 6.499E-06, 6.896E-07, 8.000E-01
    35, 1.684E-06, 9.130E-07, 8.000E-01
    36, 3.233E-06, 4.131E-07, 8.000E-01
    37, 9.800E-07, 3.997E-07, 8.000E-01
    38, 1.679E-06, 1.794E-07, 8.000E-01
    39, 4.396E-07, 2.338E-07, 8.000E-01
    40, 8.787E-07, 1.121E-07, 8.000E-01
    41, 2.680E-07, 1.172E-07, 8.000E-01
    42, 5.636E-07, 6.469E-08, 8.000E-01
    43, 1.614E-07, 8.772E-08, 8.000E-01
    44, 2.753E-07, 5.515E-08, 8.000E-01
    45, 1.040E-07, 5.725E-08, 8.000E-01
    46, 1.540E-07, 4.917E-08, 8.000E-01
    47, 7.958E-08, 4.997E-08, 8.000E-01
    48, 1.682E-07, 4.812E-08, 8.000E-01
    49, 8.168E-08, 4.997E-08, 8.000E-01
    50, 1.361E-07, 4.793E-08, 8.000E-01
    51, 7.616E-08, 4.825E-08, 8.000E-01
    52, 1.561E-07, 4.785E-08, 8.000E-01
    53, 7.921E-08, 4.912E-08, 8.000E-01
    54, 1.411E-07, 4.791E-08, 8.000E-01
    55, 7.678E-08, 4.818E-08, 8.000E-01
    56, 1.414E-07, 4.785E-08, 8.000E-01
    57, 7.638E-08, 4.826E-08, 8.000E-01
    58, 1.369E-07, 4.785E-08, 8.000E-01
    59, 7.610E-08, 4.807E-08, 8.000E-01
    60, 1.370E-07, 4.785E-08, 8.000E-01
    61, 7.633E-08, 4.796E-08, 8.000E-01
    62, 1.335E-07, 4.785E-08, 8.000E-01
    63, 7.562E-08, 4.792E-08, 8.000E-01
    64, 1.332E-07, 4.785E-08, 8.000E-01
    65, 7.586E-08, 4.789E-08, 8.000E-01
    66, 1.337E-07, 4.784E-08, 8.000E-01
    67, 7.584E-08, 4.787E-08, 8.000E-01
    68, 1.350E-07, 4.784E-08, 8.000E-01
    69, 7.593E-08, 4.789E-08, 8.000E-01
    70, 1.333E-07, 4.784E-08, 8.000E-01
    71, 7.560E-08, 4.789E-08, 8.000E-01
    72, 1.358E-07, 4.784E-08, 8.000E-01
    73, 7.618E-08, 4.796E-08, 8.000E-01
    74, 1.420E-07, 4.785E-08, 8.000E-01
    75, 7.643E-08, 4.833E-08, 8.000E-01
    76, 1.372E-07, 4.788E-08, 8.000E-01
    77, 7.649E-08, 4.807E-08, 8.000E-01
    78, 1.349E-07, 4.787E-08, 8.000E-01
    79, 7.573E-08, 4.804E-08, 8.000E-01
    80, 1.351E-07, 4.786E-08, 8.000E-01
    81, 7.615E-08, 4.797E-08, 8.000E-01
    82, 1.382E-07, 4.786E-08, 8.000E-01
    83, 7.598E-08, 4.806E-08, 8.000E-01
    84, 1.438E-07, 4.787E-08, 8.000E-01
    85, 7.743E-08, 4.843E-08, 8.000E-01
    86, 1.350E-07, 4.789E-08, 8.000E-01
    87, 7.590E-08, 4.790E-08, 8.000E-01
    88, 1.340E-07, 4.784E-08, 8.000E-01
    89, 7.566E-08, 4.786E-08, 8.000E-01
    90, 1.420E-07, 4.784E-08, 8.000E-01
    91, 7.652E-08, 4.831E-08, 8.000E-01
    92, 1.326E-07, 4.786E-08, 8.000E-01
