 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 1.233E+05, 1.391E+04, 8.000E-01
     2, 1.184E+05, 2.500E+04, 8.000E-01
     3, 1.335E+08, 2.354E+07, 8.000E-01
     4, 1.070E+08, 3.426E+07, 8.000E-01
     5, 1.415E+12, 2.497E+11, 8.000E-01
     6, 1.134E+12, 3.632E+11, 8.000E-01
     7, 1.500E+16, 2.647E+15, 8.000E-01
     8, 1.202E+16, 3.850E+15, 8.000E-01
     9, 1.590E+20, 2.806E+19, 8.000E-01
    10, 1.274E+20, 4.081E+19, 8.000E-01
    11, 1.685E+24, 2.974E+23, 8.000E-01
    12, 1.351E+24, 4.326E+23, 8.000E-01
    13, 1.787E+28, 3.153E+27, 8.000E-01
    14, 1.432E+28, 4.586E+27, 8.000E-01
    15, 1.894E+32, 3.342E+31, 8.000E-01
    16, 1.518E+32, 4.862E+31, 8.000E-01
    17, 2.008E+36, 3.543E+35, 8.000E-01
    18, 1.609E+36, 5.154E+35, 8.000E-01
    19, 2.128E+40, 3.756E+39, 8.000E-01
    20, 1.706E+40, 5.463E+39, 8.000E-01
    21, 2.256E+44, 3.981E+43, 8.000E-01
    22, 1.808E+44, 5.791E+43, 8.000E-01
    23, 2.392E+48, 4.220E+47, 8.000E-01
    24, 1.917E+48, 6.139E+47, 8.000E-01
    25, 2.535E+52, 4.474E+51, 8.000E-01
    26, 2.032E+52, 6.508E+51, 8.000E-01
    27, 2.687E+56, 4.743E+55, 8.000E-01
    28, 2.154E+56, 6.899E+55, 8.000E-01
    29, 2.849E+60, 5.027E+59, 8.000E-01
    30, 2.283E+60, 7.313E+59, 8.000E-01
    31, 3.020E+64, 5.329E+63, 8.000E-01
    32, 2.421E+64, 7.752E+63, 8.000E-01
    33, 3.201E+68, 5.649E+67, 8.000E-01
    34, 2.566E+68, 8.218E+67, 8.000E-01
    35, 3.394E+72, 5.989E+71, 8.000E-01
    36, 2.720E+72, 8.711E+71, 8.000E-01
    37, 3.597E+76, 6.348E+75, 8.000E-01
    38, 2.883E+76, 9.234E+75, 8.000E-01
    39, 3.813E+80, 6.730E+79, 8.000E-01
    40, 3.057E+80, 9.789E+79, 8.000E-01
    41, 4.042E+84, 7.134E+83, 8.000E-01
    42, 3.240E+84, 1.038E+84, 8.000E-01
    43, 4.285E+88, 7.562E+87, 8.000E-01
    44, 3.435E+88, 1.100E+88, 8.000E-01
    45, 4.543E+92, 8.016E+91, 8.000E-01
    46, 3.641E+92, 1.166E+92, 8.000E-01
    47, 4.815E+96, 8.498E+95, 8.000E-01
    48, 3.860E+96, 1.236E+96, 8.000E-01
    49, 5.105+100, 9.008E+99, 8.000E-01
    50, 4.091+100, 1.310+100, 8.000E-01
    51, 5.411+104, 9.549+103, 8.000E-01
    52, 4.337+104, 1.389+104, 8.000E-01
    53, 5.736+108, 1.012+108, 8.000E-01
    54, 4.598+108, 1.472+108, 8.000E-01
    55, 6.081+112, 1.073+112, 8.000E-01
    56, 4.874+112, 1.561+112, 8.000E-01
    57, 6.446+116, 1.137+116, 8.000E-01
    58, 5.167+116, 1.655+116, 8.000E-01
    59, 6.833+120, 1.206+120, 8.000E-01
