 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 5.996E+04, 4.830E+03, 8.000E-01
     2, 5.203E+05, 6.027E+03, 8.000E-01
     3, 6.241E+07, 5.065E+06, 8.000E-01
     4, 1.604E+08, 6.920E+06, 8.000E-01
     5, 5.417E+11, 4.396E+10, 8.000E-01
     6, 1.392E+12, 6.002E+10, 8.000E-01
     7, 4.701E+15, 3.815E+14, 8.000E-01
     8, 1.208E+16, 5.209E+14, 8.000E-01
     9, 4.080E+19, 3.311E+18, 8.000E-01
    10, 1.048E+20, 4.521E+18, 8.000E-01
    11, 3.541E+23, 2.874E+22, 8.000E-01
    12, 9.098E+23, 3.924E+22, 8.000E-01
    13, 3.074E+27, 2.494E+26, 8.000E-01
    14, 7.896E+27, 3.405E+26, 8.000E-01
    15, 2.667E+31, 2.165E+30, 8.000E-01
    16, 6.853E+31, 2.955E+30, 8.000E-01
    17, 2.315E+35, 1.879E+34, 8.000E-01
    18, 5.948E+35, 2.565E+34, 8.000E-01
    19, 2.009E+39, 1.631E+38, 8.000E-01
    20, 5.162E+39, 2.226E+38, 8.000E-01
    21, 1.744E+43, 1.415E+42, 8.000E-01
    22, 4.480E+43, 1.932E+42, 8.000E-01
    23, 1.513E+47, 1.228E+46, 8.000E-01
    24, 3.888E+47, 1.677E+46, 8.000E-01
    25, 1.314E+51, 1.066E+50, 8.000E-01
    26, 3.375E+51, 1.455E+50, 8.000E-01
    27, 1.140E+55, 9.251E+53, 8.000E-01
    28, 2.929E+55, 1.263E+54, 8.000E-01
    29, 9.894E+58, 8.029E+57, 8.000E-01
    30, 2.542E+59, 1.096E+58, 8.000E-01
    31, 8.587E+62, 6.968E+61, 8.000E-01
    32, 2.206E+63, 9.514E+61, 8.000E-01
    33, 7.453E+66, 6.048E+65, 8.000E-01
    34, 1.915E+67, 8.257E+65, 8.000E-01
    35, 6.468E+70, 5.249E+69, 8.000E-01
    36, 1.662E+71, 7.167E+69, 8.000E-01
    37, 5.614E+74, 4.556E+73, 8.000E-01
    38, 1.442E+75, 6.220E+73, 8.000E-01
    39, 4.872E+78, 3.954E+77, 8.000E-01
    40, 1.252E+79, 5.398E+77, 8.000E-01
    41, 4.229E+82, 3.431E+81, 8.000E-01
    42, 1.086E+83, 4.685E+81, 8.000E-01
    43, 3.670E+86, 2.978E+85, 8.000E-01
    44, 9.428E+86, 4.066E+85, 8.000E-01
    45, 3.185E+90, 2.585E+89, 8.000E-01
    46, 8.183E+90, 3.529E+89, 8.000E-01
    47, 2.764E+94, 2.243E+93, 8.000E-01
    48, 7.102E+94, 3.063E+93, 8.000E-01
    49, 2.399E+98, 1.947E+97, 8.000E-01
    50, 6.164E+98, 2.658E+97, 8.000E-01
    51, 2.082+102, 1.690+101, 8.000E-01
    52, 5.350+102, 2.307+101, 8.000E-01
    53, 1.807+106, 1.467+105, 8.000E-01
    54, 4.643+106, 2.002+105, 8.000E-01
    55, 1.568+110, 1.273+109, 8.000E-01
    56, 4.029+110, 1.738+109, 8.000E-01
    57, 1.361+114, 1.105+113, 8.000E-01
    58, 3.497+114, 1.508+113, 8.000E-01
    59, 1.181+118, 9.587+116, 8.000E-01
    60, 3.035+118, 1.309+117, 8.000E-01
    61, 1.025+122, 8.321+120, 8.000E-01
    62, 2.634+122, 1.136+121, 8.000E-01
    63, 8.899+125, 7.221+124, 8.000E-01
    64, 2.286+126, 9.860+124, 8.000E-01
    65, 7.723+129, 6.267+128, 8.000E-01
    66, 1.984+130, 8.557+128, 8.000E-01
    67, 6.703+133, 5.440+132, 8.000E-01
    68, 1.722+134, 7.427+132, 8.000E-01
    69, 5.818+137, 4.721+136, 8.000E-01
    70, 1.495+138, 6.446+136, 8.000E-01
    71, 5.049+141, 4.097+140, 8.000E-01
    72, 1.297+142, 5.594+140, 8.000E-01
    73, 4.382+145, 3.556+144, 8.000E-01
    74, 1.126+146, 4.855+144, 8.000E-01
    75, 3.803+149, 3.086+148, 8.000E-01
    76, 9.771+149, 4.214+148, 8.000E-01
    77, 3.301+153, 2.679+152, 8.000E-01
    78, 8.480+153, 3.657+152, 8.000E-01
    79, 2.865+157, 2.325+156, 8.000E-01
    80, 7.360+157, 3.174+156, 8.000E-01
    81, 2.486+161, 2.018+160, 8.000E-01
    82, 6.388+161, 2.755+160, 8.000E-01
    83, 2.158+165, 1.751+164, 8.000E-01
    84, 5.544+165, 2.391+164, 8.000E-01
    85, 1.873+169, 1.520+168, 8.000E-01
    86, 4.811+169, 2.075+168, 8.000E-01
    87, 1.625+173, 1.319+172, 8.000E-01
    88, 4.176+173, 1.801+172, 8.000E-01
    89, 1.411+177, 1.145+176, 8.000E-01
    90, 3.624+177, 1.563+176, 8.000E-01
    91, 1.224+181, 9.935+179, 8.000E-01
    92, 3.145+181, 1.357+180, 8.000E-01
    93, 1.063+185, 8.623+183, 8.000E-01
    94, 2.730+185, 1.177+184, 8.000E-01
    95, 9.222+188, 7.484+187, 8.000E-01
    96, 2.369+189, 1.022+188, 8.000E-01
    97, 8.004+192, 6.495+191, 8.000E-01
    98, 2.056+193, 8.868+191, 8.000E-01
    99, 6.947+196, 5.637+195, 8.000E-01
   100, 1.785+197, 7.697+195, 8.000E-01
   101, 6.029+200, 4.892+199, 8.000E-01
   102, 1.549+201, 6.680+199, 8.000E-01
   103, 5.233+204, 4.246+203, 8.000E-01
   104, 1.344+205, 5.797+203, 8.000E-01
   105, 4.541+208, 3.685+207, 8.000E-01
   106, 1.167+209, 5.032+207, 8.000E-01
   107, 3.941+212, 3.198+211, 8.000E-01
   108, 1.013+213, 4.367+211, 8.000E-01
   109, 3.421+216, 2.776+215, 8.000E-01
   110, 8.788+216, 3.790+215, 8.000E-01
   111, 2.969+220, 2.409+219, 8.000E-01
   112, 7.627+220, 3.289+219, 8.000E-01
   113, 2.577+224, 2.091+223, 8.000E-01
   114, 6.620+224, 2.855+223, 8.000E-01
   115, 2.236+228, 1.815+227, 8.000E-01
   116, 5.745+228, 2.478+227, 8.000E-01
   117, 1.941+232, 1.575+231, 8.000E-01
   118, 4.986+232, 2.150+231, 8.000E-01
   119, 1.684+236, 1.367+235, 8.000E-01
   120, 4.328+236, 1.866+235, 8.000E-01
   121, 1.462+240, 1.186+239, 8.000E-01
   122, 3.756+240, 1.620+239, 8.000E-01
   123, 1.269+244, 1.030+243, 8.000E-01
   124, 3.260+244, 1.406+243, 8.000E-01
   125, 1.101+248, 8.936+246, 8.000E-01
   126, 2.829+248, 1.220+247, 8.000E-01
   127, 9.557+251, 7.756+250, 8.000E-01
   128, 2.455+252, 1.059+251, 8.000E-01
   129, 8.295+255, 6.731+254, 8.000E-01
   130, 2.131+256, 9.190+254, 8.000E-01
   131, 7.199+259, 5.842+258, 8.000E-01
   132, 1.849+260, 7.976+258, 8.000E-01
   133, 6.248+263, 5.070+262, 8.000E-01
   134, 1.605+264, 6.922+262, 8.000E-01
   135, 5.423+267, 4.400+266, 8.000E-01
   136, 1.393+268, 6.008+266, 8.000E-01
   137, 4.706+271, 3.819+270, 8.000E-01
   138, 1.209+272, 5.214+270, 8.000E-01
   139, 4.085+275, 3.315+274, 8.000E-01
   140, 1.049+276, 4.526+274, 8.000E-01
   141, 3.545+279, 2.877+278, 8.000E-01
   142, 9.107+279, 3.928+278, 8.000E-01
   143, 3.077+283, 2.497+282, 8.000E-01
   144, 7.904+283, 3.409+282, 8.000E-01
   145, 2.670+287, 2.167+286, 8.000E-01
   146, 6.860+287, 2.959+286, 8.000E-01
   147, 2.317+291, 1.881+290, 8.000E-01
   148, 5.954+291, 2.568+290, 8.000E-01
   149, 2.011+295, 1.632+294, 8.000E-01
   150, 5.167+295, 2.228+294, 8.000E-01
   151, 1.746+299, 1.417+298, 8.000E-01
   152, 4.485+299, 1.934+298, 8.000E-01
   153, 1.515+303, 1.229+302, 8.000E-01
   154, 3.892+303, 1.679+302, 8.000E-01
   155, 1.315+307, 1.067+306, 8.000E-01
   156, 3.378+307, 1.457+306, 8.000E-01
   157,       NaN,       NaN, 8.000E-01
