 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 1.233E+05, 6.951E+03, 8.000E-01
     2, 1.184E+05, 1.250E+04, 8.000E-01
     3, 1.335E+08, 1.177E+07, 8.000E-01
     4, 1.070E+08, 1.712E+07, 8.000E-01
     5, 1.415E+12, 1.248E+11, 8.000E-01
     6, 1.134E+12, 1.815E+11, 8.000E-01
     7, 1.500E+16, 1.323E+15, 8.000E-01
     8, 1.202E+16, 1.924E+15, 8.000E-01
     9, 1.590E+20, 1.402E+19, 8.000E-01
    10, 1.274E+20, 2.040E+19, 8.000E-01
    11, 1.685E+24, 1.486E+23, 8.000E-01
    12, 1.351E+24, 2.162E+23, 8.000E-01
    13, 1.787E+28, 1.576E+27, 8.000E-01
    14, 1.432E+28, 2.292E+27, 8.000E-01
    15, 1.894E+32, 1.670E+31, 8.000E-01
    16, 1.518E+32, 2.430E+31, 8.000E-01
    17, 2.008E+36, 1.771E+35, 8.000E-01
    18, 1.609E+36, 2.576E+35, 8.000E-01
    19, 2.128E+40, 1.877E+39, 8.000E-01
    20, 1.706E+40, 2.730E+39, 8.000E-01
    21, 2.256E+44, 1.990E+43, 8.000E-01
    22, 1.808E+44, 2.894E+43, 8.000E-01
    23, 2.392E+48, 2.109E+47, 8.000E-01
    24, 1.917E+48, 3.068E+47, 8.000E-01
    25, 2.535E+52, 2.236E+51, 8.000E-01
    26, 2.032E+52, 3.253E+51, 8.000E-01
    27, 2.687E+56, 2.370E+55, 8.000E-01
    28, 2.154E+56, 3.448E+55, 8.000E-01
    29, 2.849E+60, 2.513E+59, 8.000E-01
    30, 2.283E+60, 3.655E+59, 8.000E-01
    31, 3.020E+64, 2.663E+63, 8.000E-01
    32, 2.421E+64, 3.874E+63, 8.000E-01
    33, 3.201E+68, 2.823E+67, 8.000E-01
    34, 2.566E+68, 4.107E+67, 8.000E-01
    35, 3.394E+72, 2.993E+71, 8.000E-01
    36, 2.720E+72, 4.354E+71, 8.000E-01
    37, 3.597E+76, 3.173E+75, 8.000E-01
    38, 2.883E+76, 4.615E+75, 8.000E-01
    39, 3.813E+80, 3.363E+79, 8.000E-01
    40, 3.057E+80, 4.892E+79, 8.000E-01
    41, 4.042E+84, 3.565E+83, 8.000E-01
    42, 3.240E+84, 5.186E+83, 8.000E-01
    43, 4.285E+88, 3.779E+87, 8.000E-01
    44, 3.435E+88, 5.498E+87, 8.000E-01
    45, 4.543E+92, 4.006E+91, 8.000E-01
    46, 3.641E+92, 5.828E+91, 8.000E-01
    47, 4.815E+96, 4.247E+95, 8.000E-01
    48, 3.860E+96, 6.178E+95, 8.000E-01
    49, 5.105+100, 4.502E+99, 8.000E-01
    50, 4.091+100, 6.549E+99, 8.000E-01
    51, 5.411+104, 4.772+103, 8.000E-01
    52, 4.337+104, 6.942+103, 8.000E-01
    53, 5.736+108, 5.059+107, 8.000E-01
    54, 4.598+108, 7.359+107, 8.000E-01
    55, 6.081+112, 5.363+111, 8.000E-01
    56, 4.874+112, 7.801+111, 8.000E-01
    57, 6.446+116, 5.685+115, 8.000E-01
    58, 5.167+116, 8.270+115, 8.000E-01
    59, 6.833+120, 6.026+119, 8.000E-01
    60, 5.477+120, 8.766+119, 8.000E-01
    61, 7.243+124, 6.388+123, 8.000E-01
    62, 5.806+124, 9.293+123, 8.000E-01
    63, 7.678+128, 6.772+127, 8.000E-01
