 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 3.732E+00, 9.367E-01, 8.000E-01
     2, 9.491E-01, 4.865E-01, 8.000E-01
     3, 2.141E+00, 5.894E-01, 8.000E-01
     4, 7.896E-01, 4.385E-01, 8.000E-01
     5, 2.883E+00, 3.077E-01, 8.000E-01
     6, 7.021E-01, 2.232E-01, 8.000E-01
     7, 1.318E+00, 1.507E-01, 8.000E-01
     8, 3.460E-01, 1.101E-01, 8.000E-01
     9, 5.202E-01, 8.187E-02, 8.000E-01
    10, 1.659E-01, 6.642E-02, 8.000E-01
    11, 2.796E-01, 5.594E-02, 8.000E-01
    12, 9.853E-02, 4.714E-02, 8.000E-01
    13, 1.867E-01, 4.145E-02, 8.000E-01
    14, 6.657E-02, 3.671E-02, 8.000E-01
    15, 1.249E-01, 3.328E-02, 8.000E-01
    16, 4.735E-02, 2.981E-02, 8.000E-01
    17, 8.210E-02, 2.736E-02, 8.000E-01
    18, 3.489E-02, 2.513E-02, 8.000E-01
    19, 5.548E-02, 2.339E-02, 8.000E-01
    20, 2.705E-02, 2.172E-02, 8.000E-01
    21, 4.006E-02, 2.041E-02, 8.000E-01
    22, 2.204E-02, 1.923E-02, 8.000E-01
    23, 3.121E-02, 1.823E-02, 8.000E-01
    24, 1.877E-02, 1.731E-02, 8.000E-01
    25, 2.564E-02, 1.652E-02, 8.000E-01
    26, 1.648E-02, 1.580E-02, 8.000E-01
    27, 2.171E-02, 1.516E-02, 8.000E-01
    28, 1.481E-02, 1.456E-02, 8.000E-01
    29, 1.868E-02, 1.402E-02, 8.000E-01
    30, 1.350E-02, 1.352E-02, 8.000E-01
    31, 1.628E-02, 1.306E-02, 8.000E-01
    32, 1.244E-02, 1.263E-02, 8.000E-01
    33, 1.436E-02, 1.222E-02, 8.000E-01
    34, 1.155E-02, 1.183E-02, 8.000E-01
    35, 1.281E-02, 1.147E-02, 8.000E-01
    36, 1.079E-02, 1.112E-02, 8.000E-01
    37, 1.157E-02, 1.079E-02, 8.000E-01
    38, 1.012E-02, 1.048E-02, 8.000E-01
    39, 1.056E-02, 1.017E-02, 8.000E-01
    40, 9.510E-03, 9.879E-03, 8.000E-01
    41, 9.724E-03, 9.598E-03, 8.000E-01
    42, 8.958E-03, 9.326E-03, 8.000E-01
    43, 9.023E-03, 9.064E-03, 8.000E-01
    44, 8.449E-03, 8.810E-03, 8.000E-01
    45, 8.418E-03, 8.564E-03, 8.000E-01
    46, 7.977E-03, 8.326E-03, 8.000E-01
    47, 7.887E-03, 8.095E-03, 8.000E-01
    48, 7.536E-03, 7.871E-03, 8.000E-01
    49, 7.412E-03, 7.653E-03, 8.000E-01
    50, 7.122E-03, 7.442E-03, 8.000E-01
    51, 6.979E-03, 7.237E-03, 8.000E-01
    52, 6.733E-03, 7.038E-03, 8.000E-01
    53, 6.582E-03, 6.844E-03, 8.000E-01
    54, 6.367E-03, 6.656E-03, 8.000E-01
    55, 6.213E-03, 6.473E-03, 8.000E-01
    56, 6.021E-03, 6.295E-03, 8.000E-01
    57, 5.869E-03, 6.122E-03, 8.000E-01
    58, 5.694E-03, 5.954E-03, 8.000E-01
    59, 5.546E-03, 5.791E-03, 8.000E-01
    60, 5.386E-03, 5.632E-03, 8.000E-01
    61, 5.243E-03, 5.477E-03, 8.000E-01
    62, 5.094E-03, 5.327E-03, 8.000E-01
    63, 4.958E-03, 5.181E-03, 8.000E-01
    64, 4.818E-03, 5.039E-03, 8.000E-01
    65, 4.688E-03, 4.901E-03, 8.000E-01
    66, 4.557E-03, 4.766E-03, 8.000E-01
    67, 4.434E-03, 4.636E-03, 8.000E-01
    68, 4.311E-03, 4.508E-03, 8.000E-01
    69, 4.193E-03, 4.385E-03, 8.000E-01
    70, 4.078E-03, 4.265E-03, 8.000E-01
    71, 3.966E-03, 4.148E-03, 8.000E-01
    72, 3.857E-03, 4.034E-03, 8.000E-01
    73, 3.751E-03, 3.923E-03, 8.000E-01
    74, 3.648E-03, 3.816E-03, 8.000E-01
    75, 3.548E-03, 3.711E-03, 8.000E-01
    76, 3.451E-03, 3.609E-03, 8.000E-01
    77, 3.356E-03, 3.510E-03, 8.000E-01
    78, 3.264E-03, 3.414E-03, 8.000E-01
    79, 3.175E-03, 3.320E-03, 8.000E-01
    80, 3.088E-03, 3.229E-03, 8.000E-01
